#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_concentric_gray3_Fe_1.001: FeXANES_GT5_concentric_gray3_Fe_1.001
#------------------------------------------
# energy, FeXANES_GT5_concentric_gray3_Fe_1.001
 7032.05000, -3.70652e-4
 7037.05000,  2.72576e-4
 7042.05000,  2.94600e-4
 7047.05000, -1.13830e-4
 7052.05000, -1.12178e-4
 7057.05000, -2.78218e-4
 7062.05000, -2.82282e-4
 7067.05000, -1.82401e-4
 7072.05000, -1.73052e-4
 7077.05000,  7.34198e-5
 7082.05000,  5.01365e-4
 7087.05000,  8.38732e-4
 7092.05000,  0.00140874
 7097.05000,  0.00333458
 7102.05000,  0.00393957
 7102.35000,  0.00647907
 7102.65000,  0.00637147
 7102.95000,  0.00664616
 7103.25000,  0.00670674
 7103.55000,  0.00716945
 7103.85000,  0.00759832
 7104.15000,  0.00800920
 7104.45000,  0.00794946
 7104.75000,  0.00856932
 7105.05000,  0.00884166
 7105.35000,  0.00943661
 7105.65000,  0.00984663
 7105.95000,  0.01015350
 7106.25000,  0.01061868
 7106.55000,  0.01067862
 7106.85000,  0.01180955
 7107.15000,  0.01185571
 7107.45000,  0.01331423
 7107.75000,  0.01320504
 7108.05000,  0.01447732
 7108.35000,  0.01566595
 7108.65000,  0.01715640
 7108.95000,  0.01795901
 7109.25000,  0.01907632
 7109.55000,  0.02369660
 7109.85000,  0.02773998
 7110.15000,  0.03219899
 7110.45000,  0.04176274
 7110.75000,  0.05124525
 7111.05000,  0.05967809
 7111.35000,  0.06715564
 7111.65000,  0.07027230
 7111.95000,  0.07298903
 7112.25000,  0.07863319
 7112.55000,  0.07985655
 7112.85000,  0.08985297
 7113.15000,  0.09443884
 7113.45000,  0.09261820
 7113.75000,  0.08230394
 7114.05000,  0.07451623
 7114.35000,  0.06805267
 7114.65000,  0.06805213
 7114.95000,  0.06976299
 7115.25000,  0.07331708
 7115.55000,  0.08439242
 7115.85000,  0.09632797
 7116.15000,  0.11660605
 7116.45000,  0.13893952
 7116.75000,  0.14537219
 7117.05000,  0.19857095
 7117.35000,  0.21576264
 7117.65000,  0.27469176
 7117.95000,  0.28701888
 7118.25000,  0.35587806
 7118.55000,  0.37412062
 7118.85000,  0.40986721
 7119.15000,  0.46321916
 7119.45000,  0.49631393
 7119.75000,  0.52271491
 7120.05000,  0.54383856
 7120.35000,  0.57892461
 7120.65000,  0.59783078
 7120.95000,  0.62486510
 7121.25000,  0.66314006
 7121.55000,  0.68707724
 7121.85000,  0.72899322
 7122.15000,  0.76688053
 7122.45000,  0.80693828
 7122.75000,  0.84605225
 7123.05000,  0.87899397
 7123.35000,  0.91057467
 7123.65000,  0.94140397
 7123.95000,  0.96850625
 7124.25000,  0.99040237
 7124.55000,  1.01271842
 7124.85000,  1.03689433
 7125.15000,  1.05452077
 7125.45000,  1.06637937
 7125.75000,  1.08277712
 7126.05000,  1.10273582
 7126.35000,  1.11309260
 7126.65000,  1.13115652
 7126.95000,  1.13288514
 7127.25000,  1.14771823
 7127.55000,  1.16157962
 7127.85000,  1.16840452
 7128.15000,  1.17902570
 7128.45000,  1.18743536
 7128.75000,  1.19365961
 7129.05000,  1.19770991
 7129.35000,  1.19871349
 7129.65000,  1.20224648
 7129.95000,  1.20323476
 7130.25000,  1.19982573
 7130.55000,  1.19570962
 7130.85000,  1.19112647
 7131.15000,  1.19218906
 7131.45000,  1.18704413
 7131.75000,  1.19006242
 7132.05000,  1.18834891
 7133.05000,  1.16930010
 7134.05000,  1.16416796
 7135.05000,  1.15077004
 7136.05000,  1.14317743
 7137.05000,  1.14415123
 7138.05000,  1.12797090
 7139.05000,  1.12048887
 7140.05000,  1.10605657
 7141.05000,  1.10554696
 7142.05000,  1.09530330
 7143.05000,  1.08031682
 7144.05000,  1.06296452
 7145.05000,  1.04617203
 7146.05000,  1.03654947
 7147.05000,  1.01933080
 7148.05000,  1.00396987
 7149.05000,  0.98677275
 7150.05000,  0.97910539
 7151.05000,  0.96028035
 7152.05000,  0.94334921
 7153.05000,  0.93271843
 7154.05000,  0.92432232
 7155.05000,  0.91072147
 7156.05000,  0.90752475
 7157.05000,  0.90319691
 7158.05000,  0.90171452
 7159.05000,  0.90143304
 7160.05000,  0.90045297
 7161.05000,  0.90226135
 7162.05000,  0.90492105
 7163.05000,  0.90592970
 7164.05000,  0.91457290
 7165.05000,  0.91777917
 7166.05000,  0.92547467
 7167.05000,  0.92902890
 7168.05000,  0.93138053
 7169.05000,  0.94451692
 7170.05000,  0.95132057
 7171.05000,  0.96243551
 7172.05000,  0.96961262
 7173.05000,  0.97762090
 7174.05000,  0.98541439
 7175.05000,  0.98790069
 7176.05000,  0.99482003
 7177.05000,  0.99955409
 7178.05000,  1.00311670
 7179.05000,  1.00469273
 7180.05000,  1.00685803
 7181.05000,  1.01354339
 7182.05000,  1.01256453
 7183.05000,  1.01542240
 7184.05000,  1.02070715
 7185.05000,  1.01717571
 7186.05000,  1.01631001
 7187.05000,  1.01887170
 7188.05000,  1.01853500
 7189.05000,  1.01809000
 7190.05000,  1.01698997
 7191.05000,  1.02087108
 7192.05000,  1.02009039
 7193.05000,  1.01995889
 7194.05000,  1.01747503
 7195.05000,  1.01994216
 7196.05000,  1.01911591
 7197.05000,  1.02206445
 7198.05000,  1.02284367
 7199.05000,  1.02239645
 7200.05000,  1.02225015
 7201.05000,  1.01842437
 7202.05000,  1.01831282
 7203.05000,  1.01915442
 7204.05000,  1.01198445
 7205.05000,  1.01110305
 7206.05000,  1.00794066
 7207.05000,  1.01084520
 7208.05000,  1.01134103
 7209.05000,  1.00478224
 7210.05000,  1.00800592
 7211.05000,  1.00547937
 7212.05000,  1.00430873
 7213.05000,  1.00465708
 7214.05000,  1.00528591
 7215.05000,  1.00411988
 7216.05000,  1.00671966
 7217.05000,  1.00099811
 7218.05000,  1.00150283
 7219.05000,  1.00057038
 7220.05000,  1.00144857
 7221.05000,  0.99680542
 7222.05000,  0.99798104
 7223.05000,  0.99654843
 7224.05000,  0.99564826
 7225.05000,  0.99676422
 7226.05000,  0.99388862
 7227.05000,  0.99381555
 7228.05000,  0.99238455
 7229.05000,  0.98737718
 7230.05000,  0.98277828
 7231.05000,  0.98089142
 7232.05000,  0.97607346
 7233.05000,  0.97915964
 7234.05000,  0.98038068
 7235.05000,  0.98151703
 7236.05000,  0.97928850
 7237.05000,  0.98047226
 7238.05000,  0.97986138
 7239.05000,  0.97958380
 7240.05000,  0.98231045
 7241.05000,  0.98436221
 7242.05000,  0.97906733
 7243.05000,  0.98490191
 7244.05000,  0.98467779
 7245.05000,  0.98450117
 7246.05000,  0.98307076
 7247.05000,  0.98373610
 7248.05000,  0.98519730
 7249.05000,  0.98402379
 7250.05000,  0.98831245
 7251.05000,  0.98699512
 7252.05000,  0.98652420
 7253.05000,  0.98923856
 7254.05000,  0.99224022
 7255.05000,  0.99076320
 7256.05000,  0.97931907
 7257.05000,  0.99188629
 7258.05000,  0.98894007
 7259.05000,  0.99315997
 7260.05000,  0.99446173
 7261.05000,  0.99839030
 7262.05000,  0.99531959
 7263.05000,  1.03803375
 7264.05000,  1.00774546
 7265.05000,  0.99327009
 7266.05000,  0.99492856
 7267.05000,  0.99709412
 7268.05000,  1.00130625
 7269.05000,  0.99602410
 7270.05000,  0.99980650
 7271.05000,  1.00453692
 7272.05000,  1.00335742
 7273.05000,  1.00501042
 7274.05000,  0.99550061
 7275.05000,  0.99884941
 7276.05000,  1.00546507
 7277.05000,  1.00594987
 7278.05000,  1.00524079
 7279.05000,  1.00722618
 7280.05000,  1.01607156
 7281.05000,  1.00574908
 7282.05000,  1.00748320
 7283.05000,  1.00334712
 7284.05000,  1.00934189
 7285.05000,  1.00727446
 7286.05000,  1.00562970
 7287.05000,  1.00437542
 7288.05000,  1.00673645
 7289.05000,  1.01130773
 7290.05000,  1.01144438
 7291.05000,  1.01143279
 7292.05000,  1.01239582
 7293.05000,  1.00920673
 7294.05000,  1.01051990
 7295.05000,  1.00928378
 7296.05000,  1.00791035
 7297.05000,  1.00698528
 7298.05000,  1.00909428
 7299.05000,  1.00752437
 7300.05000,  1.00652697
 7301.05000,  1.00603536
 7302.05000,  1.00676112
 7303.05000,  1.00287304
 7304.05000,  1.00428767
 7305.05000,  1.00510575
 7306.05000,  1.00588986
 7307.05000,  1.00811803
 7308.05000,  1.00849408
 7309.05000,  1.00801466
 7310.05000,  1.00972478
 7311.05000,  1.00712604
 7312.05000,  1.01116474
