#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_white_gray_particles_Fe_1.001: FeXANES_GT5_white_gray_particles_Fe_1.001
#------------------------------------------
# energy, FeXANES_GT5_white_gray_particles_Fe_1.001
 7032.05000, -1.71267e-5
 7037.05000,  0.00123892
 7042.05000,  8.42306e-4
 7047.05000,  3.60953e-4
 7052.05000,  3.21023e-5
 7057.05000, -5.31473e-4
 7062.05000, -4.77408e-4
 7067.05000, -7.55053e-4
 7072.05000, -7.23420e-4
 7077.05000, -1.74768e-4
 7082.05000,  4.22783e-4
 7087.05000,  0.00100398
 7092.05000,  0.00295566
 7097.05000,  0.00479334
 7102.05000,  0.00929088
 7102.35000,  0.01076730
 7102.65000,  0.01109670
 7102.95000,  0.01155893
 7103.25000,  0.01196377
 7103.55000,  0.01245603
 7103.85000,  0.01288965
 7104.15000,  0.01344385
 7104.45000,  0.01400940
 7104.75000,  0.01452442
 7105.05000,  0.01520189
 7105.35000,  0.01565052
 7105.65000,  0.01627434
 7105.95000,  0.01676570
 7106.25000,  0.01781339
 7106.55000,  0.01810306
 7106.85000,  0.01910661
 7107.15000,  0.02014848
 7107.45000,  0.02102668
 7107.75000,  0.02237384
 7108.05000,  0.02287515
 7108.35000,  0.02412265
 7108.65000,  0.02470360
 7108.95000,  0.02707615
 7109.25000,  0.02865169
 7109.55000,  0.03091370
 7109.85000,  0.03165890
 7110.15000,  0.03587134
 7110.45000,  0.04109087
 7110.75000,  0.04581742
 7111.05000,  0.05089192
 7111.35000,  0.06174824
 7111.65000,  0.07016480
 7111.95000,  0.08773138
 7112.25000,  0.09797781
 7112.55000,  0.11088743
 7112.85000,  0.11836596
 7113.15000,  0.12572821
 7113.45000,  0.13004886
 7113.75000,  0.12971500
 7114.05000,  0.12264709
 7114.35000,  0.11452059
 7114.65000,  0.11024457
 7114.95000,  0.10973970
 7115.25000,  0.11193853
 7115.55000,  0.11735023
 7115.85000,  0.12114034
 7116.15000,  0.13283039
 7116.45000,  0.14098102
 7116.75000,  0.15287762
 7117.05000,  0.16799101
 7117.35000,  0.17783916
 7117.65000,  0.19350346
 7117.95000,  0.21536955
 7118.25000,  0.23633332
 7118.55000,  0.25667609
 7118.85000,  0.27789559
 7119.15000,  0.30211638
 7119.45000,  0.33093308
 7119.75000,  0.35611388
 7120.05000,  0.37527543
 7120.35000,  0.44147326
 7120.65000,  0.47497554
 7120.95000,  0.51789632
 7121.25000,  0.54958680
 7121.55000,  0.60611318
 7121.85000,  0.65649728
 7122.15000,  0.68106312
