#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_FeTiXRD_striated2_5.001: FeXANES_GT15_FeTiXRD_striated2_5.001
#------------------------------------------
# energy, FeXANES_GT15_FeTiXRD_striated2_5.001
 7032.05000,  0.00145652
 7037.05000,  0.00145191
 7042.05000,  8.86888e-4
 7047.05000,  3.51256e-4
 7052.05000, -3.69515e-5
 7057.05000, -3.68713e-4
 7062.05000, -6.58422e-4
 7067.05000, -6.74508e-4
 7072.05000, -5.51737e-4
 7077.05000, -2.75621e-4
 7082.05000, -1.24513e-4
 7087.05000,  0.00145232
 7092.05000,  0.00261939
 7097.05000,  0.00647492
 7102.05000,  0.00856357
 7102.35000,  0.01230896
 7102.65000,  0.01256355
 7102.95000,  0.01284256
 7103.25000,  0.01372237
 7103.55000,  0.01415706
 7103.85000,  0.01423195
 7104.15000,  0.01499101
 7104.45000,  0.01606632
 7104.75000,  0.01673583
 7105.05000,  0.01717119
 7105.35000,  0.01815666
 7105.65000,  0.01876100
 7105.95000,  0.01948170
 7106.25000,  0.02048185
 7106.55000,  0.02151818
 7106.85000,  0.02260602
 7107.15000,  0.02362017
 7107.45000,  0.02459241
 7107.75000,  0.02570554
 7108.05000,  0.02742863
 7108.35000,  0.02835377
 7108.65000,  0.03047305
 7108.95000,  0.03194077
 7109.25000,  0.03438645
 7109.55000,  0.03659348
 7109.85000,  0.04049627
 7110.15000,  0.04437542
 7110.45000,  0.04937188
 7110.75000,  0.05426700
 7111.05000,  0.06360690
 7111.35000,  0.07287613
 7111.65000,  0.08869414
 7111.95000,  0.11233201
 7112.25000,  0.12121881
 7112.55000,  0.14245997
 7112.85000,  0.15228028
 7113.15000,  0.16026806
 7113.45000,  0.17074766
 7113.75000,  0.17135075
 7114.05000,  0.16587736
 7114.35000,  0.16067249
 7114.65000,  0.15528942
 7114.95000,  0.15500893
 7115.25000,  0.15661417
 7115.55000,  0.15662119
 7115.85000,  0.16366272
 7116.15000,  0.17130475
 7116.45000,  0.17648626
 7116.75000,  0.18026229
 7117.05000,  0.18651496
 7117.35000,  0.19232453
 7117.65000,  0.20510461
 7117.95000,  0.21862037
 7118.25000,  0.23410646
 7118.55000,  0.25535392
 7118.85000,  0.27808546
 7119.15000,  0.29888274
 7119.45000,  0.33564478
 7119.75000,  0.36906603
 7120.05000,  0.38819757
 7120.35000,  0.43310875
 7120.65000,  0.48346163
 7120.95000,  0.51572839
 7121.25000,  0.57315257
 7121.55000,  0.59375287
 7121.85000,  0.65662168
 7122.15000,  0.71397015
 7122.45000,  0.75496889
 7122.75000,  0.79028826
 7123.05000,  0.81671276
 7123.35000,  0.84538001
 7123.65000,  0.87039363
 7123.95000,  0.89313110
 7124.25000,  0.90976450
 7124.55000,  0.93334404
 7124.85000,  0.95934674
 7125.15000,  0.97002455
 7125.45000,  1.00045250
 7125.75000,  1.01302521
 7126.05000,  1.02850404
 7126.35000,  1.04395653
 7126.65000,  1.05531620
 7126.95000,  1.06964228
 7127.25000,  1.08108897
 7127.55000,  1.09363091
 7127.85000,  1.10316395
 7128.15000,  1.10975994
 7128.45000,  1.11837536
 7128.75000,  1.12214699
 7129.05000,  1.12266071
 7129.35000,  1.12734626
 7129.65000,  1.12923296
