#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_Fe_Flaky1_3.001: FeXANES_GT5_Fe_Flaky1_3.001
#------------------------------------------
# energy, FeXANES_GT5_Fe_Flaky1_3.001
 7032.05000,  0.00119450
 7037.05000,  8.29406e-4
 7042.05000,  3.51431e-4
 7047.05000,  8.04882e-5
 7052.05000, -3.29995e-4
 7057.05000, -4.56536e-4
 7062.05000, -4.64923e-4
 7067.05000, -6.71070e-4
 7072.05000, -6.10173e-4
 7077.05000, -2.51080e-4
 7082.05000,  2.89904e-4
 7087.05000,  0.00123255
 7092.05000,  0.00253234
 7097.05000,  0.00513573
 7102.05000,  0.00947481
 7102.35000,  0.00973872
 7102.65000,  0.01008890
 7102.95000,  0.01068103
 7103.25000,  0.01113924
 7103.55000,  0.01164785
 7103.85000,  0.01209286
 7104.15000,  0.01256813
 7104.45000,  0.01310616
 7104.75000,  0.01387510
 7105.05000,  0.01433385
 7105.35000,  0.01486117
 7105.65000,  0.01562907
 7105.95000,  0.01611139
 7106.25000,  0.01679054
 7106.55000,  0.01740428
 7106.85000,  0.01895969
 7107.15000,  0.01990321
 7107.45000,  0.02006549
 7107.75000,  0.02188069
 7108.05000,  0.02298407
 7108.35000,  0.02507250
 7108.65000,  0.02678428
 7108.95000,  0.02739703
 7109.25000,  0.03104398
 7109.55000,  0.03443821
 7109.85000,  0.04068505
 7110.15000,  0.04748380
 7110.45000,  0.05456269
 7110.75000,  0.06741838
 7111.05000,  0.07772934
 7111.35000,  0.07977485
 7111.65000,  0.09308759
 7111.95000,  0.09837303
 7112.25000,  0.10890619
 7112.55000,  0.12012623
 7112.85000,  0.12840732
 7113.15000,  0.13157308
 7113.45000,  0.13137156
 7113.75000,  0.13076987
 7114.05000,  0.12772136
 7114.35000,  0.12888252
 7114.65000,  0.12983420
 7114.95000,  0.13363452
 7115.25000,  0.13512109
 7115.55000,  0.14491415
 7115.85000,  0.15497617
 7116.15000,  0.17085769
 7116.45000,  0.17926033
 7116.75000,  0.20346618
 7117.05000,  0.22503529
 7117.35000,  0.25499466
 7117.65000,  0.26226500
 7117.95000,  0.30783345
 7118.25000,  0.34363583
 7118.55000,  0.39379451
 7118.85000,  0.44172854
 7119.15000,  0.49156457
 7119.45000,  0.51812745
 7119.75000,  0.58090852
 7120.05000,  0.63862227
 7120.35000,  0.67438193
 7120.65000,  0.70450971
 7120.95000,  0.73319120
 7121.25000,  0.75265438
 7121.55000,  0.78462901
 7121.85000,  0.81172986
 7122.15000,  0.83967335
 7122.45000,  0.86482165
 7122.75000,  0.90390651
 7123.05000,  0.93527303
 7123.35000,  0.96022459
 7123.65000,  0.98473557
 7123.95000,  1.00260712
 7124.25000,  1.00881377
 7124.55000,  1.03254029
 7124.85000,  1.04106079
 7125.15000,  1.05313602
 7125.45000,  1.05883954
 7125.75000,  1.06514433
 7126.05000,  1.07640140
 7126.35000,  1.08055972
 7126.65000,  1.09533028
 7126.95000,  1.10113144
 7127.25000,  1.11450297
 7127.55000,  1.13951277
 7127.85000,  1.15286099
 7128.15000,  1.16438259
 7128.45000,  1.18043827
 7128.75000,  1.19393541
 7129.05000,  1.20100060
 7129.35000,  1.20056933
 7129.65000,  1.20289070
 7129.95000,  1.20467284
 7130.25000,  1.20038604
 7130.55000,  1.19290759
 7130.85000,  1.18133844
 7131.15000,  1.17536177
 7131.45000,  1.16471611
 7131.75000,  1.15549040
 7132.05000,  1.14685464
 7133.05000,  1.12313353
 7134.05000,  1.10383249
 7135.05000,  1.08183338
 7136.05000,  1.07303952
 7137.05000,  1.05635997
 7138.05000,  1.04904855
 7139.05000,  1.03747802
 7140.05000,  1.03468572
 7141.05000,  1.03188287
 7142.05000,  1.03276816
 7143.05000,  1.03159163
 7144.05000,  1.02285916
 7145.05000,  1.01723566
 7146.05000,  1.00540696
 7147.05000,  0.99724331
 7148.05000,  0.97943670
 7149.05000,  0.96985993
 7150.05000,  0.96100556
 7151.05000,  0.95106777
 7152.05000,  0.94780301
 7153.05000,  0.94440216
 7154.05000,  0.94165012
 7155.05000,  0.94007685
 7156.05000,  0.93695620
 7157.05000,  0.93605634
 7158.05000,  0.93737669
 7159.05000,  0.93781543
 7160.05000,  0.94409372
 7161.05000,  0.94584106
 7162.05000,  0.95257704
 7163.05000,  0.95598357
 7164.05000,  0.96536941
 7165.05000,  0.96638345
 7166.05000,  0.97552880
 7167.05000,  0.98101582
 7168.05000,  0.98293880
 7169.05000,  0.99014452
 7170.05000,  0.99524336
 7171.05000,  1.00027847
 7172.05000,  1.00124622
 7173.05000,  1.00626797
 7174.05000,  1.01379793
 7175.05000,  1.01671904
 7176.05000,  1.02509183
 7177.05000,  1.02658686
 7178.05000,  1.03655367
 7179.05000,  1.03540341
 7180.05000,  1.03762931
 7181.05000,  1.04015561
 7182.05000,  1.04237901
 7183.05000,  1.04265149
 7184.05000,  1.04124116
 7185.05000,  1.04289336
 7186.05000,  1.04004592
 7187.05000,  1.03978075
 7188.05000,  1.03632909
 7189.05000,  1.03653939
 7190.05000,  1.03622818
 7191.05000,  1.02902667
 7192.05000,  1.02568138
