#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_flakydark_Fe_2.001: FeXANES_GT15_flakydark_Fe_2.001
#------------------------------------------
# energy, FeXANES_GT15_flakydark_Fe_2.001
 7032.05000, -6.29646e-4
 7037.05000,  4.07478e-4
 7042.05000,  2.55429e-4
 7047.05000, -4.58833e-5
 7052.05000, -8.87961e-5
 7057.05000, -2.80281e-4
 7062.05000, -3.64761e-4
 7067.05000, -5.81939e-4
 7072.05000, -1.74761e-4
 7077.05000,  9.90205e-5
 7082.05000,  7.74495e-4
 7087.05000,  0.00106533
 7092.05000,  0.00269317
 7097.05000,  0.00488569
 7102.05000,  0.00753026
 7102.35000,  0.01017143
 7102.65000,  0.01070437
 7102.95000,  0.01116875
 7103.25000,  0.01128994
 7103.55000,  0.01202002
 7103.85000,  0.01240527
 7104.15000,  0.01263979
 7104.45000,  0.01293918
 7104.75000,  0.01385502
 7105.05000,  0.01431961
 7105.35000,  0.01444227
 7105.65000,  0.01571487
 7105.95000,  0.01570562
 7106.25000,  0.01669918
 7106.55000,  0.01764450
 7106.85000,  0.01821603
 7107.15000,  0.01852949
 7107.45000,  0.02045539
 7107.75000,  0.02083622
 7108.05000,  0.02258050
 7108.35000,  0.02334265
 7108.65000,  0.02408114
 7108.95000,  0.02637699
 7109.25000,  0.02834449
 7109.55000,  0.03225026
 7109.85000,  0.03570183
 7110.15000,  0.04066875
 7110.45000,  0.04688925
 7110.75000,  0.05338472
 7111.05000,  0.05616877
 7111.35000,  0.05920807
 7111.65000,  0.06140455
 7111.95000,  0.06298672
 7112.25000,  0.06362275
 7112.55000,  0.06582851
 7112.85000,  0.06857290
 7113.15000,  0.07141458
 7113.45000,  0.07242686
 7113.75000,  0.07352503
 7114.05000,  0.07441463
 7114.35000,  0.07594156
 7114.65000,  0.07974094
 7114.95000,  0.08388102
 7115.25000,  0.08963664
 7115.55000,  0.09770246
 7115.85000,  0.10944902
 7116.15000,  0.12406950
 7116.45000,  0.14884743
 7116.75000,  0.17481417
 7117.05000,  0.20427569
 7117.35000,  0.24088666
 7117.65000,  0.28221010
 7117.95000,  0.32516079
 7118.25000,  0.37904789
 7118.55000,  0.43530229
 7118.85000,  0.49765196
