#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flakysmooth2_Fe_20.001: FeXANES_GT5_flakysmooth2_Fe_20.001
#------------------------------------------
# energy, FeXANES_GT5_flakysmooth2_Fe_20.001
 7032.05000,  7.27092e-4
 7037.05000,  4.53668e-4
 7042.05000,  1.76046e-4
 7047.05000,  2.83850e-5
 7052.05000, -2.58972e-4
 7057.05000, -2.86500e-4
 7062.05000, -4.27735e-4
 7067.05000, -3.28805e-4
 7072.05000, -1.15246e-4
 7077.05000,  2.24103e-4
 7082.05000,  5.35056e-4
 7087.05000,  7.70947e-4
 7092.05000,  0.00272825
 7097.05000,  0.00423623
 7102.05000,  0.00840082
 7102.35000,  0.00917052
 7102.65000,  0.00903221
 7102.95000,  0.00962639
 7103.25000,  0.01029900
 7103.55000,  0.01005049
 7103.85000,  0.01071012
 7104.15000,  0.01096768
 7104.45000,  0.01106919
 7104.75000,  0.01159660
 7105.05000,  0.01224715
 7105.35000,  0.01305129
 7105.65000,  0.01332102
 7105.95000,  0.01357930
 7106.25000,  0.01444667
 7106.55000,  0.01553623
 7106.85000,  0.01635699
 7107.15000,  0.01710236
 7107.45000,  0.01766920
 7107.75000,  0.01909071
 7108.05000,  0.02015530
 7108.35000,  0.02162505
 7108.65000,  0.02321144
 7108.95000,  0.02554210
 7109.25000,  0.02727756
 7109.55000,  0.02986094
 7109.85000,  0.03695802
 7110.15000,  0.04225589
 7110.45000,  0.04604548
 7110.75000,  0.06015401
 7111.05000,  0.07014515
 7111.35000,  0.07411511
 7111.65000,  0.07569804
 7111.95000,  0.07753891
 7112.25000,  0.07918193
 7112.55000,  0.08218902
 7112.85000,  0.08608175
 7113.15000,  0.08619718
 7113.45000,  0.08806131
 7113.75000,  0.08863710
 7114.05000,  0.08982657
 7114.35000,  0.09490493
 7114.65000,  0.10117616
 7114.95000,  0.10669530
 7115.25000,  0.11811617
 7115.55000,  0.12676226
 7115.85000,  0.13819240
 7116.15000,  0.16545223
 7116.45000,  0.18336504
 7116.75000,  0.21453724
 7117.05000,  0.24365249
 7117.35000,  0.27328463
 7117.65000,  0.30842281
 7117.95000,  0.32970075
 7118.25000,  0.39684477
 7118.55000,  0.42319809
 7118.85000,  0.50607091
 7119.15000,  0.56430562
 7119.45000,  0.62188462
 7119.75000,  0.67234007
 7120.05000,  0.72126563
 7120.35000,  0.75279417
 7120.65000,  0.80032900
 7120.95000,  0.83151797
 7121.25000,  0.85763822
 7121.55000,  0.89989913
 7121.85000,  0.91939169
 7122.15000,  0.96386189
 7122.45000,  0.99914851
 7122.75000,  1.03728826
 7123.05000,  1.07244460
 7123.35000,  1.10348151
 7123.65000,  1.13587553
 7123.95000,  1.15903833
 7124.25000,  1.16784798
 7124.55000,  1.19765775
 7124.85000,  1.20077143
 7125.15000,  1.20705077
 7125.45000,  1.21099207
 7125.75000,  1.20657645
 7126.05000,  1.20834742
 7126.35000,  1.20502802
 7126.65000,  1.21193167
 7126.95000,  1.21675996
 7127.25000,  1.22365142
 7127.55000,  1.23299553
 7127.85000,  1.24553927
 7128.15000,  1.25334825
 7128.45000,  1.26273014
 7128.75000,  1.27252817
 7129.05000,  1.27441737
 7129.35000,  1.27381889
 7129.65000,  1.26952234
 7129.95000,  1.26072398
 7130.25000,  1.24836173
 7130.55000,  1.23488400
 7130.85000,  1.22257070
 7131.15000,  1.20358944
 7131.45000,  1.18931469
 7131.75000,  1.17084508
 7132.05000,  1.16034723
 7133.05000,  1.11360410
 7134.05000,  1.09484904
 7135.05000,  1.06964835
 7136.05000,  1.05264769
 7137.05000,  1.03375708
 7138.05000,  1.02193392
 7139.05000,  1.01201719
 7140.05000,  1.01201103
 7141.05000,  1.01164290
 7142.05000,  1.01385015
 7143.05000,  1.00877693
 7144.05000,  0.99961773
 7145.05000,  0.98631762
 7146.05000,  0.97295310
 7147.05000,  0.96604787
 7148.05000,  0.94669392
 7149.05000,  0.93164853
 7150.05000,  0.92240761
 7151.05000,  0.91069838
 7152.05000,  0.90836041
 7153.05000,  0.90808005
 7154.05000,  0.90698971
 7155.05000,  0.90792483
 7156.05000,  0.91150897
 7157.05000,  0.91400737
 7158.05000,  0.91801989
 7159.05000,  0.92660907
 7160.05000,  0.94004387
 7161.05000,  0.95074300
 7162.05000,  0.96082307
 7163.05000,  0.96826589
 7164.05000,  0.97700648
 7165.05000,  0.98820839
 7166.05000,  0.99126400
 7167.05000,  1.00438990
 7168.05000,  1.00744368
 7169.05000,  1.01639947
 7170.05000,  1.02006469
 7171.05000,  1.02624826
 7172.05000,  1.02817360
 7173.05000,  1.03593131
 7174.05000,  1.03784687
 7175.05000,  1.04155971
 7176.05000,  1.04220759
 7177.05000,  1.04704979
 7178.05000,  1.04691300
 7179.05000,  1.04960757
 7180.05000,  1.05171008
 7181.05000,  1.04844172
 7182.05000,  1.04795652
 7183.05000,  1.04925404
 7184.05000,  1.04818307
 7185.05000,  1.04437183
 7186.05000,  1.04434916
 7187.05000,  1.03909786
 7188.05000,  1.03766642
 7189.05000,  1.03460963
 7190.05000,  1.02792352
 7191.05000,  1.02083892
 7192.05000,  1.01870989
 7193.05000,  1.01552493
 7194.05000,  1.01192890
 7195.05000,  1.00651701
 7196.05000,  1.00507202
 7197.05000,  0.99888932
 7198.05000,  0.99326988
 7199.05000,  0.99124252
 7200.05000,  0.99214951
 7201.05000,  0.98879491
 7202.05000,  0.98311427
 7203.05000,  0.98277621
 7204.05000,  0.98167585
 7205.05000,  0.98104178
 7206.05000,  0.98269446
 7207.05000,  0.98311452
 7208.05000,  0.98308827
 7209.05000,  0.98386189
 7210.05000,  0.98494827
 7211.05000,  0.98474861
 7212.05000,  0.98624319
 7213.05000,  0.98887895
 7214.05000,  0.99091719
 7215.05000,  0.99388078
 7216.05000,  0.99629212
 7217.05000,  0.99664022
 7218.05000,  0.99579957
 7219.05000,  0.99852485
 7220.05000,  1.00191773
 7221.05000,  1.00013210
 7222.05000,  1.00286957
 7223.05000,  1.00375780
 7224.05000,  1.00407188
 7225.05000,  1.00269615
 7226.05000,  1.00321359
 7227.05000,  0.99805398
 7228.05000,  0.99929299
 7229.05000,  1.00073745
 7230.05000,  0.99913421
 7231.05000,  0.99748467
 7232.05000,  0.99486489
 7233.05000,  0.99368583
 7234.05000,  0.99464927
 7235.05000,  0.99327936
 7236.05000,  0.99283399
 7237.05000,  0.99219532
 7238.05000,  0.99037140
 7239.05000,  0.99093811
 7240.05000,  0.99367700
 7241.05000,  0.98609627
 7242.05000,  0.99236669
 7243.05000,  0.99540845
 7244.05000,  0.99295363
 7245.05000,  0.99508213
 7246.05000,  0.99598326
 7247.05000,  1.00198841
 7248.05000,  0.99967322
 7249.05000,  1.00365394
 7250.05000,  1.00677381
 7251.05000,  1.00727332
 7252.05000,  1.01225809
 7253.05000,  1.01045119
 7254.05000,  1.01072710
 7255.05000,  1.01970240
 7256.05000,  1.01043708
 7257.05000,  1.01411289
 7258.05000,  1.01716485
 7259.05000,  1.02454548
 7260.05000,  1.01724401
 7261.05000,  1.02122936
 7262.05000,  1.02544095
 7263.05000,  1.03622473
 7264.05000,  1.04301334
 7265.05000,  0.99445015
 7266.05000,  1.01555852
 7267.05000,  1.01666247
 7268.05000,  1.02315642
 7269.05000,  1.01434993
 7270.05000,  1.01374865
 7271.05000,  1.01531750
 7272.05000,  1.01851100
 7273.05000,  1.01460513
 7274.05000,  1.01087402
 7275.05000,  1.01100079
 7276.05000,  1.01197102
 7277.05000,  1.01043055
 7278.05000,  1.00981911
 7279.05000,  1.00708101
 7280.05000,  1.01499451
 7281.05000,  1.00263069
 7282.05000,  1.00386375
 7283.05000,  1.00403991
 7284.05000,  0.99998333
 7285.05000,  0.99917756
 7286.05000,  0.99893419
 7287.05000,  0.99875219
 7288.05000,  0.99739414
 7289.05000,  0.99532436
 7290.05000,  0.99857216
 7291.05000,  0.99714750
 7292.05000,  0.99415454
 7293.05000,  0.99491028
 7294.05000,  0.99181531
 7295.05000,  0.99054176
 7296.05000,  0.98764445
 7297.05000,  0.98767672
 7298.05000,  0.98806040
 7299.05000,  0.98811670
 7300.05000,  0.98853622
 7301.05000,  0.98561831
 7302.05000,  0.98965695
 7303.05000,  0.98821698
 7304.05000,  0.98634428
 7305.05000,  0.98659008
 7306.05000,  0.98519301
 7307.05000,  0.98765197
 7308.05000,  0.98707547
 7309.05000,  0.98586790
 7310.05000,  0.98524045
 7311.05000,  0.98397343
 7312.05000,  0.98902536
