#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_Fe_6.001: FeXANES_GT15_Fe_6.001
#------------------------------------------
# energy, FeXANES_GT15_Fe_6.001
 7032.05000,  0.00131680
 7037.05000,  8.46271e-4
 7042.05000,  2.31839e-4
 7047.05000,  4.16050e-5
 7052.05000, -3.98516e-4
 7057.05000, -4.91496e-4
 7062.05000, -6.28705e-4
 7067.05000, -6.87652e-4
 7072.05000, -3.23132e-4
 7077.05000,  3.10236e-4
 7082.05000,  0.00109955
 7087.05000,  0.00273678
 7092.05000,  0.00499763
 7097.05000,  0.00872175
 7102.05000,  0.01620439
 7102.35000,  0.01680423
 7102.65000,  0.01740729
 7102.95000,  0.01820263
 7103.25000,  0.01862461
 7103.55000,  0.01957372
 7103.85000,  0.02049386
 7104.15000,  0.02106032
 7104.45000,  0.02205831
 7104.75000,  0.02289848
 7105.05000,  0.02360017
 7105.35000,  0.02498177
 7105.65000,  0.02607159
 7105.95000,  0.02618827
 7106.25000,  0.02788213
 7106.55000,  0.02970500
 7106.85000,  0.03078478
 7107.15000,  0.03293964
 7107.45000,  0.03332504
 7107.75000,  0.03679426
 7108.05000,  0.03868847
 7108.35000,  0.04189281
 7108.65000,  0.04509266
 7108.95000,  0.04610905
 7109.25000,  0.05463856
 7109.55000,  0.06178636
 7109.85000,  0.06730786
 7110.15000,  0.08395230
 7110.45000,  0.10233975
 7110.75000,  0.12831168
 7111.05000,  0.14569473
 7111.35000,  0.15186390
 7111.65000,  0.15624566
 7111.95000,  0.16042780
 7112.25000,  0.16995530
 7112.55000,  0.17807244
 7112.85000,  0.18072771
 7113.15000,  0.18496657
 7113.45000,  0.18656714
 7113.75000,  0.19094781
 7114.05000,  0.19822334
 7114.35000,  0.20552863
 7114.65000,  0.21573476
 7114.95000,  0.23025959
 7115.25000,  0.24356224
 7115.55000,  0.26038173
 7115.85000,  0.28031975
 7116.15000,  0.29266920
 7116.45000,  0.32343814
 7116.75000,  0.35853243
 7117.05000,  0.37421559
 7117.35000,  0.42142927
 7117.65000,  0.45434940
 7117.95000,  0.49315929
 7118.25000,  0.53652883
 7118.55000,  0.58469313
 7118.85000,  0.63585531
 7119.15000,  0.67129203
 7119.45000,  0.71556339
 7119.75000,  0.77019363
 7120.05000,  0.79498628
 7120.35000,  0.83128749
 7120.65000,  0.85502096
 7120.95000,  0.87444758
 7121.25000,  0.88542637
 7121.55000,  0.90547074
 7121.85000,  0.92188399
 7122.15000,  0.93991145
 7122.45000,  0.95524197
 7122.75000,  0.97692317
 7123.05000,  0.98749808
 7123.35000,  1.00117591
 7123.65000,  1.01200168
 7123.95000,  1.01690263
 7124.25000,  1.02400954
 7124.55000,  1.02455883
 7124.85000,  1.02454529
 7125.15000,  1.03018015
 7125.45000,  1.03291068
 7125.75000,  1.03351589
 7126.05000,  1.04017954
 7126.35000,  1.04387390
 7126.65000,  1.04667772
 7126.95000,  1.05651801
 7127.25000,  1.06509403
 7127.55000,  1.07758429
 7127.85000,  1.08501296
 7128.15000,  1.09389193
 7128.45000,  1.10026937
 7128.75000,  1.10677256
 7129.05000,  1.10982402
 7129.35000,  1.11064788
 7129.65000,  1.10873885
 7129.95000,  1.10963141
 7130.25000,  1.10338791
 7130.55000,  1.09777311
 7130.85000,  1.09370139
 7131.15000,  1.08752414
 7131.45000,  1.07881746
 7131.75000,  1.07548442
 7132.05000,  1.06713566
 7133.05000,  1.05159238
 7134.05000,  1.04731174
 7135.05000,  1.04032013
 7136.05000,  1.03342338
 7137.05000,  1.02247031
 7138.05000,  1.01474243
 7139.05000,  1.01034249
 7140.05000,  1.00565108
 7141.05000,  1.00687434
 7142.05000,  1.00538514
 7143.05000,  1.00511562
 7144.05000,  1.00151155
 7145.05000,  0.99432600
