#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky2_Fe_12.001: FeXANES_GT5_flaky2_Fe_12.001
#------------------------------------------
# energy, FeXANES_GT5_flaky2_Fe_12.001
 7032.05000,  7.75924e-4
 7037.05000,  5.21877e-4
 7042.05000,  3.52664e-4
 7047.05000,  1.91367e-5
 7052.05000, -2.80669e-4
 7057.05000, -5.78386e-4
 7062.05000, -4.23946e-4
 7067.05000, -4.29949e-4
 7072.05000, -1.72073e-4
 7077.05000,  2.53559e-4
 7082.05000,  7.37786e-4
 7087.05000,  0.00181916
 7092.05000,  0.00312621
 7097.05000,  0.00577046
 7102.05000,  0.00869148
 7102.35000,  0.01035970
 7102.65000,  0.01048389
 7102.95000,  0.01095435
 7103.25000,  0.01170607
 7103.55000,  0.01195485
 7103.85000,  0.01248879
 7104.15000,  0.01291233
 7104.45000,  0.01332159
 7104.75000,  0.01353717
 7105.05000,  0.01457521
 7105.35000,  0.01500944
 7105.65000,  0.01562390
 7105.95000,  0.01637029
 7106.25000,  0.01732785
 7106.55000,  0.01780167
 7106.85000,  0.01914217
 7107.15000,  0.01976384
 7107.45000,  0.02131184
 7107.75000,  0.02219264
 7108.05000,  0.02381033
 7108.35000,  0.02504387
 7108.65000,  0.02656388
 7108.95000,  0.02820873
 7109.25000,  0.03041669
 7109.55000,  0.03514848
 7109.85000,  0.03787085
 7110.15000,  0.04568955
 7110.45000,  0.05531937
 7110.75000,  0.06279518
 7111.05000,  0.07188825
 7111.35000,  0.08568047
 7111.65000,  0.09686700
 7111.95000,  0.10839790
 7112.25000,  0.12905456
 7112.55000,  0.14343311
 7112.85000,  0.15274590
 7113.15000,  0.15266053
 7113.45000,  0.14852978
 7113.75000,  0.14572977
 7114.05000,  0.13980050
 7114.35000,  0.13885208
 7114.65000,  0.13818403
 7114.95000,  0.13990073
 7115.25000,  0.14440100
 7115.55000,  0.15033197
 7115.85000,  0.15801859
 7116.15000,  0.16624554
 7116.45000,  0.18392227
 7116.75000,  0.19553174
 7117.05000,  0.21966513
 7117.35000,  0.23131174
 7117.65000,  0.26148827
 7117.95000,  0.26211985
 7118.25000,  0.31984283
 7118.55000,  0.35551880
 7118.85000,  0.39526104
 7119.15000,  0.44200130
 7119.45000,  0.49087067
 7119.75000,  0.52418852
 7120.05000,  0.55875884
 7120.35000,  0.60879512
 7120.65000,  0.64641554
 7120.95000,  0.68029366
 7121.25000,  0.71734212
 7121.55000,  0.74527348
 7121.85000,  0.77306638
 7122.15000,  0.80080867
 7122.45000,  0.82342822
 7122.75000,  0.85224451
 7123.05000,  0.87275112
 7123.35000,  0.90827433
 7123.65000,  0.93709032
 7123.95000,  0.95945870
 7124.25000,  0.97837328
 7124.55000,  0.99529914
 7124.85000,  1.00302780
