#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_super_dark_Fe_8.001: FeXANES_GT15_super_dark_Fe_8.001
#------------------------------------------
# energy, FeXANES_GT15_super_dark_Fe_8.001
 7207.05000,  0.99063818
 7208.05000,  0.99091285
 7209.05000,  0.99458233
 7210.05000,  0.99345961
 7211.05000,  0.99611102
 7212.05000,  0.99791092
 7213.05000,  0.99988319
 7214.05000,  1.00251351
 7215.05000,  1.00275242
 7216.05000,  1.00576509
 7217.05000,  1.00554186
 7218.05000,  1.00956286
 7219.05000,  1.00905818
 7220.05000,  1.01083485
 7221.05000,  1.00807831
 7222.05000,  1.00691041
 7223.05000,  1.00833329
 7224.05000,  1.00648877
 7225.05000,  1.00603621
 7226.05000,  1.00433790
 7227.05000,  1.00403134
 7228.05000,  1.00327161
 7229.05000,  1.00035855
 7230.05000,  0.99925327
 7231.05000,  0.99946432
 7232.05000,  0.99589425
 7233.05000,  0.99485893
 7234.05000,  0.99524618
 7235.05000,  0.99405557
 7236.05000,  0.99390620
 7237.05000,  0.99600497
 7238.05000,  0.99770990
 7239.05000,  0.99642866
 7240.05000,  0.99934079
 7241.05000,  1.00190626
 7242.05000,  1.00181934
 7243.05000,  1.00506474
 7244.05000,  1.00748403
 7245.05000,  1.00931795
 7246.05000,  1.01102886
 7247.05000,  1.01614425
 7248.05000,  1.01140090
 7249.05000,  1.01078625
 7250.05000,  1.01193514
 7251.05000,  1.01203682
 7252.05000,  1.01321126
 7253.05000,  1.01251596
 7254.05000,  1.02199028
 7255.05000,  1.01884121
 7256.05000,  1.01284628
 7257.05000,  1.01437721
 7258.05000,  1.01303530
 7259.05000,  1.01648527
 7260.05000,  1.01233573
 7261.05000,  1.01538203
 7262.05000,  1.01845746
 7263.05000,  1.04981002
 7264.05000,  1.04989987
 7265.05000,  1.00952342
 7266.05000,  1.00765602
 7267.05000,  1.00543705
 7268.05000,  1.01450362
 7269.05000,  1.00550879
 7270.05000,  1.00625095
 7271.05000,  1.00719344
 7272.05000,  1.00825897
 7273.05000,  1.00537802
 7274.05000,  1.00233294
 7275.05000,  0.99924171
 7276.05000,  1.00089323
 7277.05000,  0.99883357
 7278.05000,  0.99935961
 7279.05000,  1.00151565
 7280.05000,  1.00245048
 7281.05000,  0.99862426
 7282.05000,  0.99691414
 7283.05000,  0.99895168
 7284.05000,  0.99860862
 7285.05000,  0.99383116
 7286.05000,  0.99770258
 7287.05000,  0.99547660
 7288.05000,  0.99444615
 7289.05000,  0.99541951
 7290.05000,  0.99450056
 7291.05000,  0.99220007
 7292.05000,  0.99172585
 7293.05000,  0.99232675
 7294.05000,  0.99183269
 7295.05000,  0.98856123
 7296.05000,  0.98528691
 7297.05000,  0.98863695
 7298.05000,  0.98621778
 7299.05000,  0.98721169
 7300.05000,  0.98930430
 7301.05000,  0.98770770
 7302.05000,  0.98680102
 7303.05000,  0.98737331
 7304.05000,  0.98774347
 7305.05000,  0.98737281
 7306.05000,  0.98884262
 7307.05000,  0.99034033
 7308.05000,  0.98945253
 7309.05000,  0.99049855
 7310.05000,  0.98924760
 7311.05000,  0.99090582
 7312.05000,  0.99160350
