#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_white_gray_particles_Fe_2.001: FeXANES_GT5_white_gray_particles_Fe_2.001
#------------------------------------------
# energy, FeXANES_GT5_white_gray_particles_Fe_2.001
 7032.05000,  8.21000e-4
 7037.05000,  0.00110024
 7042.05000,  6.07671e-4
 7047.05000,  4.03973e-4
 7052.05000,  5.27860e-6
 7057.05000, -3.51035e-4
 7062.05000, -5.07919e-4
 7067.05000, -6.16597e-4
 7072.05000, -5.09462e-4
 7077.05000, -1.33697e-4
 7082.05000,  1.70204e-4
 7087.05000,  9.31584e-4
 7092.05000,  0.00233246
 7097.05000,  0.00441608
 7102.05000,  0.00865996
 7102.35000,  0.00857310
 7102.65000,  0.00937600
 7102.95000,  0.00949107
 7103.25000,  0.00977334
 7103.55000,  0.01019800
 7103.85000,  0.01054689
 7104.15000,  0.01070077
 7104.45000,  0.01134224
 7104.75000,  0.01175409
 7105.05000,  0.01234284
 7105.35000,  0.01271345
 7105.65000,  0.01314333
 7105.95000,  0.01385313
 7106.25000,  0.01430680
 7106.55000,  0.01495192
 7106.85000,  0.01547495
 7107.15000,  0.01603760
 7107.45000,  0.01697646
 7107.75000,  0.01755536
 7108.05000,  0.01831474
 7108.35000,  0.01968585
 7108.65000,  0.02016757
 7108.95000,  0.02118505
 7109.25000,  0.02280046
 7109.55000,  0.02443010
 7109.85000,  0.02622773
 7110.15000,  0.02760670
 7110.45000,  0.03214566
 7110.75000,  0.03604171
 7111.05000,  0.04048649
 7111.35000,  0.04963824
 7111.65000,  0.06160552
 7111.95000,  0.07627511
 7112.25000,  0.08893128
 7112.55000,  0.09601639
 7112.85000,  0.10564649
 7113.15000,  0.10557268
 7113.45000,  0.11456903
 7113.75000,  0.11618567
 7114.05000,  0.10993308
 7114.35000,  0.10388427
 7114.65000,  0.09706569
 7114.95000,  0.09371178
 7115.25000,  0.09387728
 7115.55000,  0.09647412
 7115.85000,  0.09955442
 7116.15000,  0.10408665
 7116.45000,  0.10912899
 7116.75000,  0.11325534
 7117.05000,  0.11873612
 7117.35000,  0.12351830
 7117.65000,  0.13040694
 7117.95000,  0.14241658
 7118.25000,  0.15317691
 7118.55000,  0.16213407
 7118.85000,  0.17941884
 7119.15000,  0.19364363
 7119.45000,  0.20967001
 7119.75000,  0.23991668
 7120.05000,  0.27434765
 7120.35000,  0.30707508
 7120.65000,  0.31682622
 7120.95000,  0.37436246
 7121.25000,  0.41708317
 7121.55000,  0.45929877
 7121.85000,  0.52210506
 7122.15000,  0.56510442
 7122.45000,  0.59909171
 7122.75000,  0.63475697
 7123.05000,  0.69235127
