#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flakysmooth2_Fe_15.001: FeXANES_GT5_flakysmooth2_Fe_15.001
#------------------------------------------
# energy, FeXANES_GT5_flakysmooth2_Fe_15.001
 7032.05000, -4.80756e-4
 7037.05000,  3.37123e-4
 7042.05000,  6.77525e-5
 7047.05000,  1.14304e-4
 7052.05000, -1.93457e-4
 7057.05000, -1.89290e-4
 7062.05000, -2.23189e-4
 7067.05000, -4.37235e-4
 7072.05000, -1.17533e-4
 7077.05000,  1.70458e-4
 7082.05000,  4.71065e-4
 7087.05000,  0.00119019
 7092.05000,  0.00179924
 7097.05000,  0.00397157
 7102.05000,  0.00631568
 7102.35000,  0.00745379
 7102.65000,  0.00763162
 7102.95000,  0.00811304
 7103.25000,  0.00836474
 7103.55000,  0.00853568
 7103.85000,  0.00912588
 7104.15000,  0.00913318
 7104.45000,  0.00999406
 7104.75000,  0.01047709
 7105.05000,  0.01062212
 7105.35000,  0.01114003
 7105.65000,  0.01164597
 7105.95000,  0.01247365
 7106.25000,  0.01265829
 7106.55000,  0.01299215
 7106.85000,  0.01394094
 7107.15000,  0.01456680
 7107.45000,  0.01561131
 7107.75000,  0.01593927
 7108.05000,  0.01741582
 7108.35000,  0.01856689
 7108.65000,  0.01963366
 7108.95000,  0.02116134
 7109.25000,  0.02412095
 7109.55000,  0.02736274
 7109.85000,  0.03361601
 7110.15000,  0.03896157
 7110.45000,  0.04831875
 7110.75000,  0.06428505
 7111.05000,  0.07238844
 7111.35000,  0.07763412
 7111.65000,  0.08435970
 7111.95000,  0.08447948
 7112.25000,  0.08608217
 7112.55000,  0.09083257
 7112.85000,  0.09351562
 7113.15000,  0.09561752
 7113.45000,  0.09424387
 7113.75000,  0.08251599
 7114.05000,  0.08054319
 7114.35000,  0.07527425
 7114.65000,  0.07314979
 7114.95000,  0.07710074
 7115.25000,  0.08564840
 7115.55000,  0.09052440
 7115.85000,  0.11886642
 7116.15000,  0.13656988
 7116.45000,  0.16393136
 7116.75000,  0.19661283
 7117.05000,  0.24676188
 7117.35000,  0.25905412
 7117.65000,  0.33344852
 7117.95000,  0.39271246
 7118.25000,  0.43786353
 7118.55000,  0.46879411
 7118.85000,  0.52113482
 7119.15000,  0.54695625
 7119.45000,  0.58626413
 7119.75000,  0.61752452
 7120.05000,  0.62423993
 7120.35000,  0.66905856
 7120.65000,  0.69406068
 7120.95000,  0.71465414
 7121.25000,  0.74880929
 7121.55000,  0.77151418
 7121.85000,  0.80563192
 7122.15000,  0.84502263
 7122.45000,  0.88098833
 7122.75000,  0.90774998
 7123.05000,  0.94135581
 7123.35000,  0.97972100
 7123.65000,  1.00085818
 7123.95000,  1.03227481
 7124.25000,  1.04688323
 7124.55000,  1.06704727
 7124.85000,  1.08951372
 7125.15000,  1.10709488
 7125.45000,  1.11850904
 7125.75000,  1.13223865
 7126.05000,  1.13866577
 7126.35000,  1.14846623
 7126.65000,  1.15521978
 7126.95000,  1.15797936
 7127.25000,  1.17405517
 7127.55000,  1.17784469
 7127.85000,  1.18545747
 7128.15000,  1.19226042
 7128.45000,  1.19090056
 7128.75000,  1.19138079
 7129.05000,  1.19450812
 7129.35000,  1.19759646
 7129.65000,  1.20048815
 7129.95000,  1.19771428
 7130.25000,  1.19335314
 7130.55000,  1.19254857
 7130.85000,  1.18931456
 7131.15000,  1.18700674
 7131.45000,  1.18304918
 7131.75000,  1.18162649
 7132.05000,  1.17742639
 7133.05000,  1.16281559
