#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_concentric_gray3_Fe_4.001: FeXANES_GT5_concentric_gray3_Fe_4.001
#------------------------------------------
# energy, FeXANES_GT5_concentric_gray3_Fe_4.001
 7032.05000, -2.70350e-4
 7037.05000,  7.43732e-4
 7042.05000,  3.53406e-4
 7047.05000,  1.73190e-4
 7052.05000,  6.61969e-5
 7057.05000, -8.30393e-5
 7062.05000, -3.53737e-4
 7067.05000, -4.12147e-4
 7072.05000, -3.54921e-4
 7077.05000, -4.20026e-5
 7082.05000,  3.47325e-5
 7087.05000,  6.18323e-4
 7092.05000,  0.00196748
 7097.05000,  0.00372063
 7102.05000,  0.00636053
 7102.35000,  0.00641518
 7102.65000,  0.00674783
 7102.95000,  0.00709453
 7103.25000,  0.00732533
 7103.55000,  0.00752289
 7103.85000,  0.00787625
 7104.15000,  0.00827888
 7104.45000,  0.00830106
 7104.75000,  0.00866148
 7105.05000,  0.00885851
 7105.35000,  0.00949204
 7105.65000,  0.00984215
 7105.95000,  0.01018845
 7106.25000,  0.01061424
 7106.55000,  0.01080639
 7106.85000,  0.01124190
 7107.15000,  0.01208005
 7107.45000,  0.01265485
 7107.75000,  0.01355039
 7108.05000,  0.01394704
 7108.35000,  0.01488235
 7108.65000,  0.01566712
 7108.95000,  0.01662264
 7109.25000,  0.01816430
 7109.55000,  0.01954588
 7109.85000,  0.02122891
 7110.15000,  0.02386998
 7110.45000,  0.02656323
 7110.75000,  0.02958302
 7111.05000,  0.03564540
 7111.35000,  0.03742676
 7111.65000,  0.04921416
 7111.95000,  0.06134787
 7112.25000,  0.07051352
 7112.55000,  0.07646416
 7112.85000,  0.08163158
 7113.15000,  0.08648064
 7113.45000,  0.08928859
 7113.75000,  0.08867030
 7114.05000,  0.08589015
 7114.35000,  0.08311823
 7114.65000,  0.08037231
 7114.95000,  0.07973295
 7115.25000,  0.08086766
 7115.55000,  0.08201864
 7115.85000,  0.08511310
 7116.15000,  0.08691083
 7116.45000,  0.09021902
 7116.75000,  0.09508224
 7117.05000,  0.09818361
 7117.35000,  0.10747414
 7117.65000,  0.11353000
 7117.95000,  0.12368260
 7118.25000,  0.13192692
 7118.55000,  0.14764767
 7118.85000,  0.15534753
 7119.15000,  0.17975395
 7119.45000,  0.20157383
 7119.75000,  0.21953629
 7120.05000,  0.25148075
 7120.35000,  0.26648309
