#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky2_FeXRD_15.001: FeXANES_GT5_flaky2_FeXRD_15.001
#------------------------------------------
# energy, FeXANES_GT5_flaky2_FeXRD_15.001
 7032.05000,  3.98000e-4
 7037.05000,  6.84476e-4
 7042.05000,  4.78003e-4
 7047.05000,  2.56989e-4
 7052.05000, -3.90637e-5
 7057.05000, -2.08186e-4
 7062.05000, -1.94994e-4
 7067.05000, -5.11688e-4
 7072.05000, -4.42741e-4
 7077.05000, -1.94489e-4
 7082.05000, -9.64484e-5
 7087.05000,  9.52619e-4
 7092.05000,  0.00152935
 7097.05000,  0.00311133
 7102.05000,  0.00509312
 7102.35000,  0.00618017
 7102.65000,  0.00614778
 7102.95000,  0.00669680
 7103.25000,  0.00655215
 7103.55000,  0.00689685
 7103.85000,  0.00714726
 7104.15000,  0.00765294
 7104.45000,  0.00794897
 7104.75000,  0.00815581
 7105.05000,  0.00867250
 7105.35000,  0.00897018
 7105.65000,  0.00929647
 7105.95000,  0.00971327
 7106.25000,  0.01000146
 7106.55000,  0.01022685
 7106.85000,  0.01088030
 7107.15000,  0.01165298
 7107.45000,  0.01187012
 7107.75000,  0.01265307
 7108.05000,  0.01323960
 7108.35000,  0.01439152
 7108.65000,  0.01518819
 7108.95000,  0.01605788
 7109.25000,  0.01649644
 7109.55000,  0.01842562
 7109.85000,  0.02027819
 7110.15000,  0.02324921
 7110.45000,  0.02577814
 7110.75000,  0.03028447
 7111.05000,  0.03316453
 7111.35000,  0.03586759
 7111.65000,  0.03933376
 7111.95000,  0.04750336
 7112.25000,  0.05187117
 7112.55000,  0.05781418
 7112.85000,  0.06128423
 7113.15000,  0.06406922
 7113.45000,  0.06500968
 7113.75000,  0.06525834
 7114.05000,  0.06363727
 7114.35000,  0.06178524
 7114.65000,  0.05764642
 7114.95000,  0.05639009
 7115.25000,  0.05624084
 7115.55000,  0.05834236
 7115.85000,  0.06113709
 7116.15000,  0.06899908
 7116.45000,  0.07664052
 7116.75000,  0.08465010
 7117.05000,  0.09852342
 7117.35000,  0.11342215
 7117.65000,  0.13088317
 7117.95000,  0.15028337
 7118.25000,  0.17236774
 7118.55000,  0.20000370
 7118.85000,  0.23163304
 7119.15000,  0.26892056
 7119.45000,  0.31102365
 7119.75000,  0.35574327
 7120.05000,  0.38698713
 7120.35000,  0.42219808
 7120.65000,  0.45971660
 7120.95000,  0.48011589
 7121.25000,  0.50758698
 7121.55000,  0.54389001
 7121.85000,  0.56926652
 7122.15000,  0.61176744
 7122.45000,  0.67004081
 7122.75000,  0.72389394
 7123.05000,  0.77518695
 7123.35000,  0.82770105
 7123.65000,  0.85181872
 7123.95000,  0.91328224
 7124.25000,  0.95039305
 7124.55000,  0.97228765
 7124.85000,  0.99924680
 7125.15000,  1.03589980
 7125.45000,  1.05969391
 7125.75000,  1.06597195
 7126.05000,  1.11032949
 7126.35000,  1.14142995
 7126.65000,  1.16932950
 7126.95000,  1.19953343
 7127.25000,  1.23240720
 7127.55000,  1.26172576
 7127.85000,  1.28606307
 7128.15000,  1.32325959
 7128.45000,  1.35115268
 7128.75000,  1.36932042
 7129.05000,  1.38675835
 7129.35000,  1.40034356
 7129.65000,  1.40266994
 7129.95000,  1.40148393
 7130.25000,  1.39843556
 7130.55000,  1.39007573
 7130.85000,  1.38696037
 7131.15000,  1.37877456
 7131.45000,  1.37338698
 7131.75000,  1.36815392
 7132.05000,  1.35296357
 7133.05000,  1.31501511
 7134.05000,  1.24027870
 7135.05000,  1.18825984
 7136.05000,  1.15914435
 7137.05000,  1.12227479
 7138.05000,  1.10501628
 7139.05000,  1.10433939
 7140.05000,  1.10208715
 7141.05000,  1.09934407
 7142.05000,  1.09601914
 7143.05000,  1.08563646
 7144.05000,  1.07615697
 7145.05000,  1.05932431
 7146.05000,  1.03955011
 7147.05000,  1.02129393
 7148.05000,  0.98603988
 7149.05000,  0.95995223
 7150.05000,  0.93714287
 7151.05000,  0.91864283
 7152.05000,  0.90639928
 7153.05000,  0.90392669
 7154.05000,  0.89797742
 7155.05000,  0.89897707
 7156.05000,  0.89885085
 7157.05000,  0.89486581
 7158.05000,  0.89638326
 7159.05000,  0.90103642
 7160.05000,  0.90484140
 7161.05000,  0.91293037
 7162.05000,  0.92180477
 7163.05000,  0.93536335
 7164.05000,  0.93759425
 7165.05000,  0.95594739
 7166.05000,  0.97376234
 7167.05000,  0.97798543
 7168.05000,  0.98487538
 7169.05000,  0.99357281
 7170.05000,  1.00445893
 7171.05000,  1.00724490
 7172.05000,  1.01488582
 7173.05000,  1.02418826
 7174.05000,  1.03581096
 7175.05000,  1.04669656
 7176.05000,  1.04796641
 7177.05000,  1.05412254
 7178.05000,  1.05967731
 7179.05000,  1.06250457
 7180.05000,  1.06516564
 7181.05000,  1.06960338
 7182.05000,  1.07071168
 7183.05000,  1.06739913
 7184.05000,  1.07024705
 7185.05000,  1.06605813
 7186.05000,  1.06255914
 7187.05000,  1.06156133
 7188.05000,  1.06159902
 7189.05000,  1.05686206
 7190.05000,  1.05866243
 7191.05000,  1.05397997
 7192.05000,  1.05073184
 7193.05000,  1.04617398
 7194.05000,  1.04298993
 7195.05000,  1.03667526
 7196.05000,  1.03198577
 7197.05000,  1.03060942
 7198.05000,  1.02613304
 7199.05000,  1.02318070
 7200.05000,  1.02342781
 7201.05000,  1.01162709
 7202.05000,  1.01012836
 7203.05000,  1.00625647
 7204.05000,  1.00572151
 7205.05000,  1.00194973
 7206.05000,  1.00108872
 7207.05000,  0.99849851
 7208.05000,  0.99647024
 7209.05000,  0.99599548
 7210.05000,  0.99768177
 7211.05000,  0.99590392
 7212.05000,  0.99039849
 7213.05000,  0.99086205
 7214.05000,  0.99110295
 7215.05000,  0.99131400
 7216.05000,  0.98967902
 7217.05000,  0.99182867
 7218.05000,  0.99036254
 7219.05000,  0.99346566
 7220.05000,  0.99573351
 7221.05000,  0.99548321
 7222.05000,  0.99491983
 7223.05000,  0.99500511
 7224.05000,  0.99351711
 7225.05000,  0.99544027
 7226.05000,  0.99049411
 7227.05000,  0.99192813
 7228.05000,  0.99086499
 7229.05000,  0.99021755
 7230.05000,  0.98759701
 7231.05000,  0.98661099
 7232.05000,  0.98457903
 7233.05000,  0.98288845
 7234.05000,  0.98062308
 7235.05000,  0.98158555
 7236.05000,  0.98347914
 7237.05000,  0.98478779
 7238.05000,  0.98651815
 7239.05000,  0.98562311
 7240.05000,  0.98918261
 7241.05000,  0.99022158
 7242.05000,  0.99211976
 7243.05000,  0.99674687
 7244.05000,  0.99513935
 7245.05000,  1.00007942
 7246.05000,  1.00355871
 7247.05000,  1.00690449
 7248.05000,  1.00631576
 7249.05000,  1.00568573
 7250.05000,  1.00850037
 7251.05000,  1.00884534
 7252.05000,  1.01310989
 7253.05000,  1.01312009
 7254.05000,  1.01251769
 7255.05000,  1.01659153
 7256.05000,  1.01338173
 7257.05000,  1.01409706
 7258.05000,  1.01366556
 7259.05000,  1.01753138
 7260.05000,  1.01076537
 7261.05000,  1.01908647
 7262.05000,  1.02086412
 7263.05000,  1.02941692
 7264.05000,  1.02591080
 7265.05000,  1.01733016
 7266.05000,  1.01517067
 7267.05000,  1.01619241
 7268.05000,  1.01914207
 7269.05000,  1.00735080
 7270.05000,  1.01200845
 7271.05000,  1.01389154
 7272.05000,  1.01591527
 7273.05000,  1.01070615
 7274.05000,  1.00776520
 7275.05000,  1.00625097
 7276.05000,  1.00418563
 7277.05000,  1.00653253
 7278.05000,  1.00465590
 7279.05000,  1.00298200
 7280.05000,  1.00383731
 7281.05000,  1.00489350
 7282.05000,  0.99994346
 7283.05000,  1.00019459
 7284.05000,  1.00171469
 7285.05000,  0.99991592
 7286.05000,  0.99954970
 7287.05000,  0.99758447
 7288.05000,  0.99796092
 7289.05000,  0.99869955
 7290.05000,  0.99589204
 7291.05000,  0.99749267
 7292.05000,  0.99634097
 7293.05000,  0.99977413
 7294.05000,  0.99784306
 7295.05000,  0.99527487
 7296.05000,  0.99277561
 7297.05000,  0.99399865
 7298.05000,  0.99260742
 7299.05000,  0.99108516
 7300.05000,  0.99175978
 7301.05000,  0.99086596
 7302.05000,  0.99089424
 7303.05000,  0.99047650
 7304.05000,  0.99208129
 7305.05000,  0.98906548
 7306.05000,  0.98839878
 7307.05000,  0.99138359
 7308.05000,  0.98997833
 7309.05000,  0.98842480
 7310.05000,  0.99085324
 7311.05000,  0.99016115
 7312.05000,  0.99306636
