#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_FeTiXRD_striated2_7.001: FeXANES_GT15_FeTiXRD_striated2_7.001
#------------------------------------------
# energy, FeXANES_GT15_FeTiXRD_striated2_7.001
 7032.05000,  7.94294e-4
 7037.05000,  5.30240e-4
 7042.05000,  2.53047e-4
 7047.05000, -1.50858e-4
 7052.05000, -1.18353e-4
 7057.05000, -3.32821e-4
 7062.05000, -2.28121e-4
 7067.05000, -4.46046e-4
 7072.05000, -6.00694e-4
 7077.05000,  8.57018e-5
 7082.05000,  0.00100790
 7087.05000,  0.00302019
 7092.05000,  0.00486582
 7097.05000,  0.00721334
 7102.05000,  0.01434264
 7102.35000,  0.01440028
 7102.65000,  0.01502017
 7102.95000,  0.01581128
 7103.25000,  0.01616157
 7103.55000,  0.01671861
 7103.85000,  0.01746960
 7104.15000,  0.01807481
 7104.45000,  0.01900132
 7104.75000,  0.01988079
 7105.05000,  0.02017541
 7105.35000,  0.02122954
 7105.65000,  0.02171612
 7105.95000,  0.02277026
 7106.25000,  0.02376061
 7106.55000,  0.02469901
 7106.85000,  0.02611637
 7107.15000,  0.02801596
 7107.45000,  0.02942571
 7107.75000,  0.03067952
 7108.05000,  0.03284255
 7108.35000,  0.03394027
 7108.65000,  0.03796572
 7108.95000,  0.04121922
 7109.25000,  0.04534779
 7109.55000,  0.05105709
 7109.85000,  0.05946943
 7110.15000,  0.06574920
 7110.45000,  0.08708767
 7110.75000,  0.10466719
 7111.05000,  0.11877914
 7111.35000,  0.12614534
 7111.65000,  0.12800554
 7111.95000,  0.13174108
 7112.25000,  0.13777423
 7112.55000,  0.14781852
 7112.85000,  0.15216190
 7113.15000,  0.15431790
 7113.45000,  0.15540777
 7113.75000,  0.15680720
 7114.05000,  0.15963399
 7114.35000,  0.17146234
 7114.65000,  0.17802086
 7114.95000,  0.18688208
 7115.25000,  0.20029712
 7115.55000,  0.21055956
 7115.85000,  0.21870758
 7116.15000,  0.24802802
 7116.45000,  0.27820195
 7116.75000,  0.30358634
 7117.05000,  0.32461276
 7117.35000,  0.36348122
 7117.65000,  0.39720465
 7117.95000,  0.43419450
 7118.25000,  0.47755681
 7118.55000,  0.52449385
 7118.85000,  0.54894483
 7119.15000,  0.61335080
 7119.45000,  0.66211328
 7119.75000,  0.72169510
 7120.05000,  0.76029209
 7120.35000,  0.79352819
 7120.65000,  0.81692550
 7120.95000,  0.84713930
 7121.25000,  0.86539881
 7121.55000,  0.89280700
 7121.85000,  0.91634860
 7122.15000,  0.93096517
 7122.45000,  0.95866094
 7122.75000,  0.97717540
 7123.05000,  0.99444722
 7123.35000,  1.00999625
 7123.65000,  1.02542504
 7123.95000,  1.03915936
 7124.25000,  1.04319575
 7124.55000,  1.04813671
 7124.85000,  1.05420862
 7125.15000,  1.05552503
 7125.45000,  1.06075546
 7125.75000,  1.06253921
 7126.05000,  1.06831728
 7126.35000,  1.07538662
 7126.65000,  1.08370944
 7126.95000,  1.09153782
 7127.25000,  1.09414412
 7127.55000,  1.11295764
 7127.85000,  1.12562425
 7128.15000,  1.13612773
 7128.45000,  1.14071731
 7128.75000,  1.14630854
 7129.05000,  1.15252925
 7129.35000,  1.15697311
 7129.65000,  1.15480167
 7129.95000,  1.15126859
 7130.25000,  1.14654146
 7130.55000,  1.14441272
 7130.85000,  1.13368352
 7131.15000,  1.12690439
 7131.45000,  1.12246201
 7131.75000,  1.11080229
 7132.05000,  1.10398487
 7133.05000,  1.08288868
 7134.05000,  1.07215498
 7135.05000,  1.05886296
 7136.05000,  1.05276722
 7137.05000,  1.04718772
 7138.05000,  1.03697352
 7139.05000,  1.02435435
 7140.05000,  1.01961682
 7141.05000,  1.01811845
 7142.05000,  1.01754534
 7143.05000,  1.01491658
 7144.05000,  1.00873332
 7145.05000,  1.00607120
 7146.05000,  1.00017846
 7147.05000,  0.99383805
 7148.05000,  0.98069085
 7149.05000,  0.97244727
 7150.05000,  0.96869811
 7151.05000,  0.96582355
 7152.05000,  0.96323960
 7153.05000,  0.96210221
 7154.05000,  0.95818537
 7155.05000,  0.95659584
 7156.05000,  0.95425370
 7157.05000,  0.95233335
 7158.05000,  0.95440437
 7159.05000,  0.95418171
 7160.05000,  0.95892464
 7161.05000,  0.96265253
 7162.05000,  0.96414610
 7163.05000,  0.97026677
 7164.05000,  0.97576511
 7165.05000,  0.97878486
 7166.05000,  0.98213289
 7167.05000,  0.98885277
 7168.05000,  0.99513102
 7169.05000,  1.00082221
 7170.05000,  1.00182996
 7171.05000,  1.00624109
 7172.05000,  1.01404940
 7173.05000,  1.01451652
 7174.05000,  1.01984601
 7175.05000,  1.02377827
 7176.05000,  1.02475568
 7177.05000,  1.02987202
 7178.05000,  1.03544223
 7179.05000,  1.03583024
 7180.05000,  1.03866498
 7181.05000,  1.03933527
 7182.05000,  1.04036359
 7183.05000,  1.03942492
 7184.05000,  1.03636463
 7185.05000,  1.03572252
 7186.05000,  1.03412758
 7187.05000,  1.03400165
 7188.05000,  1.03611725
 7189.05000,  1.03200221
 7190.05000,  1.03115227
 7191.05000,  1.02583559
 7192.05000,  1.02128637
 7193.05000,  1.01885036
 7194.05000,  1.01774292
 7195.05000,  1.01281940
 7196.05000,  1.00645911
 7197.05000,  1.00495697
 7198.05000,  1.00207932
 7199.05000,  0.99733874
 7200.05000,  0.99721370
 7201.05000,  0.99628698
 7202.05000,  0.99283116
 7203.05000,  0.99070282
 7204.05000,  0.99084540
 7205.05000,  0.98941274
 7206.05000,  0.98990291
 7207.05000,  0.98941885
 7208.05000,  0.99000706
 7209.05000,  0.99238976
 7210.05000,  0.99256276
 7211.05000,  0.99471736
 7212.05000,  0.99601814
 7213.05000,  0.99899705
 7214.05000,  0.99890166
 7215.05000,  0.99726128
 7216.05000,  1.00179181
 7217.05000,  1.00188669
 7218.05000,  1.00218863
 7219.05000,  1.00493790
 7220.05000,  1.00733055
 7221.05000,  1.00566943
 7222.05000,  1.00606182
 7223.05000,  1.00807935
 7224.05000,  1.00738379
 7225.05000,  1.00655395
 7226.05000,  1.00809748
 7227.05000,  1.00496130
 7228.05000,  1.00564217
 7229.05000,  1.00736039
 7230.05000,  1.00599107
 7231.05000,  1.00443335
 7232.05000,  1.00164788
 7233.05000,  1.00130483
 7234.05000,  0.99637639
 7235.05000,  0.99599576
 7236.05000,  0.99613968
 7237.05000,  0.99421109
 7238.05000,  0.98982605
 7239.05000,  0.98910626
 7240.05000,  0.98826078
 7241.05000,  0.98468308
 7242.05000,  0.98570239
 7243.05000,  0.98598984
 7244.05000,  0.98718257
 7245.05000,  0.98744348
 7246.05000,  0.98517780
 7247.05000,  0.99774476
 7248.05000,  0.99308192
 7249.05000,  0.98950604
 7250.05000,  0.99667118
 7251.05000,  0.99423207
 7252.05000,  0.99919098
 7253.05000,  0.99824255
 7254.05000,  1.00630934
 7255.05000,  1.01669967
 7256.05000,  1.00127762
 7257.05000,  1.00502632
 7258.05000,  1.00902420
 7259.05000,  1.01496268
 7260.05000,  1.01086975
 7261.05000,  1.01179348
 7262.05000,  1.01495444
 7263.05000,  1.05533574
 7264.05000,  1.05464238
 7265.05000,  0.99611576
 7266.05000,  1.00991228
 7267.05000,  1.01326771
 7268.05000,  1.01746300
 7269.05000,  1.00612800
 7270.05000,  1.01087479
 7271.05000,  1.01233770
 7272.05000,  1.01781169
 7273.05000,  1.01325137
 7274.05000,  1.00397641
 7275.05000,  1.00609241
 7276.05000,  1.00322389
 7277.05000,  1.00391411
 7278.05000,  1.00302514
 7279.05000,  1.00288121
 7280.05000,  1.01041100
 7281.05000,  1.00307370
 7282.05000,  0.99960799
 7283.05000,  1.00026913
 7284.05000,  1.00036239
 7285.05000,  0.99803906
 7286.05000,  0.99643150
 7287.05000,  0.99701488
 7288.05000,  0.99821495
 7289.05000,  0.99477294
 7290.05000,  0.99622374
 7291.05000,  0.99308792
 7292.05000,  0.99276267
 7293.05000,  0.99271085
 7294.05000,  0.99160416
 7295.05000,  0.99344237
 7296.05000,  0.98784458
 7297.05000,  0.98714591
 7298.05000,  0.98713700
 7299.05000,  0.98518561
 7300.05000,  0.98672816
 7301.05000,  0.98531490
 7302.05000,  0.98264232
 7303.05000,  0.98441030
 7304.05000,  0.98112783
 7305.05000,  0.98121679
 7306.05000,  0.98306645
 7307.05000,  0.98012178
 7308.05000,  0.98356637
 7309.05000,  0.98559931
 7310.05000,  0.98581276
 7311.05000,  0.98339279
 7312.05000,  0.98768199
