#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_Fe_Flaky1_8.001: FeXANES_GT5_Fe_Flaky1_8.001
#------------------------------------------
# energy, FeXANES_GT5_Fe_Flaky1_8.001
 7032.05000, -0.00175628
 7037.05000,  2.99887e-4
 7042.05000,  2.31769e-4
 7047.05000, -8.24443e-5
 7052.05000, -9.19469e-5
 7057.05000, -2.25018e-4
 7062.05000, -3.81128e-4
 7067.05000, -2.12560e-4
 7072.05000, -1.60269e-4
 7077.05000,  1.83481e-4
 7082.05000,  4.38230e-4
 7087.05000,  4.74440e-4
 7092.05000,  0.00202707
 7097.05000,  0.00401325
 7102.05000,  0.00724140
 7102.35000,  0.00733066
 7102.65000,  0.00781834
 7102.95000,  0.00781619
 7103.25000,  0.00803044
 7103.55000,  0.00836876
 7103.85000,  0.00911490
 7104.15000,  0.00921491
 7104.45000,  0.00965415
 7104.75000,  0.00994967
 7105.05000,  0.01010165
 7105.35000,  0.01070478
 7105.65000,  0.01109530
 7105.95000,  0.01145084
 7106.25000,  0.01184892
 7106.55000,  0.01239070
 7106.85000,  0.01297163
 7107.15000,  0.01350859
 7107.45000,  0.01413327
 7107.75000,  0.01471856
 7108.05000,  0.01609321
 7108.35000,  0.01667158
 7108.65000,  0.01743832
 7108.95000,  0.01909595
 7109.25000,  0.01947177
 7109.55000,  0.02165527
 7109.85000,  0.02261523
 7110.15000,  0.02765715
 7110.45000,  0.03361174
 7110.75000,  0.03729799
 7111.05000,  0.04131426
 7111.35000,  0.04567246
 7111.65000,  0.04895102
 7111.95000,  0.05194129
 7112.25000,  0.05945726
 7112.55000,  0.06306109
 7112.85000,  0.06713516
 7113.15000,  0.06846661
 7113.45000,  0.07003297
 7113.75000,  0.06996445
 7114.05000,  0.06898246
 7114.35000,  0.06810665
 7114.65000,  0.06782331
 7114.95000,  0.06949963
 7115.25000,  0.07172508
 7115.55000,  0.07584376
 7115.85000,  0.08346446
 7116.15000,  0.09281280
 7116.45000,  0.09593667
 7116.75000,  0.12043593
 7117.05000,  0.13925544
 7117.35000,  0.16016671
 7117.65000,  0.18503247
 7117.95000,  0.20632087
 7118.25000,  0.23013444
 7118.55000,  0.27545949
 7118.85000,  0.33016973
 7119.15000,  0.37001013
 7119.45000,  0.43523180
 7119.75000,  0.47388681
 7120.05000,  0.51886292
 7120.35000,  0.56271678
 7120.65000,  0.59587380
 7120.95000,  0.63230460
 7121.25000,  0.64709044
 7121.55000,  0.68913731
 7121.85000,  0.72522606
 7122.15000,  0.75812556
 7122.45000,  0.81296636
 7122.75000,  0.86516951
 7123.05000,  0.91210617
 7123.35000,  0.96083244
 7123.65000,  1.01036937
 7123.95000,  1.04568340
 7124.25000,  1.07644805
 7124.55000,  1.10805300
 7124.85000,  1.12479880
 7125.15000,  1.14526476
 7125.45000,  1.16722081
 7125.75000,  1.17196557
 7126.05000,  1.19423730
 7126.35000,  1.21015623
 7126.65000,  1.22349147
 7126.95000,  1.24437856
 7127.25000,  1.26426398
 7127.55000,  1.28749569
 7127.85000,  1.31439754
 7128.15000,  1.33466187
 7128.45000,  1.36886117
 7128.75000,  1.39174847
 7129.05000,  1.40238715
 7129.35000,  1.40513868
 7129.65000,  1.40954106
 7129.95000,  1.40337277
 7130.25000,  1.38647714
 7130.55000,  1.36688981
 7130.85000,  1.35590517
 7131.15000,  1.32966164
 7131.45000,  1.32229656
 7131.75000,  1.30628022
 7132.05000,  1.28160774
 7133.05000,  1.22376496
 7134.05000,  1.18298474
 7135.05000,  1.12657057
 7136.05000,  1.09191260
 7137.05000,  1.07573516
 7138.05000,  1.06019321
 7139.05000,  1.05720912
 7140.05000,  1.05994134
 7141.05000,  1.06273008
 7142.05000,  1.05957737
 7143.05000,  1.04962080
 7144.05000,  1.04024478
 7145.05000,  1.03193173
 7146.05000,  0.99468925
 7147.05000,  0.97318883
