#saved Fri Feb 13 15:41:48 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_flaky_gray_mix_Fe_8.001: FeXANES_GT15_flaky_gray_mix_Fe_8.001
#------------------------------------------
# energy, FeXANES_GT15_flaky_gray_mix_Fe_8.001
 7032.05000, -3.76124e-5
 7037.05000,  8.19593e-4
 7042.05000,  4.26312e-4
 7047.05000,  1.49529e-4
 7052.05000,  2.18522e-5
 7057.05000, -2.74361e-4
 7062.05000, -2.47034e-4
 7067.05000, -3.57551e-4
 7072.05000, -2.62843e-4
 7077.05000, -1.47184e-5
 7082.05000, -5.65059e-5
 7087.05000,  6.15319e-4
 7092.05000,  0.00183204
 7097.05000,  0.00317938
 7102.05000,  0.00559351
 7102.35000,  0.00590013
 7102.65000,  0.00636546
 7102.95000,  0.00642761
 7103.25000,  0.00639015
 7103.55000,  0.00718301
 7103.85000,  0.00710232
 7104.15000,  0.00707409
 7104.45000,  0.00768265
 7104.75000,  0.00814167
 7105.05000,  0.00873169
 7105.35000,  0.00912331
 7105.65000,  0.00921959
 7105.95000,  0.00952749
 7106.25000,  0.01029207
 7106.55000,  0.01051898
 7106.85000,  0.01115692
 7107.15000,  0.01186811
 7107.45000,  0.01224620
 7107.75000,  0.01235455
 7108.05000,  0.01361913
 7108.35000,  0.01432937
 7108.65000,  0.01492438
 7108.95000,  0.01609065
 7109.25000,  0.01733597
 7109.55000,  0.01837042
 7109.85000,  0.02076897
 7110.15000,  0.02193328
 7110.45000,  0.02698688
 7110.75000,  0.02966454
 7111.05000,  0.03667293
 7111.35000,  0.04132753
 7111.65000,  0.05141060
 7111.95000,  0.06583850
 7112.25000,  0.08017538
 7112.55000,  0.08629115
 7112.85000,  0.09961266
 7113.15000,  0.10164507
 7113.45000,  0.09529948
 7113.75000,  0.09022563
 7114.05000,  0.08384912
 7114.35000,  0.08012377
 7114.65000,  0.07537791
 7114.95000,  0.07484513
 7115.25000,  0.07581818
 7115.55000,  0.07728789
 7115.85000,  0.08031209
 7116.15000,  0.08372890
 7116.45000,  0.08629568
 7116.75000,  0.09397718
 7117.05000,  0.09849400
 7117.35000,  0.10737270
 7117.65000,  0.11783975
 7117.95000,  0.12415994
 7118.25000,  0.14112155
 7118.55000,  0.15288965
 7118.85000,  0.17758542
 7119.15000,  0.19903841
 7119.45000,  0.22579956
 7119.75000,  0.25504845
 7120.05000,  0.28713764
 7120.35000,  0.32863825
 7120.65000,  0.35628011
 7120.95000,  0.38237531
 7121.25000,  0.41873644
 7121.55000,  0.44702241
 7121.85000,  0.50814798
 7122.15000,  0.54489123
 7122.45000,  0.56751992
 7122.75000,  0.61700024
 7123.05000,  0.65500989
 7123.35000,  0.69105891
 7123.65000,  0.72899596
 7123.95000,  0.75850679
 7124.25000,  0.79623169
 7124.55000,  0.82150068
 7124.85000,  0.85707357
 7125.15000,  0.90621037
 7125.45000,  0.94419611
 7125.75000,  0.97780014
 7126.05000,  1.01226778
 7126.35000,  1.05080180
 7126.65000,  1.04958114
 7126.95000,  1.10169074
 7127.25000,  1.12857786
 7127.55000,  1.15602887
 7127.85000,  1.18058098
 7128.15000,  1.20306543
 7128.45000,  1.21502876
 7128.75000,  1.23052119
 7129.05000,  1.25563485
 7129.35000,  1.26506463
 7129.65000,  1.28079073
 7129.95000,  1.29990079
 7130.25000,  1.30988716
 7130.55000,  1.31972699
 7130.85000,  1.32933733
 7131.15000,  1.33203525
 7131.45000,  1.33624256
 7131.75000,  1.33637453
 7132.05000,  1.33162663
 7133.05000,  1.29822786
 7134.05000,  1.24834834
 7135.05000,  1.20382838
 7136.05000,  1.18049630
 7137.05000,  1.16405063
 7138.05000,  1.15332274
 7139.05000,  1.13941892
 7140.05000,  1.11984433
 7141.05000,  1.10752786
 7142.05000,  1.10075575
 7143.05000,  1.08229546
 7144.05000,  1.07997215
 7145.05000,  1.08002110
 7146.05000,  1.07708881
 7147.05000,  1.06377479
 7148.05000,  1.03684156
 7149.05000,  1.00934296
 7150.05000,  0.99393233
 7151.05000,  0.95982650
 7152.05000,  0.94627530
 7153.05000,  0.93357763
 7154.05000,  0.92273844
 7155.05000,  0.91412792
 7156.05000,  0.90213488
 7157.05000,  0.89447370
 7158.05000,  0.89272699
 7159.05000,  0.88724768
 7160.05000,  0.88688510
 7161.05000,  0.88519480
 7162.05000,  0.88956892
 7163.05000,  0.89474293
 7164.05000,  0.90127341
 7165.05000,  0.90576358
 7166.05000,  0.91542532
 7167.05000,  0.91962208
 7168.05000,  0.93001674
 7169.05000,  0.94211352
 7170.05000,  0.95065295
 7171.05000,  0.96624918
 7172.05000,  0.97903176
 7173.05000,  0.99091746
 7174.05000,  1.01204299
 7175.05000,  1.01727649
 7176.05000,  1.01968522
 7177.05000,  1.02499477
 7178.05000,  1.03167130
 7179.05000,  1.03724530
 7180.05000,  1.04173680
 7181.05000,  1.04499522
 7182.05000,  1.04440840
 7183.05000,  1.04561384
 7184.05000,  1.04771188
 7185.05000,  1.04321538
 7186.05000,  1.04498285
 7187.05000,  1.04650556
 7188.05000,  1.04564676
 7189.05000,  1.04560020
 7190.05000,  1.04110493
 7191.05000,  1.04013671
 7192.05000,  1.03655933
 7193.05000,  1.03703186
 7194.05000,  1.03246607
 7195.05000,  1.03109241
 7196.05000,  1.03020779
 7197.05000,  1.02461457
 7198.05000,  1.02248366
 7199.05000,  1.02014972
 7200.05000,  1.01545257
 7201.05000,  1.00992586
 7202.05000,  1.00282265
 7203.05000,  1.00187864
 7204.05000,  0.99991959
 7205.05000,  0.99461811
 7206.05000,  0.98874787
 7207.05000,  0.98922401
 7208.05000,  0.98889592
 7209.05000,  0.99194343
 7210.05000,  0.99264283
