#saved Fri Feb 13 15:41:48 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_rectangles_Fe_4.001: FeXANES_GT15_rectangles_Fe_4.001
#------------------------------------------
# energy, FeXANES_GT15_rectangles_Fe_4.001
 7032.05000,  6.68533e-4
 7037.05000,  4.59703e-4
 7042.05000,  1.28351e-4
 7047.05000, -1.11289e-5
 7052.05000, -2.84000e-4
 7057.05000, -2.59948e-4
 7062.05000, -2.78744e-4
 7067.05000, -2.32679e-4
 7072.05000, -2.36393e-4
 7077.05000,  2.03309e-4
 7082.05000,  5.11531e-4
 7087.05000,  0.00101600
 7092.05000,  0.00295874
 7097.05000,  0.00517130
 7102.05000,  0.00790929
 7102.35000,  0.00901261
 7102.65000,  0.00958310
 7102.95000,  0.01006510
 7103.25000,  0.01013666
 7103.55000,  0.01045998
 7103.85000,  0.01072442
 7104.15000,  0.01121604
 7104.45000,  0.01153218
 7104.75000,  0.01233391
 7105.05000,  0.01265534
 7105.35000,  0.01328470
 7105.65000,  0.01370080
 7105.95000,  0.01388865
 7106.25000,  0.01498339
 7106.55000,  0.01547476
 7106.85000,  0.01620117
 7107.15000,  0.01713257
 7107.45000,  0.01777304
 7107.75000,  0.01897186
 7108.05000,  0.01976706
 7108.35000,  0.02101575
 7108.65000,  0.02209001
 7108.95000,  0.02386735
 7109.25000,  0.02578052
 7109.55000,  0.02864173
 7109.85000,  0.03209663
 7110.15000,  0.03756196
 7110.45000,  0.04290831
 7110.75000,  0.04621886
 7111.05000,  0.05064466
 7111.35000,  0.05236506
 7111.65000,  0.05287378
 7111.95000,  0.05809889
 7112.25000,  0.06060625
 7112.55000,  0.06349426
 7112.85000,  0.06576772
 7113.15000,  0.06906980
 7113.45000,  0.06949417
 7113.75000,  0.07019728
 7114.05000,  0.06981371
 7114.35000,  0.07028923
 7114.65000,  0.07126957
 7114.95000,  0.07526141
 7115.25000,  0.07901537
 7115.55000,  0.08790702
 7115.85000,  0.09733040
 7116.15000,  0.10427687
 7116.45000,  0.12813560
 7116.75000,  0.13900322
 7117.05000,  0.16998041
 7117.35000,  0.20680601
 7117.65000,  0.23284573
 7117.95000,  0.26990979
 7118.25000,  0.31590208
 7118.55000,  0.36670578
 7118.85000,  0.43932957
 7119.15000,  0.49877121
 7119.45000,  0.52978507
 7119.75000,  0.59854151
 7120.05000,  0.64539604
 7120.35000,  0.69032587
 7120.65000,  0.71449007
 7120.95000,  0.75198593
 7121.25000,  0.78093983
 7121.55000,  0.80946163
 7121.85000,  0.84672690
 7122.15000,  0.86756568
 7122.45000,  0.92469158
 7122.75000,  0.95818105
 7123.05000,  1.01272248
 7123.35000,  1.05104260
 7123.65000,  1.08070218
 7123.95000,  1.10200010
 7124.25000,  1.14000249
 7124.55000,  1.15935972
 7124.85000,  1.17111348
 7125.15000,  1.18430050
 7125.45000,  1.19146756
 7125.75000,  1.20342939
 7126.05000,  1.20296655
 7126.35000,  1.21328141
 7126.65000,  1.22311909
 7126.95000,  1.23485023
 7127.25000,  1.25249694
 7127.55000,  1.25908909
 7127.85000,  1.28091826
 7128.15000,  1.30767199
 7128.45000,  1.32136315
 7128.75000,  1.33121735
 7129.05000,  1.34034322
 7129.35000,  1.33925130
 7129.65000,  1.32519686
 7129.95000,  1.30403934
 7130.25000,  1.28717359
 7130.55000,  1.26621422
 7130.85000,  1.23773926
 7131.15000,  1.21200771
 7131.45000,  1.19659753
 7131.75000,  1.16491400
 7132.05000,  1.14624404
 7133.05000,  1.09387282
 7134.05000,  1.06084431
 7135.05000,  1.02506531
 7136.05000,  1.00087276
 7137.05000,  0.98892633
 7138.05000,  0.98258981
 7139.05000,  0.98621933
 7140.05000,  0.99600707
 7141.05000,  1.00374126
 7142.05000,  1.00613465
 7143.05000,  0.99746048
 7144.05000,  0.98633954
 7145.05000,  0.96565037
 7146.05000,  0.94291983
 7147.05000,  0.92350833
 7148.05000,  0.90449933
 7149.05000,  0.89589081
 7150.05000,  0.88834125
 7151.05000,  0.88272116
 7152.05000,  0.88373801
 7153.05000,  0.89093464
 7154.05000,  0.89908144
 7155.05000,  0.90032945
 7156.05000,  0.91263690
 7157.05000,  0.92601955
 7158.05000,  0.93305317
 7159.05000,  0.93977396
 7160.05000,  0.95320026
 7161.05000,  0.96515599
 7162.05000,  0.97580758
 7163.05000,  0.98470201
 7164.05000,  0.99681720
 7165.05000,  1.00143592
 7166.05000,  1.00674130
 7167.05000,  1.00578634
 7168.05000,  1.00762020
 7169.05000,  1.00752440
 7170.05000,  1.00199665
 7171.05000,  1.00371016
 7172.05000,  1.00731899
 7173.05000,  1.01355033
 7174.05000,  1.02077488
 7175.05000,  1.02574374
 7176.05000,  1.03386740
 7177.05000,  1.03503471
 7178.05000,  1.03756916
 7179.05000,  1.03872158
 7180.05000,  1.04501782
 7181.05000,  1.04416286
 7182.05000,  1.04078921
 7183.05000,  1.03923161
 7184.05000,  1.03883716
 7185.05000,  1.03511893
 7186.05000,  1.03677007
 7187.05000,  1.03462576
 7188.05000,  1.02966464
 7189.05000,  1.02907306
 7190.05000,  1.02130883
 7191.05000,  1.01692629
 7192.05000,  1.01529960
 7193.05000,  1.00576601
 7194.05000,  1.00347096
 7195.05000,  1.00286773
 7196.05000,  0.99736957
 7197.05000,  0.99633957
 7198.05000,  0.99057788
 7199.05000,  0.99010635
 7200.05000,  0.98901524
 7201.05000,  0.98689847
 7202.05000,  0.98234243
 7203.05000,  0.98106043
 7204.05000,  0.98337839
 7205.05000,  0.97961874
 7206.05000,  0.97982691
 7207.05000,  0.98045756
 7208.05000,  0.98360769
 7209.05000,  0.98096072
 7210.05000,  0.98286681
 7211.05000,  0.98424225
 7212.05000,  0.98150870
 7213.05000,  0.98628431
 7214.05000,  0.98559137
 7215.05000,  0.99049812
 7216.05000,  0.99078373
 7217.05000,  0.99062195
 7218.05000,  0.98940724
 7219.05000,  0.99243239
 7220.05000,  0.99371046
 7221.05000,  0.99151092
 7222.05000,  0.99043417
 7223.05000,  0.99181334
 7224.05000,  0.99232118
 7225.05000,  0.98800773
 7226.05000,  0.98634827
 7227.05000,  0.98953483
 7228.05000,  0.98636580
 7229.05000,  0.98747101
 7230.05000,  0.98584627
 7231.05000,  0.98539735
 7232.05000,  0.98511554
 7233.05000,  0.99034451
 7234.05000,  0.99172099
 7235.05000,  0.99203930
 7236.05000,  0.99154486
 7237.05000,  0.99527518
 7238.05000,  0.99638766
 7239.05000,  0.99890589
 7240.05000,  1.00411055
 7241.05000,  1.00618639
 7242.05000,  1.00618075
 7243.05000,  1.01191373
 7244.05000,  1.01388000
 7245.05000,  1.01267796
 7246.05000,  1.01709425
 7247.05000,  1.02225262
 7248.05000,  1.01829632
 7249.05000,  1.01868139
 7250.05000,  1.02046238
 7251.05000,  1.01475599
 7252.05000,  1.01731324
 7253.05000,  1.01698301
 7254.05000,  1.02402270
 7255.05000,  1.02112569
 7256.05000,  1.01610995
 7257.05000,  1.01053488
 7258.05000,  1.01381542
 7259.05000,  1.01801705
 7260.05000,  1.01114518
 7261.05000,  1.01208235
 7262.05000,  1.02034159
 7263.05000,  1.03496937
 7264.05000,  1.03539034
 7265.05000,  0.92175747
 7266.05000,  1.00963697
 7267.05000,  1.00804809
 7268.05000,  1.01032966
 7269.05000,  1.00010751
 7270.05000,  1.00601860
 7271.05000,  1.00646731
 7272.05000,  1.00644147
 7273.05000,  1.00544593
 7274.05000,  1.00196815
 7275.05000,  1.00096924
 7276.05000,  0.99910104
 7277.05000,  0.99645462
 7278.05000,  1.00078960
 7279.05000,  0.99850671
 7280.05000,  1.00688718
 7281.05000,  0.99824761
 7282.05000,  0.99444617
 7283.05000,  0.99736932
 7284.05000,  0.99570776
 7285.05000,  0.99575364
 7286.05000,  0.99468763
 7287.05000,  0.99416040
 7288.05000,  0.99222993
 7289.05000,  0.99346174
 7290.05000,  0.99429285
 7291.05000,  0.99432140
 7292.05000,  0.99646931
 7293.05000,  0.99423178
 7294.05000,  0.99640318
 7295.05000,  0.99567960
 7296.05000,  0.99689426
 7297.05000,  0.99820015
 7298.05000,  0.99749042
 7299.05000,  0.99951834
 7300.05000,  0.99761809
 7301.05000,  0.99906903
 7302.05000,  0.99890079
 7303.05000,  0.99795585
 7304.05000,  0.99492830
 7305.05000,  0.99672077
 7306.05000,  0.99780939
 7307.05000,  0.99436329
 7308.05000,  0.99664353
 7309.05000,  0.99862779
 7310.05000,  0.99774257
 7311.05000,  0.99599845
 7312.05000,  0.99697656
