#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky2_Fe_25.001: FeXANES_GT5_flaky2_Fe_25.001
#------------------------------------------
# energy, FeXANES_GT5_flaky2_Fe_25.001
 7032.05000,  8.50174e-4
 7037.05000,  6.34228e-4
 7042.05000,  3.97492e-4
 7047.05000,  2.09238e-4
 7052.05000, -5.93839e-6
 7057.05000, -1.53946e-4
 7062.05000, -3.32754e-4
 7067.05000, -2.47279e-4
 7072.05000, -3.76333e-4
 7077.05000, -3.04366e-4
 7082.05000,  1.04535e-4
 7087.05000,  7.09352e-4
 7092.05000,  0.00156140
 7097.05000,  0.00242007
 7102.05000,  0.00520757
 7102.35000,  0.00537988
 7102.65000,  0.00546831
 7102.95000,  0.00560413
 7103.25000,  0.00571803
 7103.55000,  0.00621020
 7103.85000,  0.00627824
 7104.15000,  0.00657047
 7104.45000,  0.00703123
 7104.75000,  0.00722283
 7105.05000,  0.00734691
 7105.35000,  0.00772248
 7105.65000,  0.00796732
 7105.95000,  0.00845918
 7106.25000,  0.00896953
 7106.55000,  0.00917268
 7106.85000,  0.00974672
 7107.15000,  0.01008276
 7107.45000,  0.01048144
 7107.75000,  0.01084623
 7108.05000,  0.01166067
 7108.35000,  0.01202299
 7108.65000,  0.01284875
 7108.95000,  0.01389627
 7109.25000,  0.01461656
 7109.55000,  0.01586048
 7109.85000,  0.01734959
 7110.15000,  0.01850047
 7110.45000,  0.02173648
 7110.75000,  0.02438177
 7111.05000,  0.02732158
 7111.35000,  0.03040836
 7111.65000,  0.03712940
 7111.95000,  0.04367713
 7112.25000,  0.05166455
 7112.55000,  0.05638387
 7112.85000,  0.06054192
 7113.15000,  0.06270442
 7113.45000,  0.06355366
 7113.75000,  0.06244242
 7114.05000,  0.06018784
 7114.35000,  0.05857655
 7114.65000,  0.05251357
 7114.95000,  0.04994637
 7115.25000,  0.04910885
 7115.55000,  0.04925503
 7115.85000,  0.05221592
 7116.15000,  0.05546442
 7116.45000,  0.06093182
 7116.75000,  0.06620757
 7117.05000,  0.07186862
 7117.35000,  0.08218083
 7117.65000,  0.09076367
 7117.95000,  0.09979565
 7118.25000,  0.11574189
 7118.55000,  0.13161526
 7118.85000,  0.14498768
 7119.15000,  0.17019056
 7119.45000,  0.18835837
 7119.75000,  0.21428438
 7120.05000,  0.24744852
 7120.35000,  0.27334278
 7120.65000,  0.30134341
 7120.95000,  0.32148689
 7121.25000,  0.35197168
 7121.55000,  0.37716685
 7121.85000,  0.43136588
 7122.15000,  0.47390353
 7122.45000,  0.50802734
 7122.75000,  0.56869269
 7123.05000,  0.61803900
 7123.35000,  0.63921083
 7123.65000,  0.70212096
 7123.95000,  0.73870475
 7124.25000,  0.77542248
 7124.55000,  0.79056184
 7124.85000,  0.83746459
 7125.15000,  0.87055674
 7125.45000,  0.90832247
 7125.75000,  0.94641784
 7126.05000,  0.99165074
 7126.35000,  1.01399223
 7126.65000,  1.06893888
 7126.95000,  1.10998360
 7127.25000,  1.15095770
 7127.55000,  1.20252651
 7127.85000,  1.22822389
 7128.15000,  1.25426141
 7128.45000,  1.26899041
 7128.75000,  1.29650354
 7129.05000,  1.30914495
 7129.35000,  1.31825172
 7129.65000,  1.32745099
 7129.95000,  1.33083137
 7130.25000,  1.33931543
 7130.55000,  1.34823519
 7130.85000,  1.35146508
 7131.15000,  1.35868012
 7131.45000,  1.36622818
 7131.75000,  1.36892596
 7132.05000,  1.37094367
 7133.05000,  1.35573951
 7134.05000,  1.29656814
 7135.05000,  1.27742797
 7136.05000,  1.19758666
 7137.05000,  1.16823775
 7138.05000,  1.15176967
 7139.05000,  1.14226772
 7140.05000,  1.11921147
 7141.05000,  1.10723215
 7142.05000,  1.09636167
 7143.05000,  1.08451850
 7144.05000,  1.08247871
 7145.05000,  1.07621436
 7146.05000,  1.06836327
 7147.05000,  1.05213442
 7148.05000,  1.02939902
 7149.05000,  0.98437161
 7150.05000,  0.95598109
 7151.05000,  0.92717810
 7152.05000,  0.91319016
 7153.05000,  0.89604520
 7154.05000,  0.88588712
 7155.05000,  0.87217535
 7156.05000,  0.86609577
 7157.05000,  0.85878696
 7158.05000,  0.85464255
 7159.05000,  0.85323505
 7160.05000,  0.85262678
 7161.05000,  0.85680021
 7162.05000,  0.86023631
 7163.05000,  0.86701603
 7164.05000,  0.87844194
 7165.05000,  0.88983235
 7166.05000,  0.90156666
 7167.05000,  0.91596897
 7168.05000,  0.92813959
 7169.05000,  0.95144875
 7170.05000,  0.96683926
 7171.05000,  0.98110141
 7172.05000,  0.99796528
 7173.05000,  1.01354676
 7174.05000,  1.02709863
 7175.05000,  1.04020096
 7176.05000,  1.04891318
 7177.05000,  1.05394263
 7178.05000,  1.06116490
 7179.05000,  1.06533331
 7180.05000,  1.06670928
 7181.05000,  1.06576007
 7182.05000,  1.06605439
 7183.05000,  1.06289400
 7184.05000,  1.06269465
 7185.05000,  1.06466311
 7186.05000,  1.05763749
 7187.05000,  1.05655367
 7188.05000,  1.05359074
 7189.05000,  1.05253113
 7190.05000,  1.05068296
 7191.05000,  1.04792031
 7192.05000,  1.04618185
 7193.05000,  1.04142360
 7194.05000,  1.04044942
 7195.05000,  1.03724484
 7196.05000,  1.03532619
 7197.05000,  1.03185074
 7198.05000,  1.03027296
 7199.05000,  1.02738555
 7200.05000,  1.02262506
 7201.05000,  1.02023298
 7202.05000,  1.01491162
 7203.05000,  1.01093491
 7204.05000,  1.00683378
 7205.05000,  1.00652717
 7206.05000,  1.00378907
 7207.05000,  1.00395429
 7208.05000,  1.00111661
 7209.05000,  0.99745192
 7210.05000,  0.99914014
 7211.05000,  0.99408169
 7212.05000,  0.99103536
 7213.05000,  0.99037336
 7214.05000,  0.99087871
 7215.05000,  0.98970320
 7216.05000,  0.99250718
 7217.05000,  0.98844370
 7218.05000,  0.98908547
 7219.05000,  0.99098200
 7220.05000,  0.99255968
 7221.05000,  0.99091039
 7222.05000,  0.99128140
 7223.05000,  0.98952154
 7224.05000,  0.99100219
 7225.05000,  0.99337934
 7226.05000,  0.99040684
 7227.05000,  0.99319189
 7228.05000,  0.99368686
 7229.05000,  0.98630966
 7230.05000,  0.98757887
 7231.05000,  0.98240322
 7232.05000,  0.97962429
 7233.05000,  0.98289962
 7234.05000,  0.98183412
 7235.05000,  0.98152008
 7236.05000,  0.98164702
 7237.05000,  0.98133124
 7238.05000,  0.98226823
 7239.05000,  0.98140667
 7240.05000,  0.98157391
 7241.05000,  0.98568431
 7242.05000,  0.98207848
 7243.05000,  0.98102434
 7244.05000,  0.98521990
 7245.05000,  0.98684275
 7246.05000,  0.98927917
 7247.05000,  0.99722760
 7248.05000,  0.99234827
 7249.05000,  0.99458895
 7250.05000,  0.99567963
 7251.05000,  1.00067351
 7252.05000,  1.00235818
 7253.05000,  1.00296966
 7254.05000,  1.00835979
 7255.05000,  1.01931978
 7256.05000,  1.00518538
 7257.05000,  1.01558123
 7258.05000,  1.01774222
 7259.05000,  1.02776706
 7260.05000,  1.01794342
 7261.05000,  1.02076549
 7262.05000,  1.02434337
 7263.05000,  1.03450843
 7264.05000,  1.04230263
 7265.05000,  0.99808115
 7266.05000,  1.02441357
 7267.05000,  1.02569859
 7268.05000,  1.02406546
 7269.05000,  1.02792529
 7270.05000,  1.02524962
 7271.05000,  1.02812535
 7272.05000,  1.02589474
 7273.05000,  1.02565586
 7274.05000,  1.01954110
 7275.05000,  1.01840610
 7276.05000,  1.02099355
 7277.05000,  1.02070890
 7278.05000,  1.01655053
 7279.05000,  1.01444043
 7280.05000,  1.02668996
 7281.05000,  1.01443520
 7282.05000,  1.01346451
 7283.05000,  1.01136772
 7284.05000,  1.00922047
 7285.05000,  1.00636868
 7286.05000,  1.00540766
 7287.05000,  1.00701408
 7288.05000,  1.00285653
 7289.05000,  0.99955218
 7290.05000,  1.00163561
 7291.05000,  0.99874782
 7292.05000,  0.99453449
 7293.05000,  0.99545622
 7294.05000,  0.99577921
 7295.05000,  0.99182800
 7296.05000,  0.98934786
 7297.05000,  0.98794195
 7298.05000,  0.98673828
 7299.05000,  0.98473708
 7300.05000,  0.98561794
 7301.05000,  0.98667260
 7302.05000,  0.98302385
 7303.05000,  0.98259940
 7304.05000,  0.98124792
 7305.05000,  0.98235811
 7306.05000,  0.97996617
 7307.05000,  0.98106265
 7308.05000,  0.98200218
 7309.05000,  0.98181211
 7310.05000,  0.97840490
 7311.05000,  0.97823408
 7312.05000,  0.98090933
