#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_Fe_striated2_1.001: FeXANES_GT15_Fe_striated2_1.001
#------------------------------------------
# energy, FeXANES_GT15_Fe_striated2_1.001
 7215.05000,  0.99578122
 7216.05000,  0.99669297
 7217.05000,  0.99936199
 7218.05000,  0.99652328
 7219.05000,  0.99522159
 7220.05000,  0.99535185
 7221.05000,  0.99466087
 7222.05000,  0.99748014
 7223.05000,  0.99662084
 7224.05000,  0.99720647
 7225.05000,  0.99625523
 7226.05000,  0.99548437
 7227.05000,  0.99498133
 7228.05000,  0.99304566
 7229.05000,  0.99231767
 7230.05000,  0.99264190
 7231.05000,  0.99110669
 7232.05000,  0.98678261
 7233.05000,  0.98732041
 7234.05000,  0.98805853
 7235.05000,  0.98922564
 7236.05000,  0.98952370
 7237.05000,  0.99256132
 7238.05000,  0.99131276
 7239.05000,  0.98952102
 7240.05000,  0.99075837
 7241.05000,  0.99219239
 7242.05000,  0.98950628
 7243.05000,  0.99358279
 7244.05000,  0.99589241
 7245.05000,  0.99257701
 7246.05000,  0.99513600
 7247.05000,  1.00417654
 7248.05000,  1.00144381
 7249.05000,  0.99214322
 7250.05000,  1.00053961
 7251.05000,  1.00028203
 7252.05000,  1.00015000
 7253.05000,  1.00063050
 7254.05000,  1.00918579
 7255.05000,  1.00683247
 7256.05000,  1.00591372
 7257.05000,  1.00721993
 7258.05000,  1.00952370
 7259.05000,  1.01008265
 7260.05000,  1.00824413
 7261.05000,  1.00862986
 7262.05000,  1.01234390
 7263.05000,  1.03334483
 7264.05000,  1.02649979
 7265.05000,  0.92968346
 7266.05000,  1.00917633
 7267.05000,  1.00730599
 7268.05000,  1.01196720
 7269.05000,  1.00721365
 7270.05000,  1.00772682
 7271.05000,  1.01214303
 7272.05000,  1.01559328
 7273.05000,  1.01039475
 7274.05000,  1.00258062
 7275.05000,  1.00815018
 7276.05000,  1.00726514
 7277.05000,  1.00586358
 7278.05000,  1.00762579
 7279.05000,  1.00780221
 7280.05000,  1.01222385
 7281.05000,  1.00546683
 7282.05000,  1.00394187
 7283.05000,  1.00469563
 7284.05000,  1.00384718
 7285.05000,  1.00511359
 7286.05000,  1.00278622
 7287.05000,  1.00186325
 7288.05000,  1.00277363
 7289.05000,  0.99653577
 7290.05000,  0.99622071
 7291.05000,  0.99748384
 7292.05000,  0.99707675
 7293.05000,  0.99874111
 7294.05000,  0.99711219
 7295.05000,  0.99508725
 7296.05000,  0.99509781
 7297.05000,  0.99609639
 7298.05000,  0.99484315
 7299.05000,  0.99756302
 7300.05000,  0.99594095
 7301.05000,  0.99406007
 7302.05000,  0.99577503
 7303.05000,  0.99328875
 7304.05000,  0.99465935
 7305.05000,  0.98885014
 7306.05000,  0.98749685
 7307.05000,  0.98838913
 7308.05000,  0.98617458
 7309.05000,  0.98549286
 7310.05000,  0.98579968
 7311.05000,  0.98620071
 7312.05000,  0.98504115
