#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_Fe_Flaky1_1.001: FeXANES_GT5_Fe_Flaky1_1.001
#------------------------------------------
# energy, FeXANES_GT5_Fe_Flaky1_1.001
 7032.05000,  4.15115e-4
 7037.05000,  8.78670e-4
 7042.05000,  7.01578e-4
 7047.05000,  1.95398e-4
 7052.05000, -4.00624e-5
 7057.05000, -2.40903e-4
 7062.05000, -4.97729e-4
 7067.05000, -5.24329e-4
 7072.05000, -3.34078e-4
 7077.05000, -3.97039e-4
 7082.05000,  2.30745e-4
 7087.05000,  9.06420e-4
 7092.05000,  0.00215384
 7097.05000,  0.00372202
 7102.05000,  0.00588266
 7102.35000,  0.00814358
 7102.65000,  0.00862449
 7102.95000,  0.00885850
 7103.25000,  0.00934403
 7103.55000,  0.00935644
 7103.85000,  0.00993298
 7104.15000,  0.01008014
 7104.45000,  0.01059684
 7104.75000,  0.01100621
 7105.05000,  0.01168028
 7105.35000,  0.01225529
 7105.65000,  0.01261600
 7105.95000,  0.01318713
 7106.25000,  0.01350587
 7106.55000,  0.01438751
 7106.85000,  0.01520951
 7107.15000,  0.01537278
 7107.45000,  0.01670874
 7107.75000,  0.01743249
 7108.05000,  0.01823680
 7108.35000,  0.01968351
 7108.65000,  0.02078023
 7108.95000,  0.02204118
 7109.25000,  0.02406757
 7109.55000,  0.02650405
 7109.85000,  0.03101622
 7110.15000,  0.03620582
 7110.45000,  0.04024688
 7110.75000,  0.04658764
 7111.05000,  0.05031153
 7111.35000,  0.05282725
 7111.65000,  0.05655948
 7111.95000,  0.05877057
 7112.25000,  0.06225303
 7112.55000,  0.06646931
 7112.85000,  0.06900483
 7113.15000,  0.07263205
 7113.45000,  0.07388345
 7113.75000,  0.07357339
 7114.05000,  0.07321480
 7114.35000,  0.07297222
 7114.65000,  0.07282748
 7114.95000,  0.07320798
 7115.25000,  0.07530307
 7115.55000,  0.08108519
 7115.85000,  0.08941673
 7116.15000,  0.09973768
 7116.45000,  0.10320058
 7116.75000,  0.12606609
 7117.05000,  0.14537055
 7117.35000,  0.17419205
 7117.65000,  0.19458049
 7117.95000,  0.23425394
 7118.25000,  0.27149927
 7118.55000,  0.31235948
 7118.85000,  0.35909833
 7119.15000,  0.40754118
 7119.45000,  0.43370803
 7119.75000,  0.45871129
 7120.05000,  0.54697274
 7120.35000,  0.56622825
 7120.65000,  0.61753808
 7120.95000,  0.63881298
 7121.25000,  0.67583208
 7121.55000,  0.71035885
 7121.85000,  0.74781264
 7122.15000,  0.77925974
 7122.45000,  0.82695160
 7122.75000,  0.86446004
 7123.05000,  0.93381631
 7123.35000,  0.97832660
 7123.65000,  1.00308561
 7123.95000,  1.05673383
 7124.25000,  1.08657754
 7124.55000,  1.10208770
 7124.85000,  1.12196722
 7125.15000,  1.13956919
 7125.45000,  1.15058485
 7125.75000,  1.15774634
 7126.05000,  1.16828519
 7126.35000,  1.18045008
 7126.65000,  1.18873504
 7126.95000,  1.20782264
 7127.25000,  1.22820339
 7127.55000,  1.24780796
 7127.85000,  1.27279648
 7128.15000,  1.29363171
 7128.45000,  1.31344754
 7128.75000,  1.33332163
 7129.05000,  1.33921870
 7129.35000,  1.34237781
 7129.65000,  1.34075239
 7129.95000,  1.33498715
 7130.25000,  1.32373197
 7130.55000,  1.30165141
 7130.85000,  1.28699453
 7131.15000,  1.26003383
 7131.45000,  1.24920858
 7131.75000,  1.22598970
 7132.05000,  1.20580372
 7133.05000,  1.17676256
 7134.05000,  1.12580463
 7135.05000,  1.06680865
 7136.05000,  1.04379684
 7137.05000,  1.02323933
 7138.05000,  1.01993616
 7139.05000,  1.02315047
 7140.05000,  1.03059552
 7141.05000,  1.03938586
 7142.05000,  1.03783656
 7143.05000,  1.02956919
 7144.05000,  1.00575347
 7145.05000,  0.98985495
 7146.05000,  0.96332486
 7147.05000,  0.94816143
 7148.05000,  0.92072467
 7149.05000,  0.91137879
 7150.05000,  0.89879371
 7151.05000,  0.89623534
 7152.05000,  0.89711799
 7153.05000,  0.90457909
 7154.05000,  0.91208607
 7155.05000,  0.91781201
 7156.05000,  0.92359865
 7157.05000,  0.93188776
 7158.05000,  0.93738649
 7159.05000,  0.94578300
 7160.05000,  0.95305683
 7161.05000,  0.96304620
 7162.05000,  0.97360354
 7163.05000,  0.98423480
 7164.05000,  0.99584611
 7165.05000,  1.00308138
 7166.05000,  1.01212543
 7167.05000,  1.01553512
 7168.05000,  1.01594273
 7169.05000,  1.01474677
 7170.05000,  1.01647852
 7171.05000,  1.01596822
 7172.05000,  1.01849398
 7173.05000,  1.02095528
 7174.05000,  1.02539980
 7175.05000,  1.03264603
 7176.05000,  1.03737286
 7177.05000,  1.04164891
 7178.05000,  1.04492863
 7179.05000,  1.04725116
 7180.05000,  1.04806645
 7181.05000,  1.04586446
 7182.05000,  1.04661918
 7183.05000,  1.04508748
 7184.05000,  1.04272697
 7185.05000,  1.04194113
 7186.05000,  1.03882250
 7187.05000,  1.03763946
 7188.05000,  1.03870716
 7189.05000,  1.03857038
 7190.05000,  1.03256675
 7191.05000,  1.02949052
 7192.05000,  1.03300882
 7193.05000,  1.02587970
 7194.05000,  1.02229256
 7195.05000,  1.02098845
 7196.05000,  1.01909149
 7197.05000,  1.01850560
 7198.05000,  1.01271942
 7199.05000,  1.01159280
 7200.05000,  1.00916985
 7201.05000,  1.00657659
 7202.05000,  1.00000221
 7203.05000,  1.00155493
 7204.05000,  0.99931885
 7205.05000,  0.99464220
 7206.05000,  0.99355282
 7207.05000,  0.99492899
 7208.05000,  0.99506394
 7209.05000,  0.99283519
 7210.05000,  0.99029330
 7211.05000,  0.99416106
 7212.05000,  0.99390269
 7213.05000,  0.99277511
 7214.05000,  0.99194303
 7215.05000,  0.99381966
 7216.05000,  0.99203238
 7217.05000,  0.99234767
 7218.05000,  0.99131084
 7219.05000,  0.99122549
 7220.05000,  0.98872020
 7221.05000,  0.98894912
 7222.05000,  0.99068761
 7223.05000,  0.98803353
 7224.05000,  0.98924458
 7225.05000,  0.98516724
 7226.05000,  0.98450079
 7227.05000,  0.98863859
 7228.05000,  0.98925824
 7229.05000,  0.98807966
 7230.05000,  0.98663909
 7231.05000,  0.98886042
 7232.05000,  0.98866175
 7233.05000,  0.98859684
 7234.05000,  0.99040400
 7235.05000,  0.98934873
 7236.05000,  0.99386817
 7237.05000,  1.00032141
 7238.05000,  0.99883619
 7239.05000,  0.99784979
 7240.05000,  0.99999073
 7241.05000,  1.00748701
 7242.05000,  1.00718870
 7243.05000,  1.01001171
 7244.05000,  1.01302293
 7245.05000,  1.01744948
 7246.05000,  1.01771506
 7247.05000,  1.02551378
 7248.05000,  1.01948672
 7249.05000,  1.01696327
 7250.05000,  1.01799297
 7251.05000,  1.01754727
 7252.05000,  1.01812545
 7253.05000,  1.01475138
 7254.05000,  1.01933753
 7255.05000,  1.02111187
 7256.05000,  1.01513715
 7257.05000,  1.01356234
 7258.05000,  1.01460203
 7259.05000,  1.01471131
 7260.05000,  1.01354819
 7261.05000,  1.01665093
 7262.05000,  1.01367791
 7263.05000,  1.03118916
 7264.05000,  1.04565867
 7265.05000,  1.01044194
 7266.05000,  1.00761804
 7267.05000,  1.00924930
 7268.05000,  1.01058430
 7269.05000,  1.00666092
 7270.05000,  1.00587819
 7271.05000,  1.00668188
 7272.05000,  1.01058065
 7273.05000,  1.00527013
 7274.05000,  1.00230169
 7275.05000,  0.99962025
 7276.05000,  0.99996366
 7277.05000,  1.00115083
 7278.05000,  0.99767928
 7279.05000,  0.99749155
 7280.05000,  1.00274943
 7281.05000,  0.99404457
 7282.05000,  0.99435857
 7283.05000,  0.99462660
 7284.05000,  0.99161959
 7285.05000,  0.99263392
 7286.05000,  0.99008452
 7287.05000,  0.99142617
 7288.05000,  0.99285621
 7289.05000,  0.99262268
 7290.05000,  0.99020678
 7291.05000,  0.99157231
 7292.05000,  0.99235705
 7293.05000,  0.98803583
 7294.05000,  0.99039023
 7295.05000,  0.99024459
 7296.05000,  0.98986816
 7297.05000,  0.98953775
 7298.05000,  0.99058947
 7299.05000,  0.99090928
 7300.05000,  0.99125914
 7301.05000,  0.99340543
 7302.05000,  0.99271341
 7303.05000,  0.99036306
 7304.05000,  0.99199579
 7305.05000,  0.98887191
 7306.05000,  0.98933587
 7307.05000,  0.98701311
 7308.05000,  0.98654543
 7309.05000,  0.99033517
 7310.05000,  0.98792787
 7311.05000,  0.98850474
 7312.05000,  0.98862149
