#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_super_dark_Fe_19.001: FeXANES_GT15_super_dark_Fe_19.001
#------------------------------------------
# energy, FeXANES_GT15_super_dark_Fe_19.001
 7032.05000,  3.68069e-4
 7037.05000,  2.59838e-4
 7042.05000,  1.83486e-4
 7047.05000,  5.58468e-6
 7052.05000, -7.17303e-5
 7057.05000, -3.80633e-4
 7062.05000, -1.67734e-4
 7067.05000, -3.64061e-4
 7072.05000,  1.63628e-5
 7077.05000,  2.18416e-4
 7082.05000,  3.00471e-4
 7087.05000,  6.25009e-4
 7092.05000,  0.00250297
 7097.05000,  0.00402061
 7102.05000,  0.00734294
 7102.35000,  0.00796735
 7102.65000,  0.00823960
 7102.95000,  0.00836883
 7103.25000,  0.00904378
 7103.55000,  0.00897302
 7103.85000,  0.00905334
 7104.15000,  0.00921006
 7104.45000,  0.00976923
 7104.75000,  0.01013486
 7105.05000,  0.01053142
 7105.35000,  0.01084460
 7105.65000,  0.01168277
 7105.95000,  0.01198880
 7106.25000,  0.01280595
 7106.55000,  0.01343947
 7106.85000,  0.01413404
 7107.15000,  0.01440199
 7107.45000,  0.01477660
 7107.75000,  0.01583547
 7108.05000,  0.01703658
 7108.35000,  0.01722760
 7108.65000,  0.01836186
 7108.95000,  0.02084378
 7109.25000,  0.02262831
 7109.55000,  0.02575928
 7109.85000,  0.02956855
 7110.15000,  0.03525755
 7110.45000,  0.03906094
 7110.75000,  0.05018498
 7111.05000,  0.05427310
 7111.35000,  0.05900668
 7111.65000,  0.06151956
 7111.95000,  0.06288273
 7112.25000,  0.06379461
 7112.55000,  0.06793508
 7112.85000,  0.06832353
 7113.15000,  0.07175004
 7113.45000,  0.07240254
 7113.75000,  0.07150504
 7114.05000,  0.07249953
 7114.35000,  0.07574425
 7114.65000,  0.08018441
 7114.95000,  0.08348849
 7115.25000,  0.09083141
 7115.55000,  0.09884156
 7115.85000,  0.10806984
 7116.15000,  0.12501665
 7116.45000,  0.14711357
 7116.75000,  0.16284542
 7117.05000,  0.17360386
 7117.35000,  0.21791110
 7117.65000,  0.23363087
 7117.95000,  0.28536971
 7118.25000,  0.31536584
 7118.55000,  0.37203187
 7118.85000,  0.42855654
 7119.15000,  0.45907514
 7119.45000,  0.54843620
 7119.75000,  0.60296674
 7120.05000,  0.63659804
 7120.35000,  0.66829162
 7120.65000,  0.70564124
 7120.95000,  0.74921235
 7121.25000,  0.77988224
 7121.55000,  0.84499695
 7121.85000,  0.88975370
 7122.15000,  0.92201571
 7122.45000,  0.95666007
 7122.75000,  1.00569987
 7123.05000,  1.05556754
 7123.35000,  1.13997626
 7123.65000,  1.18344164
 7123.95000,  1.22467611
 7124.25000,  1.24492947
 7124.55000,  1.26454707
 7124.85000,  1.26679005
 7125.15000,  1.27856112
 7125.45000,  1.27665002
 7125.75000,  1.27647311
 7126.05000,  1.27606600
 7126.35000,  1.27936661
 7126.65000,  1.29255028
 7126.95000,  1.31393002
 7127.25000,  1.33209347
 7127.55000,  1.35675647
 7127.85000,  1.37357398
 7128.15000,  1.38740393
 7128.45000,  1.40171385
 7128.75000,  1.41419731
 7129.05000,  1.42048392
 7129.35000,  1.41591611
 7129.65000,  1.41151252
 7129.95000,  1.40373014
 7130.25000,  1.38599869
 7130.55000,  1.37871344
 7130.85000,  1.34928269
 7131.15000,  1.32129855
 7131.45000,  1.29579704
 7131.75000,  1.27825860
 7132.05000,  1.24913588
 7133.05000,  1.19273385
 7134.05000,  1.16240621
 7135.05000,  1.13027454
 7136.05000,  1.10089964
 7137.05000,  1.06797711
 7138.05000,  1.05516676
 7139.05000,  1.04887847
 7140.05000,  1.04934747
 7141.05000,  1.03856296
 7142.05000,  1.03703281
 7143.05000,  1.03527749
 7144.05000,  1.02750622
 7145.05000,  1.01489973
 7146.05000,  0.99896437
 7147.05000,  0.97349507
 7148.05000,  0.94765192
 7149.05000,  0.93562846
 7150.05000,  0.92153429
 7151.05000,  0.90295302
 7152.05000,  0.89639449
 7153.05000,  0.89399861
 7154.05000,  0.89253075
 7155.05000,  0.88894072
 7156.05000,  0.88947867
 7157.05000,  0.89225482
 7158.05000,  0.89156663
 7159.05000,  0.89356480
 7160.05000,  0.90291627
 7161.05000,  0.90899725
 7162.05000,  0.91674299
 7163.05000,  0.92542305
 7164.05000,  0.94578797
 7165.05000,  0.95005890
 7166.05000,  0.97137695
 7167.05000,  0.99176738
 7168.05000,  1.00339342
 7169.05000,  1.01181930
 7170.05000,  1.02440701
 7171.05000,  1.02907229
 7172.05000,  1.04737134
 7173.05000,  1.06319372
 7174.05000,  1.06907992
 7175.05000,  1.07173508
 7176.05000,  1.07327882
 7177.05000,  1.07780674
 7178.05000,  1.07688273
 7179.05000,  1.07961240
 7180.05000,  1.08167420
 7181.05000,  1.08387154
 7182.05000,  1.07829987
 7183.05000,  1.07270421
 7184.05000,  1.07071465
 7185.05000,  1.06731433
 7186.05000,  1.06265325
 7187.05000,  1.06279406
 7188.05000,  1.05742953
 7189.05000,  1.04790811
 7190.05000,  1.04718182
 7191.05000,  1.03193575
 7192.05000,  1.02927479
 7193.05000,  1.02641449
 7194.05000,  1.01742736
 7195.05000,  1.01427122
 7196.05000,  1.00632538
 7197.05000,  1.00313930
 7198.05000,  1.00272597
 7199.05000,  0.99440369
 7200.05000,  0.99230024
 7201.05000,  0.99236713
 7202.05000,  0.99008181
 7203.05000,  0.98615028
 7204.05000,  0.98229172
 7205.05000,  0.97480085
 7206.05000,  0.97612571
 7207.05000,  0.97543942
 7208.05000,  0.97498713
 7209.05000,  0.97361510
 7210.05000,  0.97197808
 7211.05000,  0.97444135
 7212.05000,  0.97786887
 7213.05000,  0.98664407
