#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_flakydark_Fe_1.001: FeXANES_GT15_flakydark_Fe_1.001
#------------------------------------------
# energy, FeXANES_GT15_flakydark_Fe_1.001
 7032.05000, -5.55017e-4
 7037.05000,  4.66014e-4
 7042.05000,  2.79003e-4
 7047.05000, -1.36177e-5
 7052.05000, -2.95736e-4
 7057.05000, -4.10562e-4
 7062.05000, -3.65471e-4
 7067.05000, -2.19953e-4
 7072.05000, -3.83498e-4
 7077.05000,  3.85143e-4
 7082.05000,  5.58678e-4
 7087.05000,  0.00177528
 7092.05000,  0.00179642
 7097.05000,  0.00598155
 7102.05000,  0.00920062
 7102.35000,  0.01083236
 7102.65000,  0.01124683
 7102.95000,  0.01137889
 7103.25000,  0.01197998
 7103.55000,  0.01211149
 7103.85000,  0.01267004
 7104.15000,  0.01320835
 7104.45000,  0.01384516
 7104.75000,  0.01428246
 7105.05000,  0.01482011
 7105.35000,  0.01552732
 7105.65000,  0.01611455
 7105.95000,  0.01681125
 7106.25000,  0.01749707
 7106.55000,  0.01823201
 7106.85000,  0.01884043
 7107.15000,  0.01993121
 7107.45000,  0.02064138
 7107.75000,  0.02143680
 7108.05000,  0.02330022
 7108.35000,  0.02453845
 7108.65000,  0.02517061
 7108.95000,  0.02721579
 7109.25000,  0.02964271
 7109.55000,  0.03090959
 7109.85000,  0.03699487
 7110.15000,  0.04371692
 7110.45000,  0.04831783
 7110.75000,  0.05106245
 7111.05000,  0.05841511
 7111.35000,  0.06047174
 7111.65000,  0.06312678
 7111.95000,  0.06441315
 7112.25000,  0.06647227
 7112.55000,  0.06888838
 7112.85000,  0.07075375
 7113.15000,  0.07230266
 7113.45000,  0.07469530
 7113.75000,  0.07464238
 7114.05000,  0.07635146
 7114.35000,  0.07817923
 7114.65000,  0.08109153
 7114.95000,  0.08404957
 7115.25000,  0.09098277
 7115.55000,  0.10234766
 7115.85000,  0.11169020
 7116.15000,  0.13166676
 7116.45000,  0.15272690
 7116.75000,  0.17880310
 7117.05000,  0.19583875
 7117.35000,  0.23882003
 7117.65000,  0.28830804
 7117.95000,  0.32274247
 7118.25000,  0.38665044
 7118.55000,  0.44464794
 7118.85000,  0.47791395
 7119.15000,  0.57183287
 7119.45000,  0.61829846
 7119.75000,  0.68322026
 7120.05000,  0.72401102
 7120.35000,  0.75380821
 7120.65000,  0.77611825
 7120.95000,  0.80700303
 7121.25000,  0.82837082
 7121.55000,  0.86477621
 7121.85000,  0.89723729
 7122.15000,  0.92555304
 7122.45000,  0.96416639
 7122.75000,  1.00240840
 7123.05000,  1.04809565
 7123.35000,  1.08182238
 7123.65000,  1.10536897
 7123.95000,  1.13403028
 7124.25000,  1.15365306
 7124.55000,  1.16880457
 7124.85000,  1.18365427
 7125.15000,  1.19590287
 7125.45000,  1.20693314
 7125.75000,  1.20809576
 7126.05000,  1.20926015
 7126.35000,  1.21596433
 7126.65000,  1.22089641
 7126.95000,  1.22562585
 7127.25000,  1.23768254
 7127.55000,  1.24644043
 7127.85000,  1.26324024
 7128.15000,  1.27390786
 7128.45000,  1.28431328
