#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_white_gray_particles_Fe_4.001: FeXANES_GT5_white_gray_particles_Fe_4.001
#------------------------------------------
# energy, FeXANES_GT5_white_gray_particles_Fe_4.001
 7032.05000,  8.09871e-4
 7037.05000,  4.32058e-4
 7042.05000,  2.42410e-4
 7047.05000, -2.87474e-5
 7052.05000, -2.24068e-4
 7057.05000, -2.56921e-4
 7062.05000, -3.93699e-4
 7067.05000, -3.47624e-4
 7072.05000, -3.54999e-4
 7077.05000,  3.30107e-4
 7082.05000,  6.01483e-4
 7087.05000,  0.00180817
 7092.05000,  0.00353954
 7097.05000,  0.00713093
 7102.05000,  0.01216808
 7102.35000,  0.01249995
 7102.65000,  0.01305037
 7102.95000,  0.01336016
 7103.25000,  0.01405783
 7103.55000,  0.01423860
 7103.85000,  0.01458617
 7104.15000,  0.01536646
 7104.45000,  0.01605163
 7104.75000,  0.01695022
 7105.05000,  0.01714106
 7105.35000,  0.01756177
 7105.65000,  0.01881020
 7105.95000,  0.01933037
 7106.25000,  0.02037052
 7106.55000,  0.02119571
 7106.85000,  0.02220214
 7107.15000,  0.02311664
 7107.45000,  0.02433472
 7107.75000,  0.02496126
 7108.05000,  0.02707089
 7108.35000,  0.02840490
 7108.65000,  0.03051315
 7108.95000,  0.03269255
 7109.25000,  0.03582453
 7109.55000,  0.04014384
 7109.85000,  0.04283417
 7110.15000,  0.05164257
 7110.45000,  0.06377346
 7110.75000,  0.07333749
 7111.05000,  0.07871041
 7111.35000,  0.08147433
 7111.65000,  0.08066936
 7111.95000,  0.07811831
 7112.25000,  0.07691774
 7112.55000,  0.07638123
 7112.85000,  0.07768301
 7113.15000,  0.07838738
 7113.45000,  0.07803007
 7113.75000,  0.07842875
 7114.05000,  0.07961348
 7114.35000,  0.08266049
 7114.65000,  0.08697255
 7114.95000,  0.09527035
 7115.25000,  0.09962069
 7115.55000,  0.11611202
 7115.85000,  0.13086836
 7116.15000,  0.14482403
 7116.45000,  0.17387667
 7116.75000,  0.20368977
 7117.05000,  0.24105568
 7117.35000,  0.27490970
 7117.65000,  0.33926887
 7117.95000,  0.37147018
 7118.25000,  0.45033015
 7118.55000,  0.53285409
 7118.85000,  0.59567410
 7119.15000,  0.64807794
 7119.45000,  0.68240762
 7119.75000,  0.72311260
 7120.05000,  0.75910550
 7120.35000,  0.80653748
 7120.65000,  0.83385580
 7120.95000,  0.87595202
 7121.25000,  0.91142243
 7121.55000,  0.93862933
 7121.85000,  0.96444416
 7122.15000,  1.01236192
 7122.45000,  1.03770009
 7122.75000,  1.07361446
 7123.05000,  1.08921353
 7123.35000,  1.13477408
 7123.65000,  1.15592909
 7123.95000,  1.19119923
 7124.25000,  1.21282668
 7124.55000,  1.22592979
 7124.85000,  1.24005145
 7125.15000,  1.25352943
 7125.45000,  1.26903357
 7125.75000,  1.27540371
 7126.05000,  1.28746674
 7126.35000,  1.29690501
 7126.65000,  1.30040598
 7126.95000,  1.30392503
 7127.25000,  1.29944680
 7127.55000,  1.29859499
 7127.85000,  1.29383781
 7128.15000,  1.29163320
 7128.45000,  1.28178809
 7128.75000,  1.26890121
 7129.05000,  1.26001742
 7129.35000,  1.24669577
 7129.65000,  1.22746356
 7129.95000,  1.21300778
 7130.25000,  1.19332103
 7130.55000,  1.18387522
 7130.85000,  1.15251646
 7131.15000,  1.13741134
 7131.45000,  1.11759490
 7131.75000,  1.10649700
 7132.05000,  1.08051531
 7133.05000,  1.05135540
 7134.05000,  1.04045165
 7135.05000,  1.03961028
 7136.05000,  1.01169603
 7137.05000,  1.00148174
 7138.05000,  1.00416380
 7139.05000,  1.00424666
 7140.05000,  1.00565503
 7141.05000,  1.00710762
 7142.05000,  0.99919516
 7143.05000,  0.98831806
 7144.05000,  0.97509805
 7145.05000,  0.95284373
 7146.05000,  0.93266508
 7147.05000,  0.92128911
 7148.05000,  0.90860134
 7149.05000,  0.89535789
 7150.05000,  0.89360538
 7151.05000,  0.89459529
 7152.05000,  0.90272069
 7153.05000,  0.91318211
 7154.05000,  0.92479295
 7155.05000,  0.93831453
 7156.05000,  0.94956896
 7157.05000,  0.95765043
 7158.05000,  0.96213024
 7159.05000,  0.97014342
 7160.05000,  0.97487372
 7161.05000,  0.98675560
 7162.05000,  0.99309119
 7163.05000,  1.00548132
 7164.05000,  1.01446429
 7165.05000,  1.02832748
 7166.05000,  1.03822989
 7167.05000,  1.04622893
 7168.05000,  1.05782932
 7169.05000,  1.06483198
 7170.05000,  1.06779851
 7171.05000,  1.06843111
 7172.05000,  1.06756113
 7173.05000,  1.06560940
 7174.05000,  1.06310586
 7175.05000,  1.06046366
 7176.05000,  1.05921351
 7177.05000,  1.05625557
 7178.05000,  1.05477650
 7179.05000,  1.05342854
 7180.05000,  1.04909954
 7181.05000,  1.04729435
 7182.05000,  1.04485092
 7183.05000,  1.04080181
 7184.05000,  1.03503733
 7185.05000,  1.03182624
 7186.05000,  1.02726066
 7187.05000,  1.02266392
 7188.05000,  1.02010362
 7189.05000,  1.01679747
 7190.05000,  1.01326765
 7191.05000,  1.01041726
 7192.05000,  1.01194905
 7193.05000,  1.00651456
 7194.05000,  1.00440381
 7195.05000,  1.00272577
 7196.05000,  1.00039482
 7197.05000,  0.99637730
