#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_white_gray_particles_Fe_5.001: FeXANES_GT5_white_gray_particles_Fe_5.001
#------------------------------------------
# energy, FeXANES_GT5_white_gray_particles_Fe_5.001
 7207.05000,  0.98643800
 7208.05000,  0.98803498
 7209.05000,  0.98769295
 7210.05000,  0.98790158
 7211.05000,  0.99154918
 7212.05000,  0.99127790
 7213.05000,  0.99520211
 7214.05000,  0.99299634
 7215.05000,  0.99755606
 7216.05000,  1.00021652
 7217.05000,  1.00460133
 7218.05000,  1.00599290
 7219.05000,  1.00900374
 7220.05000,  1.00544592
 7221.05000,  1.00913426
 7222.05000,  1.00832401
 7223.05000,  1.00611684
 7224.05000,  1.00694596
 7225.05000,  1.00656891
 7226.05000,  1.00363725
 7227.05000,  1.00581496
 7228.05000,  1.00055500
 7229.05000,  1.00176064
 7230.05000,  0.99831702
 7231.05000,  0.99821961
 7232.05000,  0.99245680
 7233.05000,  0.99226652
 7234.05000,  0.98949573
 7235.05000,  0.99017818
 7236.05000,  0.99186997
 7237.05000,  0.99245306
 7238.05000,  0.99065333
 7239.05000,  0.99367119
 7240.05000,  0.99446904
 7241.05000,  0.99478999
 7242.05000,  0.99922516
 7243.05000,  0.99762458
 7244.05000,  1.00647239
 7245.05000,  1.00511187
 7246.05000,  1.00485441
 7247.05000,  1.02037489
 7248.05000,  1.01033923
 7249.05000,  1.01061547
 7250.05000,  1.00822472
 7251.05000,  1.01295719
 7252.05000,  1.01406660
 7253.05000,  1.01329075
 7254.05000,  1.01616514
 7255.05000,  1.02156002
 7256.05000,  1.01564355
 7257.05000,  1.01445624
 7258.05000,  1.01492125
 7259.05000,  1.01806428
 7260.05000,  1.01601868
 7261.05000,  1.01363877
 7262.05000,  1.01658259
 7263.05000,  1.05468564
 7264.05000,  1.06226285
 7265.05000,  0.99305914
 7266.05000,  1.00985353
 7267.05000,  1.01181640
 7268.05000,  1.01832516
 7269.05000,  1.00713538
 7270.05000,  1.00653898
 7271.05000,  1.00891413
 7272.05000,  1.01114187
 7273.05000,  1.00953264
 7274.05000,  1.00359187
 7275.05000,  1.00059446
 7276.05000,  1.00062606
 7277.05000,  1.00110872
 7278.05000,  1.00028073
 7279.05000,  1.00089175
 7280.05000,  1.00357198
 7281.05000,  0.99370048
 7282.05000,  0.99832092
 7283.05000,  0.99675843
 7284.05000,  0.99443483
 7285.05000,  0.99616472
 7286.05000,  0.99357922
 7287.05000,  0.99071007
 7288.05000,  0.98851379
 7289.05000,  0.99129378
 7290.05000,  0.98783286
 7291.05000,  0.98659027
 7292.05000,  0.98774470
 7293.05000,  0.98556083
 7294.05000,  0.98652454
 7295.05000,  0.98338676
 7296.05000,  0.98238968
 7297.05000,  0.98071180
 7298.05000,  0.98395628
 7299.05000,  0.98310695
 7300.05000,  0.98192655
 7301.05000,  0.98142421
 7302.05000,  0.98116675
 7303.05000,  0.98059175
 7304.05000,  0.98233734
 7305.05000,  0.98107492
 7306.05000,  0.98339620
 7307.05000,  0.98509920
 7308.05000,  0.98569561
 7309.05000,  0.98584371
 7310.05000,  0.98671585
 7311.05000,  0.98761300
 7312.05000,  0.98958073
