#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_Fe_2.001: FeXANES_GT15_Fe_2.001
#------------------------------------------
# energy, FeXANES_GT15_Fe_2.001
 7032.05000,  6.37759e-4
 7037.05000,  3.02451e-4
 7042.05000,  2.09898e-4
 7047.05000,  7.58174e-5
 7052.05000, -1.50138e-4
 7057.05000, -2.23543e-4
 7062.05000, -3.45515e-4
 7067.05000, -2.04783e-4
 7072.05000, -4.14823e-4
 7077.05000, -8.73663e-5
 7082.05000,  8.38003e-4
 7087.05000,  0.00169493
 7092.05000,  0.00208839
 7097.05000,  0.00452988
 7102.05000,  0.00790528
 7102.35000,  0.00908972
 7102.65000,  0.00951249
 7102.95000,  0.00978652
 7103.25000,  0.01017706
 7103.55000,  0.01055241
 7103.85000,  0.01106602
 7104.15000,  0.01147970
 7104.45000,  0.01219616
 7104.75000,  0.01228689
 7105.05000,  0.01282207
 7105.35000,  0.01325029
 7105.65000,  0.01390147
 7105.95000,  0.01435272
 7106.25000,  0.01506501
 7106.55000,  0.01591623
 7106.85000,  0.01637176
 7107.15000,  0.01726059
 7107.45000,  0.01822844
 7107.75000,  0.01894748
 7108.05000,  0.01944609
 7108.35000,  0.02099743
 7108.65000,  0.02220798
 7108.95000,  0.02388414
 7109.25000,  0.02431568
 7109.55000,  0.02826738
 7109.85000,  0.03183445
 7110.15000,  0.03639122
 7110.45000,  0.04194541
 7110.75000,  0.04507231
 7111.05000,  0.05026184
 7111.35000,  0.05292463
 7111.65000,  0.05604915
 7111.95000,  0.06137044
 7112.25000,  0.06447224
 7112.55000,  0.06961162
 7112.85000,  0.07363827
 7113.15000,  0.07521467
 7113.45000,  0.07633230
 7113.75000,  0.07650353
 7114.05000,  0.07549564
 7114.35000,  0.07442370
 7114.65000,  0.07458255
 7114.95000,  0.07712396
 7115.25000,  0.08116893
 7115.55000,  0.08424239
 7115.85000,  0.09712609
 7116.15000,  0.10604964
 7116.45000,  0.12501938
 7116.75000,  0.13483212
 7117.05000,  0.16904396
 7117.35000,  0.19691982
 7117.65000,  0.22828918
 7117.95000,  0.26474531
 7118.25000,  0.28687822
 7118.55000,  0.35229148
 7118.85000,  0.37816299
 7119.15000,  0.45658400
 7119.45000,  0.51089797
 7119.75000,  0.53637986
 7120.05000,  0.58300535
 7120.35000,  0.62160736
 7120.65000,  0.67320239
 7120.95000,  0.70627166
 7121.25000,  0.74193318
 7121.55000,  0.77867465
 7121.85000,  0.81790920
 7122.15000,  0.84932639
 7122.45000,  0.89053975
 7122.75000,  0.94084443
 7123.05000,  0.97940246
 7123.35000,  1.01419615
 7123.65000,  1.03858206
 7123.95000,  1.07169806
 7124.25000,  1.09201263
 7124.55000,  1.10940778
 7124.85000,  1.12312322
 7125.15000,  1.13595779
 7125.45000,  1.13881768
 7125.75000,  1.15246913
 7126.05000,  1.16321359
 7126.35000,  1.16334997
 7126.65000,  1.18038270
 7126.95000,  1.19020628
 7127.25000,  1.19677978
 7127.55000,  1.21735840
 7127.85000,  1.23204206
 7128.15000,  1.24134863
 7128.45000,  1.25843474
 7128.75000,  1.26741737
 7129.05000,  1.27160410
 7129.35000,  1.27201144
 7129.65000,  1.26484136
 7129.95000,  1.25798244
 7130.25000,  1.24919797
 7130.55000,  1.23457824
