#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_flakydark_Fe_3.001: FeXANES_GT15_flakydark_Fe_3.001
#------------------------------------------
# energy, FeXANES_GT15_flakydark_Fe_3.001
 7032.05000, -6.56632e-4
 7037.05000,  4.00509e-4
 7042.05000,  2.64869e-4
 7047.05000,  5.58911e-5
 7052.05000, -1.71957e-4
 7057.05000, -3.20281e-4
 7062.05000, -4.78950e-4
 7067.05000, -5.16445e-4
 7072.05000, -1.31145e-4
 7077.05000,  2.45804e-4
 7082.05000,  6.51705e-4
 7087.05000,  0.00162735
 7092.05000,  0.00307799
 7097.05000,  0.00621192
 7102.05000,  0.00946597
 7102.35000,  0.01104390
 7102.65000,  0.01141319
 7102.95000,  0.01185342
 7103.25000,  0.01221717
 7103.55000,  0.01278234
 7103.85000,  0.01313426
 7104.15000,  0.01365936
 7104.45000,  0.01395807
 7104.75000,  0.01483771
 7105.05000,  0.01559798
 7105.35000,  0.01583877
 7105.65000,  0.01671213
 7105.95000,  0.01727999
 7106.25000,  0.01817940
 7106.55000,  0.01885372
 7106.85000,  0.01989550
 7107.15000,  0.02055579
 7107.45000,  0.02113384
 7107.75000,  0.02283259
 7108.05000,  0.02375924
 7108.35000,  0.02458237
 7108.65000,  0.02697229
 7108.95000,  0.02879112
 7109.25000,  0.03116903
 7109.55000,  0.03460278
 7109.85000,  0.03812564
 7110.15000,  0.04391803
 7110.45000,  0.05195985
 7110.75000,  0.05780957
 7111.05000,  0.06083992
 7111.35000,  0.06203323
 7111.65000,  0.06521008
 7111.95000,  0.06719185
 7112.25000,  0.06827653
 7112.55000,  0.07059042
 7112.85000,  0.07351634
 7113.15000,  0.07588066
 7113.45000,  0.07581526
 7113.75000,  0.07783255
 7114.05000,  0.07907808
 7114.35000,  0.08042458
 7114.65000,  0.08306343
 7114.95000,  0.08751043
 7115.25000,  0.09381165
 7115.55000,  0.10350472
 7115.85000,  0.11538345
 7116.15000,  0.13532414
 7116.45000,  0.15253291
 7116.75000,  0.18461514
 7117.05000,  0.21675650
 7117.35000,  0.24456346
 7117.65000,  0.29724977
 7117.95000,  0.31084053
 7118.25000,  0.37024892
 7118.55000,  0.44137836
 7118.85000,  0.52233959
 7119.15000,  0.58504115
 7119.45000,  0.64454661
 7119.75000,  0.69677518
 7120.05000,  0.71928862
 7120.35000,  0.77000353
 7120.65000,  0.79569825
 7120.95000,  0.82080647
 7121.25000,  0.84785267
 7121.55000,  0.87038028
 7121.85000,  0.90782664
 7122.15000,  0.91945492
 7122.45000,  0.98161749
 7122.75000,  1.01255079
 7123.05000,  1.04650269
 7123.35000,  1.08497439
 7123.65000,  1.12153789
 7123.95000,  1.14014735
 7124.25000,  1.16534152
 7124.55000,  1.17897467
 7124.85000,  1.18459445
 7125.15000,  1.19534353
 7125.45000,  1.20612386
 7125.75000,  1.20892988
 7126.05000,  1.21392655
 7126.35000,  1.21664492
 7126.65000,  1.22281453
 7126.95000,  1.22899348
 7127.25000,  1.23458805
 7127.55000,  1.25243161
 7127.85000,  1.26182472
 7128.15000,  1.27350142
 7128.45000,  1.27893130
 7128.75000,  1.28694478
 7129.05000,  1.29020296
 7129.35000,  1.28450017
 7129.65000,  1.27981885
 7129.95000,  1.25952102
 7130.25000,  1.25008438
 7130.55000,  1.22110313
 7130.85000,  1.19470077
 7131.15000,  1.17059225
 7131.45000,  1.15339289
 7131.75000,  1.12990162
 7132.05000,  1.11404730
 7133.05000,  1.06444961
 7134.05000,  1.03644117
 7135.05000,  1.02286126
 7136.05000,  0.99438287
 7137.05000,  0.98306409
 7138.05000,  0.97973994
 7139.05000,  0.98812659
 7140.05000,  0.99516671
 7141.05000,  1.01038845
 7142.05000,  1.00966455
 7143.05000,  1.00197099
 7144.05000,  0.99644300
 7145.05000,  0.96759821
 7146.05000,  0.94706701
 7147.05000,  0.93158728
 7148.05000,  0.91959047
 7149.05000,  0.91376009
 7150.05000,  0.90319695
 7151.05000,  0.90044252
 7152.05000,  0.90442575
 7153.05000,  0.91212558
 7154.05000,  0.91932849
 7155.05000,  0.92693420
 7156.05000,  0.93580980
 7157.05000,  0.94349036
 7158.05000,  0.95620944
 7159.05000,  0.95971804
 7160.05000,  0.96554069
 7161.05000,  0.98050653
 7162.05000,  0.99028027
 7163.05000,  0.99474522
 7164.05000,  1.00733666
 7165.05000,  1.01319858
 7166.05000,  1.01392973
 7167.05000,  1.01549384
 7168.05000,  1.01471344
 7169.05000,  1.01345774
 7170.05000,  1.01486441
 7171.05000,  1.01325374
 7172.05000,  1.01559879
 7173.05000,  1.01928902
 7174.05000,  1.02382570
 7175.05000,  1.03456827
 7176.05000,  1.03522223
 7177.05000,  1.03876097
 7178.05000,  1.03810947
 7179.05000,  1.03629575
 7180.05000,  1.03826387
 7181.05000,  1.03916127
 7182.05000,  1.04145757
 7183.05000,  1.03801362
 7184.05000,  1.03920750
 7185.05000,  1.03681748
 7186.05000,  1.03591390
 7187.05000,  1.03160620
 7188.05000,  1.02997470
 7189.05000,  1.02957640
 7190.05000,  1.02438028
 7191.05000,  1.01814158
 7192.05000,  1.01235832
 7193.05000,  1.00766667
 7194.05000,  1.00356282
 7195.05000,  1.00106312
 7196.05000,  0.99582714
 7197.05000,  0.99306371
 7198.05000,  0.99206301
 7199.05000,  0.99046322
 7200.05000,  0.98766769
 7201.05000,  0.98725833
 7202.05000,  0.98312560
 7203.05000,  0.98475386
 7204.05000,  0.98162721
 7205.05000,  0.98550654
 7206.05000,  0.97945939
 7207.05000,  0.98458228
 7208.05000,  0.98808526
 7209.05000,  0.98319760
 7210.05000,  0.98319696
 7211.05000,  0.98640441
 7212.05000,  0.98399470
 7213.05000,  0.98774237
 7214.05000,  0.99125210
 7215.05000,  0.99097911
 7216.05000,  0.99239231
 7217.05000,  0.99598746
 7218.05000,  0.99854916
 7219.05000,  0.99803415
 7220.05000,  0.99642579
 7221.05000,  0.99816101
 7222.05000,  0.99706106
 7223.05000,  0.99745451
 7224.05000,  0.99725792
 7225.05000,  0.99504194
 7226.05000,  0.99778235
 7227.05000,  0.99891580
 7228.05000,  0.99587910
 7229.05000,  0.99553559
 7230.05000,  0.99653163
 7231.05000,  0.99582186
 7232.05000,  0.99498241
 7233.05000,  0.99458124
 7234.05000,  0.99445103
 7235.05000,  0.99623122
 7236.05000,  0.99936962
 7237.05000,  1.00182351
 7238.05000,  1.00439679
 7239.05000,  1.00650517
 7240.05000,  1.00841198
 7241.05000,  1.00951541
 7242.05000,  1.01294860
 7243.05000,  1.01334768
 7244.05000,  1.01501868
 7245.05000,  1.01790579
 7246.05000,  1.01778111
 7247.05000,  1.01961318
 7248.05000,  1.01599884
 7249.05000,  1.01718075
 7250.05000,  1.01451161
 7251.05000,  1.01708989
 7252.05000,  1.01530155
 7253.05000,  1.01063682
 7254.05000,  1.01478560
 7255.05000,  1.02015871
 7256.05000,  1.01150325
 7257.05000,  1.01175560
 7258.05000,  1.01469445
 7259.05000,  1.01884482
 7260.05000,  1.01852625
 7261.05000,  1.01382005
 7262.05000,  1.01599108
 7263.05000,  1.05338317
 7264.05000,  1.04116575
 7265.05000,  1.01086671
 7266.05000,  1.00950601
 7267.05000,  1.00738944
 7268.05000,  1.01474553
 7269.05000,  1.00691839
 7270.05000,  1.00237873
 7271.05000,  1.00481044
 7272.05000,  1.01230306
 7273.05000,  1.00666007
 7274.05000,  1.00274928
 7275.05000,  1.00160040
 7276.05000,  1.00073005
