#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_concentric_gray3_Fe_9.001: FeXANES_GT5_concentric_gray3_Fe_9.001
#------------------------------------------
# energy, FeXANES_GT5_concentric_gray3_Fe_9.001
 7032.05000,  5.39753e-4
 7037.05000,  3.20558e-4
 7042.05000,  6.16797e-5
 7047.05000, -6.15984e-5
 7052.05000, -1.99314e-4
 7057.05000, -4.17971e-5
 7062.05000, -1.95441e-4
 7067.05000, -2.56222e-4
 7072.05000,  2.40525e-5
 7077.05000, -4.00756e-5
 7082.05000,  3.88158e-4
 7087.05000,  0.00136553
 7092.05000,  0.00165510
 7097.05000,  0.00395156
 7102.05000,  0.00725363
 7102.35000,  0.00735449
 7102.65000,  0.00745273
 7102.95000,  0.00787121
 7103.25000,  0.00795085
 7103.55000,  0.00853379
 7103.85000,  0.00890543
 7104.15000,  0.00918045
 7104.45000,  0.00945768
 7104.75000,  0.01015599
 7105.05000,  0.01018624
 7105.35000,  0.01066371
 7105.65000,  0.01153952
 7105.95000,  0.01191757
 7106.25000,  0.01231915
 7106.55000,  0.01326548
 7106.85000,  0.01359074
 7107.15000,  0.01415549
 7107.45000,  0.01542666
 7107.75000,  0.01635730
 7108.05000,  0.01688467
 7108.35000,  0.01842131
 7108.65000,  0.02023033
 7108.95000,  0.02141956
 7109.25000,  0.02447383
 7109.55000,  0.02529017
 7109.85000,  0.03180172
 7110.15000,  0.03890425
 7110.45000,  0.04749238
 7110.75000,  0.05796045
 7111.05000,  0.06856493
 7111.35000,  0.07106059
 7111.65000,  0.07635178
 7111.95000,  0.07844673
 7112.25000,  0.08061179
 7112.55000,  0.08482721
 7112.85000,  0.08932543
 7113.15000,  0.09103642
 7113.45000,  0.08935765
 7113.75000,  0.08352967
 7114.05000,  0.07694429
 7114.35000,  0.07227951
 7114.65000,  0.07236569
 7114.95000,  0.07654689
 7115.25000,  0.08347068
 7115.55000,  0.08946762
 7115.85000,  0.11144053
 7116.15000,  0.12621068
 7116.45000,  0.15586888
 7116.75000,  0.17010513
 7117.05000,  0.22144296
 7117.35000,  0.26093884
 7117.65000,  0.30611586
 7117.95000,  0.35393508
 7118.25000,  0.39936812
 7118.55000,  0.44286766
 7118.85000,  0.47391192
 7119.15000,  0.51422912
 7119.45000,  0.55855907
 7119.75000,  0.57530996
 7120.05000,  0.62138125
 7120.35000,  0.64328162
 7120.65000,  0.65880436
 7120.95000,  0.68795280
 7121.25000,  0.73896467
 7121.55000,  0.76294492
 7121.85000,  0.79876571
 7122.15000,  0.83583492
 7122.45000,  0.88017690
 7122.75000,  0.91176310
 7123.05000,  0.95773396
 7123.35000,  0.95622900
 7123.65000,  1.01873115
 7123.95000,  1.05040602
