#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky_nodule_Fe_4.001: FeXANES_GT5_flaky_nodule_Fe_4.001
#------------------------------------------
# energy, FeXANES_GT5_flaky_nodule_Fe_4.001
 7032.05000, -1.33452e-4
 7037.05000,  3.11630e-4
 7042.05000,  9.24178e-5
 7047.05000,  4.48475e-5
 7052.05000, -1.63091e-4
 7057.05000, -2.12695e-4
 7062.05000, -1.09043e-4
 7067.05000, -1.38767e-4
 7072.05000,  6.29118e-5
 7077.05000,  2.45240e-4
 7082.05000,  8.61724e-4
 7087.05000,  9.19981e-4
 7092.05000,  0.00243714
 7097.05000,  0.00495666
 7102.05000,  0.00799665
 7102.35000,  0.00928129
 7102.65000,  0.01008180
 7102.95000,  0.01024782
 7103.25000,  0.01062458
 7103.55000,  0.01171816
 7103.85000,  0.01178522
 7104.15000,  0.01208433
 7104.45000,  0.01272828
 7104.75000,  0.01378186
 7105.05000,  0.01441339
 7105.35000,  0.01505471
 7105.65000,  0.01584640
 7105.95000,  0.01703417
 7106.25000,  0.01775557
 7106.55000,  0.01942077
 7106.85000,  0.02090734
 7107.15000,  0.02165480
 7107.45000,  0.02311106
 7107.75000,  0.02630573
 7108.05000,  0.02840405
 7108.35000,  0.03228260
 7108.65000,  0.03530611
 7108.95000,  0.03971085
 7109.25000,  0.04489067
 7109.55000,  0.05833311
 7109.85000,  0.07401822
 7110.15000,  0.09113840
 7110.45000,  0.11722687
 7110.75000,  0.15510525
 7111.05000,  0.18144425
 7111.35000,  0.19441886
 7111.65000,  0.22225482
 7111.95000,  0.23449716
 7112.25000,  0.24670197
 7112.55000,  0.25958260
 7112.85000,  0.27257048
 7113.15000,  0.28646883
 7113.45000,  0.29368473
 7113.75000,  0.29889558
 7114.05000,  0.30190150
 7114.35000,  0.30640976
 7114.65000,  0.31388557
 7114.95000,  0.31865079
 7115.25000,  0.32526815
 7115.55000,  0.32729569
 7115.85000,  0.34020690
 7116.15000,  0.35554088
 7116.45000,  0.36479519
 7116.75000,  0.37564214
 7117.05000,  0.40129522
 7117.35000,  0.41716640
 7117.65000,  0.42645049
 7117.95000,  0.45475186
 7118.25000,  0.47472938
 7118.55000,  0.49259206
 7118.85000,  0.51148942
 7119.15000,  0.52998251
 7119.45000,  0.55091016
 7119.75000,  0.57022348
 7120.05000,  0.59790273
 7120.35000,  0.61661499
 7120.65000,  0.64862781
 7120.95000,  0.66187144
 7121.25000,  0.68019642
 7121.55000,  0.69611903
 7121.85000,  0.71312029
 7122.15000,  0.75154592
 7122.45000,  0.76735650
 7122.75000,  0.79399070
 7123.05000,  0.81056937
 7123.35000,  0.82827356
 7123.65000,  0.84079618
 7123.95000,  0.85603780
 7124.25000,  0.87414410
 7124.55000,  0.89577030
 7124.85000,  0.90305383
 7125.15000,  0.92441252
 7125.45000,  0.93552083
 7125.75000,  0.95709683
 7126.05000,  0.96316111
 7126.35000,  0.97627818
 7126.65000,  0.99890028
 7126.95000,  1.00528943
 7127.25000,  1.01991528
 7127.55000,  1.03841483
 7127.85000,  1.04823940
 7128.15000,  1.05932661
 7128.45000,  1.08335362
 7128.75000,  1.09024253
 7129.05000,  1.10124445
 7129.35000,  1.10371544
 7129.65000,  1.10819301
 7129.95000,  1.10824563
 7130.25000,  1.10333360
 7130.55000,  1.09865723
 7130.85000,  1.08889804
 7131.15000,  1.08080800
 7131.45000,  1.07762043
 7131.75000,  1.07400222
 7132.05000,  1.07077847
 7133.05000,  1.04507134
 7134.05000,  1.02177384
 7135.05000,  1.01104945
 7136.05000,  0.99037805
 7137.05000,  0.98493431
 7138.05000,  0.98633916
 7139.05000,  0.98967093
 7140.05000,  0.98291178
 7141.05000,  0.98408590
 7142.05000,  0.98151717
 7143.05000,  0.97609876
 7144.05000,  0.97572286
 7145.05000,  0.97969780
 7146.05000,  0.98933962
 7147.05000,  0.99285101
 7148.05000,  0.99602491
 7149.05000,  0.99938105
 7150.05000,  0.99578376
 7151.05000,  0.99283729
 7152.05000,  0.98898390
 7153.05000,  0.98861586
 7154.05000,  0.98717644
 7155.05000,  0.98327529
 7156.05000,  0.98338090
 7157.05000,  0.98322758
 7158.05000,  0.98177787
 7159.05000,  0.97873683
 7160.05000,  0.97803673
 7161.05000,  0.97945439
 7162.05000,  0.97705901
 7163.05000,  0.97577723
 7164.05000,  0.97165417
 7165.05000,  0.97943266
 7166.05000,  0.97478667
 7167.05000,  0.97573757
 7168.05000,  0.97549567
 7169.05000,  0.98777191
 7170.05000,  0.98891488
 7171.05000,  0.99315995
 7172.05000,  0.99655819
 7173.05000,  0.99369219
 7174.05000,  0.98976410
 7175.05000,  0.98646869
 7176.05000,  0.98262202
 7177.05000,  0.97986791
 7178.05000,  0.98175184
 7179.05000,  0.98232543
 7180.05000,  0.98474485
 7181.05000,  0.98902994
 7182.05000,  0.98893122
 7183.05000,  0.98861584
 7184.05000,  0.99384326
 7185.05000,  0.99608579
 7186.05000,  0.99576086
 7187.05000,  1.00139400
 7188.05000,  1.01017348
 7189.05000,  1.01186918
 7190.05000,  1.02074573
 7191.05000,  1.02376027
 7192.05000,  1.02330209
 7193.05000,  1.03160990
 7194.05000,  1.03567322
 7195.05000,  1.03223115
 7196.05000,  1.03374574
 7197.05000,  1.03058188
 7198.05000,  1.02700030
 7199.05000,  1.02482464
 7200.05000,  1.01538692
 7201.05000,  1.00622877
 7202.05000,  1.00321184
 7203.05000,  0.99891189
 7204.05000,  0.99466314
 7205.05000,  0.99066784
 7206.05000,  0.98803501
 7207.05000,  0.98786291
 7208.05000,  0.98546777
 7209.05000,  0.99466691
 7210.05000,  0.99664750
 7211.05000,  1.00108243
 7212.05000,  1.01773210
 7213.05000,  1.02399960
 7214.05000,  1.03298868
 7215.05000,  1.04817235
 7216.05000,  1.06010699
 7217.05000,  1.06494935
 7218.05000,  1.07579084
 7219.05000,  1.08230303
 7220.05000,  1.08287885
 7221.05000,  1.07993106
 7222.05000,  1.07625850
 7223.05000,  1.07191185
 7224.05000,  1.06921696
 7225.05000,  1.06038605
 7226.05000,  1.04479943
 7227.05000,  1.03311901
 7228.05000,  1.02894720
 7229.05000,  1.01785006
 7230.05000,  1.00804323
 7231.05000,  0.99927642
 7232.05000,  0.98163994
 7233.05000,  0.97286265
 7234.05000,  0.97162733
 7235.05000,  0.96612376
 7236.05000,  0.95981638
 7237.05000,  0.95328846
 7238.05000,  0.95087458
