#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky2_Fe_8.001: FeXANES_GT5_flaky2_Fe_8.001
#------------------------------------------
# energy, FeXANES_GT5_flaky2_Fe_8.001
 7032.05000,  4.20902e-4
 7037.05000,  7.76585e-4
 7042.05000,  4.92471e-4
 7047.05000,  3.04430e-4
 7052.05000, -1.96750e-4
 7057.05000, -1.68090e-4
 7062.05000, -3.71264e-4
 7067.05000, -3.30414e-4
 7072.05000, -3.67851e-4
 7077.05000, -9.68858e-5
 7082.05000, -6.59167e-6
 7087.05000,  7.40945e-4
 7092.05000,  0.00173861
 7097.05000,  0.00297668
 7102.05000,  0.00687234
 7102.35000,  0.00697296
 7102.65000,  0.00734810
 7102.95000,  0.00737009
 7103.25000,  0.00777722
 7103.55000,  0.00813210
 7103.85000,  0.00864307
 7104.15000,  0.00881200
 7104.45000,  0.00912844
 7104.75000,  0.00951021
 7105.05000,  0.00985546
 7105.35000,  0.01031703
 7105.65000,  0.01057679
 7105.95000,  0.01116383
 7106.25000,  0.01190194
 7106.55000,  0.01254805
 7106.85000,  0.01277604
 7107.15000,  0.01372386
 7107.45000,  0.01438153
 7107.75000,  0.01488581
 7108.05000,  0.01592621
 7108.35000,  0.01648020
 7108.65000,  0.01765140
 7108.95000,  0.01910744
 7109.25000,  0.02063515
 7109.55000,  0.02233382
 7109.85000,  0.02458611
 7110.15000,  0.02889253
 7110.45000,  0.03295661
 7110.75000,  0.03432209
 7111.05000,  0.04323508
 7111.35000,  0.05006919
 7111.65000,  0.05672524
 7111.95000,  0.06955269
 7112.25000,  0.07518419
 7112.55000,  0.08808315
 7112.85000,  0.09321983
 7113.15000,  0.09657716
 7113.45000,  0.09567392
 7113.75000,  0.09314974
 7114.05000,  0.09127601
 7114.35000,  0.08789998
 7114.65000,  0.08586438
 7114.95000,  0.08582757
 7115.25000,  0.08664512
 7115.55000,  0.08966245
 7115.85000,  0.09369077
 7116.15000,  0.09941276
 7116.45000,  0.10885504
 7116.75000,  0.11828194
 7117.05000,  0.12719904
 7117.35000,  0.14179940
 7117.65000,  0.15696386
 7117.95000,  0.17420386
 7118.25000,  0.17923594
 7118.55000,  0.21316657
 7118.85000,  0.24812540
 7119.15000,  0.27277439
 7119.45000,  0.30869633
 7119.75000,  0.32699805
 7120.05000,  0.39299979
 7120.35000,  0.42889340
 7120.65000,  0.46489803
 7120.95000,  0.46665386
 7121.25000,  0.51192702
 7121.55000,  0.55859584
 7121.85000,  0.60350354
 7122.15000,  0.62180604
 7122.45000,  0.68137293
 7122.75000,  0.71272082
 7123.05000,  0.76385570
 7123.35000,  0.79273155
 7123.65000,  0.83888988
 7123.95000,  0.86147261
 7124.25000,  0.90026544
 7124.55000,  0.92112017
 7124.85000,  0.95154414
 7125.15000,  0.97537868
 7125.45000,  0.99579034
 7125.75000,  1.02386041
 7126.05000,  1.04956502
 7126.35000,  1.07131583
 7126.65000,  1.09374985
 7126.95000,  1.11908288
 7127.25000,  1.13698625
 7127.55000,  1.16620772
 7127.85000,  1.18469762
 7128.15000,  1.20517217
 7128.45000,  1.22538367
 7128.75000,  1.23597944
 7129.05000,  1.24734533
 7129.35000,  1.25210473
 7129.65000,  1.26213037
 7129.95000,  1.26123867
 7130.25000,  1.26350759
 7130.55000,  1.26528066
 7130.85000,  1.26281811
 7131.15000,  1.26025013
 7131.45000,  1.25778455
 7131.75000,  1.25213100
 7132.05000,  1.24726646
 7133.05000,  1.21670574
 7134.05000,  1.17908151
 7135.05000,  1.15738281
 7136.05000,  1.12878938
 7137.05000,  1.11599923
 7138.05000,  1.09366375
 7139.05000,  1.08499265
 7140.05000,  1.06691232
 7141.05000,  1.06157047
 7142.05000,  1.05300556
 7143.05000,  1.04812662
 7144.05000,  1.04771390
 7145.05000,  1.03831463
 7146.05000,  1.03204974
 7147.05000,  1.01369763
 7148.05000,  0.99924640
 7149.05000,  0.97464618
 7150.05000,  0.96087381
 7151.05000,  0.94291489
 7152.05000,  0.93304308
 7153.05000,  0.92706848
 7154.05000,  0.92133179
 7155.05000,  0.91027752
 7156.05000,  0.90684523
 7157.05000,  0.90437271
 7158.05000,  0.89934391
 7159.05000,  0.89801274
 7160.05000,  0.90101407
 7161.05000,  0.90654301
 7162.05000,  0.90974839
 7163.05000,  0.91849280
 7164.05000,  0.92353182
 7165.05000,  0.93270737
 7166.05000,  0.94161909
 7167.05000,  0.94961744
 7168.05000,  0.96000538
 7169.05000,  0.97014035
 7170.05000,  0.97555856
 7171.05000,  0.98480550
 7172.05000,  0.99932793
 7173.05000,  1.00066336
 7174.05000,  1.01740298
 7175.05000,  1.02270517
 7176.05000,  1.03117504
 7177.05000,  1.03709913
 7178.05000,  1.04109962
 7179.05000,  1.04600436
 7180.05000,  1.04748989
 7181.05000,  1.05206533
 7182.05000,  1.05046351
 7183.05000,  1.04822927
 7184.05000,  1.04948613
 7185.05000,  1.04978287
 7186.05000,  1.05037653
 7187.05000,  1.04623968
 7188.05000,  1.04820387
 7189.05000,  1.04499816
 7190.05000,  1.04322315
 7191.05000,  1.04028612
 7192.05000,  1.03737510
 7193.05000,  1.03491591
 7194.05000,  1.03295519
 7195.05000,  1.02895481
 7196.05000,  1.02882004
 7197.05000,  1.02471688
 7198.05000,  1.02019823
 7199.05000,  1.01849641
 7200.05000,  1.00993242
 7201.05000,  1.00712910
 7202.05000,  1.00299077
 7203.05000,  1.00158698
 7204.05000,  0.99658950
 7205.05000,  0.99444639
 7206.05000,  0.99191621
 7207.05000,  0.99122350
 7208.05000,  0.98783640
 7209.05000,  0.98929066
 7210.05000,  0.99124602
 7211.05000,  0.98927027
 7212.05000,  0.99184081
 7213.05000,  0.98908151
 7214.05000,  0.99298675
 7215.05000,  0.99267591
 7216.05000,  0.99313012
 7217.05000,  0.99677564
 7218.05000,  0.99779642
 7219.05000,  1.00034957
 7220.05000,  1.00133160
 7221.05000,  1.00077272
 7222.05000,  1.00228183
 7223.05000,  1.00565059
 7224.05000,  1.00268137
 7225.05000,  1.00458032
 7226.05000,  1.00343396
 7227.05000,  1.00276200
 7228.05000,  1.00101504
 7229.05000,  1.00264521
 7230.05000,  1.00138563
 7231.05000,  0.99784397
 7232.05000,  0.99596007
 7233.05000,  0.99900156
 7234.05000,  0.99542299
 7235.05000,  0.99484746
 7236.05000,  0.99517802
 7237.05000,  0.99466969
 7238.05000,  0.99612555
 7239.05000,  0.99376713
 7240.05000,  0.99141974
 7241.05000,  0.99083044
 7242.05000,  0.99042310
 7243.05000,  0.98966362
 7244.05000,  0.99050984
 7245.05000,  0.98643400
 7246.05000,  0.98930973
 7247.05000,  0.99294823
 7248.05000,  0.98875763
 7249.05000,  0.99472267
 7250.05000,  0.99137298
 7251.05000,  0.99422730
 7252.05000,  0.99352758
 7253.05000,  0.99540817
 7254.05000,  0.99906811
 7255.05000,  1.00329904
 7256.05000,  1.00266414
 7257.05000,  1.00223605
 7258.05000,  1.00661542
 7259.05000,  1.01718739
 7260.05000,  1.00134363
 7261.05000,  1.01303107
 7262.05000,  1.01701407
 7263.05000,  1.04962756
 7264.05000,  1.03199801
 7265.05000,  1.01706103
 7266.05000,  1.01405462
 7267.05000,  1.01419614
 7268.05000,  1.01919559
 7269.05000,  1.01511306
 7270.05000,  1.01375963
 7271.05000,  1.01819548
 7272.05000,  1.01676029
 7273.05000,  1.01963790
 7274.05000,  1.01795609
 7275.05000,  1.01507395
 7276.05000,  1.01490919
 7277.05000,  1.01371988
 7278.05000,  1.01274620
 7279.05000,  1.01112941
 7280.05000,  1.01834848
 7281.05000,  1.00788070
 7282.05000,  1.00542130
 7283.05000,  1.00530064
 7284.05000,  1.00517665
 7285.05000,  1.00284903
 7286.05000,  1.00207299
 7287.05000,  0.99926559
 7288.05000,  0.99659595
 7289.05000,  0.99933200
 7290.05000,  0.99518959
 7291.05000,  0.99452137
 7292.05000,  0.99361972
 7293.05000,  0.99399718
 7294.05000,  0.99558388
 7295.05000,  0.98994702
 7296.05000,  0.98738686
 7297.05000,  0.98968141
 7298.05000,  0.98637503
 7299.05000,  0.98379427
 7300.05000,  0.98559094
 7301.05000,  0.98252518
 7302.05000,  0.98252018
 7303.05000,  0.98264846
 7304.05000,  0.98277310
 7305.05000,  0.97906441
 7306.05000,  0.97744205
 7307.05000,  0.97870056
 7308.05000,  0.97717760
 7309.05000,  0.97515831
