#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_Fe_4.001: FeXANES_GT15_Fe_4.001
#------------------------------------------
# energy, FeXANES_GT15_Fe_4.001
 7032.05000, -3.82185e-4
 7037.05000,  5.17949e-4
 7042.05000,  1.47756e-4
 7047.05000, -1.03320e-4
 7052.05000, -8.67897e-5
 7057.05000, -2.54835e-4
 7062.05000, -4.47623e-4
 7067.05000, -3.23463e-4
 7072.05000, -1.39762e-4
 7077.05000,  1.16252e-4
 7082.05000,  1.72566e-4
 7087.05000,  4.01272e-4
 7092.05000,  0.00221212
 7097.05000,  0.00482839
 7102.05000,  0.00679365
 7102.35000,  0.00905143
 7102.65000,  0.00977043
 7102.95000,  0.00998310
 7103.25000,  0.01021968
 7103.55000,  0.01058898
 7103.85000,  0.01102329
 7104.15000,  0.01144077
 7104.45000,  0.01184404
 7104.75000,  0.01224717
 7105.05000,  0.01287564
 7105.35000,  0.01322145
 7105.65000,  0.01374775
 7105.95000,  0.01393958
 7106.25000,  0.01548402
 7106.55000,  0.01660140
 7106.85000,  0.01763327
 7107.15000,  0.01900587
 7107.45000,  0.02025820
 7107.75000,  0.02148922
 7108.05000,  0.02352395
 7108.35000,  0.02531940
 7108.65000,  0.02674216
 7108.95000,  0.02985326
 7109.25000,  0.03203357
 7109.55000,  0.03396562
 7109.85000,  0.03830788
 7110.15000,  0.04270945
 7110.45000,  0.05261822
 7110.75000,  0.05946143
 7111.05000,  0.06410279
 7111.35000,  0.06856471
 7111.65000,  0.07217914
 7111.95000,  0.07427980
 7112.25000,  0.07529956
 7112.55000,  0.07993613
 7112.85000,  0.08487224
 7113.15000,  0.08993621
 7113.45000,  0.09464756
 7113.75000,  0.10586096
 7114.05000,  0.12132360
 7114.35000,  0.13576870
 7114.65000,  0.15463384
 7114.95000,  0.17272314
 7115.25000,  0.18083320
 7115.55000,  0.18625164
 7115.85000,  0.19173210
 7116.15000,  0.19565161
 7116.45000,  0.21064152
 7116.75000,  0.23593830
 7117.05000,  0.24901403
 7117.35000,  0.27093521
 7117.65000,  0.28643478
 7117.95000,  0.29745051
 7118.25000,  0.32915429
 7118.55000,  0.34812097
 7118.85000,  0.38550486
 7119.15000,  0.42332310
 7119.45000,  0.46749165
 7119.75000,  0.52026595
 7120.05000,  0.55047640
 7120.35000,  0.64092651
 7120.65000,  0.70164450
 7120.95000,  0.76436749
 7121.25000,  0.82249015
 7121.55000,  0.84428236
 7121.85000,  0.88792010
 7122.15000,  0.91665550
 7122.45000,  0.93543371
 7122.75000,  0.95315014
 7123.05000,  0.95836385
 7123.35000,  0.98689154
 7123.65000,  1.02551892
 7123.95000,  1.04162168
 7124.25000,  1.05715122
 7124.55000,  1.06995002
 7124.85000,  1.07749932
 7125.15000,  1.08558508
 7125.45000,  1.09407581
 7125.75000,  1.10553668
 7126.05000,  1.11837840
 7126.35000,  1.12371673
 7126.65000,  1.13284741
 7126.95000,  1.13122782
 7127.25000,  1.14550203
 7127.55000,  1.15680612
 7127.85000,  1.15842220
 7128.15000,  1.16102380
 7128.45000,  1.15966243
 7128.75000,  1.15683314
 7129.05000,  1.15440478
 7129.35000,  1.15648053
 7129.65000,  1.14912810
 7129.95000,  1.14425855
 7130.25000,  1.14506804
 7130.55000,  1.14667882
 7130.85000,  1.14607583
 7131.15000,  1.14238043
 7131.45000,  1.14132998
 7131.75000,  1.13308854
 7132.05000,  1.12363762
 7133.05000,  1.08654650
 7134.05000,  1.04141555
 7135.05000,  1.01929078
 7136.05000,  0.99051077
 7137.05000,  0.97211831
 7138.05000,  0.95488460
 7139.05000,  0.94565399
 7140.05000,  0.93527595
 7141.05000,  0.93662988
 7142.05000,  0.94598869
 7143.05000,  0.95531860
 7144.05000,  0.96368412
 7145.05000,  0.96077829
 7146.05000,  0.95142702
 7147.05000,  0.94459583
 7148.05000,  0.93718860
 7149.05000,  0.93433287
 7150.05000,  0.92606543
 7151.05000,  0.92642067
 7152.05000,  0.93190522
 7153.05000,  0.92906603
 7154.05000,  0.92893392
 7155.05000,  0.92953970
 7156.05000,  0.93104866
 7157.05000,  0.93425633
 7158.05000,  0.93912387
 7159.05000,  0.94933660
 7160.05000,  0.95707283
 7161.05000,  0.96365088
 7162.05000,  0.97225004
 7163.05000,  0.97994480
 7164.05000,  0.98909404
 7165.05000,  0.99745449
 7166.05000,  1.00404638
 7167.05000,  1.01141713
 7168.05000,  1.01971084
 7169.05000,  1.02704434
 7170.05000,  1.04114163
 7171.05000,  1.04753526
 7172.05000,  1.05206638
 7173.05000,  1.05217842
 7174.05000,  1.04780438
 7175.05000,  1.04432079
 7176.05000,  1.04539292
 7177.05000,  1.04402398
 7178.05000,  1.03596074
 7179.05000,  1.03423109
 7180.05000,  1.02968650
 7181.05000,  1.02340255
 7182.05000,  1.01918915
 7183.05000,  1.01083956
 7184.05000,  1.00370208
 7185.05000,  0.99886383
 7186.05000,  0.99541079
 7187.05000,  0.99474818
 7188.05000,  0.99057075
 7189.05000,  0.98784821
 7190.05000,  0.98701704
 7191.05000,  0.97880148
 7192.05000,  0.97455207
 7193.05000,  0.97147893
 7194.05000,  0.96465235
 7195.05000,  0.94892631
 7196.05000,  0.94266008
 7197.05000,  0.94137409
 7198.05000,  0.94145055
 7199.05000,  0.94020606
 7200.05000,  0.94843508
 7201.05000,  0.94171427
 7202.05000,  0.94865549
 7203.05000,  0.95902668
 7204.05000,  0.95936453
 7205.05000,  0.96104100
 7206.05000,  0.96289898
 7207.05000,  0.95946019
 7208.05000,  0.95616568
 7209.05000,  0.96922432
 7210.05000,  0.97124617
 7211.05000,  0.97493401
 7212.05000,  0.98032739
 7213.05000,  0.99292978
 7214.05000,  0.99605392
 7215.05000,  1.00473134
 7216.05000,  1.00880300
 7217.05000,  1.00990477
 7218.05000,  1.01252781
 7219.05000,  1.01081729
 7220.05000,  1.01102254
 7221.05000,  1.01033707
 7222.05000,  1.00998283
 7223.05000,  1.01338335
 7224.05000,  1.01864626
 7225.05000,  1.02080277
 7226.05000,  1.02603316
 7227.05000,  1.03627437
 7228.05000,  1.03660088
 7229.05000,  1.03329010
 7230.05000,  1.03628284
 7231.05000,  1.04190129
 7232.05000,  1.04736789
 7233.05000,  1.05382280
