#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flakysmooth2_Fe_19.001: FeXANES_GT5_flakysmooth2_Fe_19.001
#------------------------------------------
# energy, FeXANES_GT5_flakysmooth2_Fe_19.001
 7207.05000,  1.01066366
 7208.05000,  1.00799105
 7209.05000,  1.00685167
 7210.05000,  1.00847526
 7211.05000,  1.00499852
 7212.05000,  1.00393978
 7213.05000,  1.00262163
 7214.05000,  1.00039165
 7215.05000,  0.99952777
 7216.05000,  1.00016788
 7217.05000,  0.99771418
 7218.05000,  0.99521274
 7219.05000,  0.99548929
 7220.05000,  0.99637765
 7221.05000,  0.99360451
 7222.05000,  0.99348390
 7223.05000,  0.98925640
 7224.05000,  0.99171166
 7225.05000,  0.98680370
 7226.05000,  0.98727930
 7227.05000,  0.98681992
 7228.05000,  0.98571769
 7229.05000,  0.98485644
 7230.05000,  0.98454611
 7231.05000,  0.98202299
 7232.05000,  0.98040770
 7233.05000,  0.98223011
 7234.05000,  0.98320065
 7235.05000,  0.98275876
 7236.05000,  0.98186291
 7237.05000,  0.98190317
 7238.05000,  0.98062149
 7239.05000,  0.98368322
 7240.05000,  0.98310627
 7241.05000,  0.98104663
 7242.05000,  0.98184920
 7243.05000,  0.98288121
 7244.05000,  0.98383477
 7245.05000,  0.98146523
 7246.05000,  0.98564993
 7247.05000,  0.98568270
 7248.05000,  0.98534124
 7249.05000,  0.98248727
 7250.05000,  0.98703722
 7251.05000,  0.99001981
 7252.05000,  0.98777140
 7253.05000,  0.99009894
 7254.05000,  0.99299358
 7255.05000,  1.00021372
 7256.05000,  0.99234807
 7257.05000,  0.99282457
 7258.05000,  0.99262041
 7259.05000,  0.99518776
 7260.05000,  0.99633675
 7261.05000,  0.99809188
 7262.05000,  1.00066164
 7263.05000,  1.00710370
 7264.05000,  1.01291871
 7265.05000,  0.94763338
 7266.05000,  1.00215828
 7267.05000,  0.99844057
 7268.05000,  1.00844392
 7269.05000,  0.99388231
 7270.05000,  1.00395527
 7271.05000,  1.00333705
 7272.05000,  1.00583882
 7273.05000,  1.00597616
 7274.05000,  1.00720278
 7275.05000,  1.00497064
 7276.05000,  1.00573095
 7277.05000,  1.00883988
 7278.05000,  1.00998950
 7279.05000,  1.00705966
 7280.05000,  1.00672494
 7281.05000,  1.00635187
 7282.05000,  1.00757217
 7283.05000,  1.00777381
 7284.05000,  1.00799645
 7285.05000,  1.00784132
 7286.05000,  1.00719407
 7287.05000,  1.00792372
 7288.05000,  1.00776280
 7289.05000,  1.00341870
 7290.05000,  1.00678453
 7291.05000,  1.00513988
 7292.05000,  1.00866564
 7293.05000,  1.00755600
 7294.05000,  1.00639470
 7295.05000,  1.01030166
 7296.05000,  1.00838310
 7297.05000,  1.00344131
 7298.05000,  1.00810370
 7299.05000,  1.00663974
 7300.05000,  1.00535447
 7301.05000,  1.00781635
 7302.05000,  1.00595204
 7303.05000,  1.00540683
 7304.05000,  1.00507048
 7305.05000,  1.00517470
 7306.05000,  1.00441665
 7307.05000,  1.00466610
 7308.05000,  1.00278436
 7309.05000,  1.00183723
 7310.05000,  1.00193622
 7311.05000,  1.00400299
 7312.05000,  1.00351774
