#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_flakydark_Fe_5.001: FeXANES_GT15_flakydark_Fe_5.001
#------------------------------------------
# energy, FeXANES_GT15_flakydark_Fe_5.001
 7032.05000, -5.25137e-4
 7037.05000,  5.00603e-4
 7042.05000,  2.24637e-4
 7047.05000, -1.62482e-4
 7052.05000, -1.53384e-4
 7057.05000, -3.45975e-4
 7062.05000, -4.20131e-4
 7067.05000, -3.80752e-4
 7072.05000,  3.38360e-5
 7077.05000,  2.40147e-4
 7082.05000,  4.63503e-4
 7087.05000,  0.00176984
 7092.05000,  0.00319514
 7097.05000,  0.00489773
 7102.05000,  0.00741401
 7102.35000,  0.01011217
 7102.65000,  0.01048438
 7102.95000,  0.01073025
 7103.25000,  0.01103569
 7103.55000,  0.01161447
 7103.85000,  0.01186601
 7104.15000,  0.01234238
 7104.45000,  0.01282583
 7104.75000,  0.01328017
 7105.05000,  0.01384769
 7105.35000,  0.01426367
 7105.65000,  0.01482747
 7105.95000,  0.01530543
 7106.25000,  0.01632002
 7106.55000,  0.01680567
 7106.85000,  0.01767531
 7107.15000,  0.01781172
 7107.45000,  0.01950260
 7107.75000,  0.02038146
 7108.05000,  0.02094837
 7108.35000,  0.02253668
 7108.65000,  0.02441842
 7108.95000,  0.02607848
 7109.25000,  0.02750707
 7109.55000,  0.02872817
 7109.85000,  0.03408625
 7110.15000,  0.04091727
 7110.45000,  0.04640980
 7110.75000,  0.04915683
 7111.05000,  0.05323832
 7111.35000,  0.05724337
 7111.65000,  0.05903462
 7111.95000,  0.06171331
 7112.25000,  0.06307260
 7112.55000,  0.06667034
 7112.85000,  0.06897586
 7113.15000,  0.07064016
 7113.45000,  0.07257588
 7113.75000,  0.07286675
 7114.05000,  0.07313995
 7114.35000,  0.07488917
 7114.65000,  0.07711923
 7114.95000,  0.07850885
 7115.25000,  0.08708067
 7115.55000,  0.09492481
 7115.85000,  0.10626699
 7116.15000,  0.11801026
 7116.45000,  0.13109540
 7116.75000,  0.16400418
 7117.05000,  0.18686147
 7117.35000,  0.22058471
 7117.65000,  0.26690746
 7117.95000,  0.29925601
 7118.25000,  0.35864917
 7118.55000,  0.41390920
 7118.85000,  0.47458427
 7119.15000,  0.53651337
 7119.45000,  0.57844662
 7119.75000,  0.63306582
 7120.05000,  0.67500130
 7120.35000,  0.70878190
 7120.65000,  0.74635342
 7120.95000,  0.76669331
 7121.25000,  0.79980006
 7121.55000,  0.82992231
 7121.85000,  0.86421436
 7122.15000,  0.89357337
 7122.45000,  0.93243715
 7122.75000,  0.97952094
 7123.05000,  1.01479628
 7123.35000,  1.05090128
 7123.65000,  1.08256181
 7123.95000,  1.10633975
 7124.25000,  1.13036520
 7124.55000,  1.14509737
 7124.85000,  1.15291221
 7125.15000,  1.16317840
 7125.45000,  1.17526212
 7125.75000,  1.18162656
 7126.05000,  1.18499857
 7126.35000,  1.18673790
 7126.65000,  1.19684172
 7126.95000,  1.19874346
 7127.25000,  1.20924182
 7127.55000,  1.22136929
 7127.85000,  1.23300148
 7128.15000,  1.24651259
 7128.45000,  1.26118052
 7128.75000,  1.26697374
 7129.05000,  1.27745597
 7129.35000,  1.27581068
 7129.65000,  1.26122733
 7129.95000,  1.25171276
 7130.25000,  1.23599640
 7130.55000,  1.21505409
