#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_Fe_3.001: FeXANES_GT15_Fe_3.001
#------------------------------------------
# energy, FeXANES_GT15_Fe_3.001
 7152.05000,  0.90001223
 7153.05000,  0.89834362
 7154.05000,  0.90370767
 7155.05000,  0.90803958
 7156.05000,  0.91377196
 7157.05000,  0.92040272
 7158.05000,  0.92725686
 7159.05000,  0.93878773
 7160.05000,  0.94130744
 7161.05000,  0.94808511
 7162.05000,  0.95312046
 7163.05000,  0.95731563
 7164.05000,  0.96798957
 7165.05000,  0.97789588
 7166.05000,  0.98482979
 7167.05000,  0.99095499
 7168.05000,  0.99699624
 7169.05000,  0.99945350
 7170.05000,  1.00552647
 7171.05000,  1.01153662
 7172.05000,  1.01421754
 7173.05000,  1.01564139
 7174.05000,  1.01858496
 7175.05000,  1.02092401
 7176.05000,  1.02191731
 7177.05000,  1.02090384
 7178.05000,  1.02119721
 7179.05000,  1.02215623
 7180.05000,  1.02301819
 7181.05000,  1.02366859
 7182.05000,  1.02707228
 7183.05000,  1.02646634
 7184.05000,  1.02692403
 7185.05000,  1.02875026
 7186.05000,  1.02914875
 7187.05000,  1.02682053
 7188.05000,  1.02414365
 7189.05000,  1.02405651
 7190.05000,  1.02240215
 7191.05000,  1.01950914
 7192.05000,  1.01443364
 7193.05000,  1.01181553
 7194.05000,  1.00754824
 7195.05000,  1.00412846
 7196.05000,  1.00111909
 7197.05000,  0.99870483
 7198.05000,  0.99588042
 7199.05000,  0.99411058
 7200.05000,  0.99304834
 7201.05000,  0.99223771
 7202.05000,  0.99030624
 7203.05000,  0.98928442
 7204.05000,  0.98859030
 7205.05000,  0.99213971
 7206.05000,  0.99023286
 7207.05000,  0.98958505
 7208.05000,  0.99079170
 7209.05000,  0.98863691
 7210.05000,  0.98756056
 7211.05000,  0.98681253
 7212.05000,  0.98636634
 7213.05000,  0.98862114
 7214.05000,  0.98400357
 7215.05000,  0.98780516
 7216.05000,  0.98981038
 7217.05000,  0.98662743
 7218.05000,  0.98753052
 7219.05000,  0.99118310
 7220.05000,  0.98710114
 7221.05000,  0.98797998
 7222.05000,  0.98706942
 7223.05000,  0.98803652
 7224.05000,  0.98988597
 7225.05000,  0.99213837
 7226.05000,  0.99158471
 7227.05000,  0.99122298
 7228.05000,  0.99160776
 7229.05000,  0.99344783
 7230.05000,  0.99169376
 7231.05000,  0.99291586
 7232.05000,  0.99197021
 7233.05000,  0.99273442
 7234.05000,  0.99308753
 7235.05000,  0.99475074
 7236.05000,  0.99533993
 7237.05000,  0.99374463
 7238.05000,  0.99287820
 7239.05000,  0.99508868
 7240.05000,  0.99942811
 7241.05000,  0.99882612
 7242.05000,  1.00227157
 7243.05000,  1.00002981
 7244.05000,  1.00189831
 7245.05000,  1.00550026
 7246.05000,  1.00593590
 7247.05000,  1.01413609
 7248.05000,  1.00696068
 7249.05000,  1.00488995
 7250.05000,  1.00966571
 7251.05000,  1.00998136
 7252.05000,  1.01410180
 7253.05000,  1.01351950
 7254.05000,  1.01796754
 7255.05000,  1.01972112
 7256.05000,  1.01242815
 7257.05000,  1.01351964
 7258.05000,  1.01467116
 7259.05000,  1.02055649
 7260.05000,  1.01761216
 7261.05000,  1.01414329
 7262.05000,  1.01423817
 7263.05000,  1.05162023
 7264.05000,  1.03993533
 7265.05000,  1.01270072
 7266.05000,  1.00838518
 7267.05000,  1.00793172
 7268.05000,  1.01170409
 7269.05000,  1.00699274
 7270.05000,  1.00528892
 7271.05000,  1.00444232
 7272.05000,  1.00752051
 7273.05000,  1.00579490
 7274.05000,  0.99391879
 7275.05000,  0.99628781
 7276.05000,  0.99636745
 7277.05000,  0.99522071
 7278.05000,  0.99800484
 7279.05000,  0.99610105
 7280.05000,  1.00703428
 7281.05000,  0.99864050
 7282.05000,  0.99856809
 7283.05000,  0.99555083
 7284.05000,  0.99885039
 7285.05000,  0.99976106
 7286.05000,  0.99845161
 7287.05000,  0.99944146
 7288.05000,  0.99578174
 7289.05000,  0.99919457
 7290.05000,  0.99719354
 7291.05000,  0.99562441
 7292.05000,  0.99686668
 7293.05000,  0.99644874
 7294.05000,  0.99567724
 7295.05000,  0.99388748
 7296.05000,  0.99283748
