Depth_cm,Element,Result,Unit
1,Mg,1.74,wt%
1,Al,9.46,wt%
1,Si,35.2,wt%
1,P,0.199,wt%
1,S,0.226,wt%
1,Cl,2.05,wt%
1,K,4.79,wt%
1,Ca,32.5,wt%
1,Ti,1.6,wt%
1,Mn,0.54,wt%
1,Fe,11,wt%
1,Zn,0.0533,wt%
1,Br,0.0456,wt%
1,Rb,0.0511,wt%
1,Sr,0.263,wt%
1,Zr,0.0664,wt%
1,Ag,0.138,wt%
11,Na,2.79,wt%
11,Mg,2.21,wt%
11,Al,15,wt%
11,Si,46.1,wt%
11,P,0.169,wt%
11,S,0.162,wt%
11,Cl,3.58,wt%
11,K,7.79,wt%
11,Ca,2.76,wt%
11,Ti,1.84,wt%
11,Mn,0.337,wt%
11,Fe,16.9,wt%
11,Zn,0.0476,wt%
11,Rb,0.0713,wt%
11,Sr,0.11,wt%
11,Zr,0.0892,wt%
15,Na,3.69,wt%
15,Mg,2.29,wt%
15,Al,14.2,wt%
15,Si,46.8,wt%
15,P,0.241,wt%
15,S,0.115,wt%
15,Cl,3.4,wt%
15,K,7.59,wt%
15,Ca,2.79,wt%
15,Ti,1.9,wt%
15,V,0.075,wt%
15,Mn,0.307,wt%
15,Fe,16.1,wt%
15,Zn,0.066,wt%
15,Br,0.0297,wt%
15,Rb,0.0746,wt%
15,Sr,0.0933,wt%
15,Zr,0.0782,wt%
15,Ag,0.105,wt%
3,Na,2.55,wt%
3,Mg,1.63,wt%
3,Al,10.2,wt%
3,Si,32.7,wt%
3,S,0.164,wt%
3,Cl,1.7,wt%
3,K,4.88,wt%
3,Ca,31.3,wt%
3,Ti,1.29,wt%
3,Mn,0.525,wt%
3,Fe,11.7,wt%
3,Zn,0.0557,wt%
3,Br,0.0416,wt%
3,Rb,0.0656,wt%
3,Sr,0.247,wt%
3,Zr,0.0561,wt%
3,Ag,0.164,wt%
3,Ba,0.698,wt%
5,Na,2.39,wt%
5,Mg,2.02,wt%
5,Al,13.7,wt%
5,Si,43.7,wt%
5,P,0.243,wt%
5,S,0.208,wt%
5,Cl,3.25,wt%
5,K,7.28,wt%
5,Ca,8.54,wt%
5,Ti,1.76,wt%
5,Mn,0.536,wt%
5,Fe,15.9,wt%
5,Zn,0.076,wt%
5,Rb,0.0698,wt%
5,Sr,0.139,wt%
5,Zr,0.105,wt%
7,Na,4.17,wt%
7,Mg,2.21,wt%
7,Al,13.5,wt%
7,Si,45.4,wt%
7,P,0.303,wt%
7,S,0.142,wt%
7,Cl,3.39,wt%
7,K,7.55,wt%
7,Ca,4.19,wt%
7,Ti,1.87,wt%
7,V,0.0696,wt%
7,Mn,0.527,wt%
7,Fe,15.6,wt%
7,Zn,0.115,wt%
7,Rb,0.0756,wt%
7,Sr,0.122,wt%
7,Zr,0.0988,wt%
7,Rh,0.657,wt%
9,Na,3.12,wt%
9,Mg,2.16,wt%
9,Al,14.3,wt%
9,Si,45.3,wt%
9,P,0.209,wt%
9,S,0.137,wt%
9,Cl,3.35,wt%
9,K,7.86,wt%
9,Ca,3.78,wt%
9,Ti,1.99,wt%
9,V,0.111,wt%
9,Mn,0.599,wt%
9,Fe,15.9,wt%
9,Zn,0.0772,wt%
9,Br,0.0406,wt%
9,Rb,0.0773,wt%
9,Sr,0.111,wt%
9,Zr,0.0988,wt%
9,Rh,0.714,wt%
