#saved Sat Mar  7 15:45:24 2026
#saving x array=energy, y array=norm
#goethite_fl_clean: goethite_fl_clean
#------------------------------------------
# energy, goethite_fl_clean
 7161.09473,  0.89392619
 7162.20947,  0.90111879
 7163.34326,  0.91210599
 7164.49707,  0.92535874
 7165.67041,  0.94075981
 7166.86377,  0.95769193
 7168.07617,  0.97538548
 7169.30859,  0.99319977
 7170.56006,  1.01105757
 7171.83154,  1.02867605
 7173.12305,  1.04750149
 7174.43359,  1.06536103
 7175.76367,  1.07731595
 7177.11377,  1.08303882
 7178.48340,  1.08510077
 7179.87256,  1.08384680
 7181.28174,  1.08176159
 7182.70996,  1.08011994
 7184.15820,  1.07880630
 7185.62598,  1.07968182
 7187.11328,  1.08022347
 7188.62012,  1.08069545
 7190.14648,  1.08115267
 7191.69287,  1.08095192
 7193.25879,  1.08109210
 7194.84424,  1.08181809
 7196.44922,  1.08191277
 7198.07373,  1.08136762
 7199.71826,  1.07906053
 7201.38184,  1.07587679
 7203.06543,  1.07192204
 7204.76855,  1.06669505
 7206.49170,  1.06085400
 7208.23389,  1.05525140
 7209.99609,  1.05005125
 7211.77783,  1.04592102
 7213.57910,  1.04249662
 7215.39990,  1.04027721
 7217.24023,  1.03897372
 7219.10059,  1.03810559
 7220.98047,  1.03867845
 7222.87988,  1.04066649
 7224.79883,  1.04396959
 7226.73730,  1.04793320
 7228.69580,  1.05181432
 7230.67334,  1.05535485
 7232.67090,  1.05789759
 7234.68799,  1.06091821
 7236.72510,  1.06400998
 7238.78125,  1.06743807
 7240.85742,  1.07037439
 7242.95312,  1.07222026
 7245.06836,  1.07269576
 7247.20312,  1.07264801
 7249.35742,  1.07266529
 7251.53174,  1.07368985
 7253.72559,  1.07483636
 7255.93896,  1.07555278
 7258.17188,  1.08069720
 7260.42432,  1.08825674
 7262.69678,  1.09230269
 7264.98828,  1.09782409
 7267.29980,  1.10301777
 7269.63086,  1.10723758
 7271.98193,  1.11158016
 7274.35205,  1.11574679
 7276.74219,  1.11932896
 7279.15186,  1.12140014
 7281.58105,  1.12194033
 7284.02979,  1.12094859
 7286.49805,  1.11813977
 7288.98633,  1.11497422
 7291.49414,  1.11090028
 7294.02148,  1.10769882
 7296.56836,  1.10553971
 7299.13477,  1.10485142
 7301.72119,  1.10364696
 7304.32666,  1.10289637
 7306.95215,  1.10281194
 7309.59717,  1.10313732
 7312.26221,  1.10394031
 7314.94629,  1.10434720
 7317.65039,  1.10492407
 7320.37354,  1.10680489
 7323.11670,  1.11108649
 7325.87988,  1.11624399
 7328.66211,  1.12167296
 7331.46436,  1.12702797
 7334.28564,  1.13116295
 7337.12695,  1.13520467
 7339.98828,  1.13804112
 7342.86865,  1.13966607
 7345.76855,  1.14056643
 7348.68848,  1.13999792
 7351.62793,  1.13849083
 7354.58691,  1.13725223
 7357.56543,  1.13605639
 7360.56396,  1.13562282
 7363.58154,  1.13524637
 7366.61914,  1.13596077
 7369.67627,  1.13800868
 7372.75293,  1.14059424
 7375.84961,  1.14374606
 7378.96533,  1.14786059
 7382.10107,  1.15192839
 7385.25635,  1.15540405
 7388.43115,  1.15854998
 7391.62598,  1.16097226
 7394.83984,  1.16343970
 7398.07373,  1.16528587
 7401.32715,  1.16702471
 7404.60010,  1.16912508
 7407.89258,  1.17189364
 7411.20459,  1.17404226
 7414.53662,  1.17509568
 7417.88818,  1.17571284
 7421.25928,  1.17556247
 7424.64990,  1.17533898
 7428.06006,  1.17509197
 7431.49023,  1.17460908
 7434.93994,  1.17520831
 7438.40918,  1.17647301
 7441.89795,  1.17813438
 7445.40625,  1.18010449
 7448.93457,  1.18250995
 7452.48193,  1.18512142
 7456.04932,  1.18816954
 7459.63623,  1.19141644
 7463.24316,  1.19436425
 7466.86914,  1.19658170
 7470.51514,  1.19909341
 7474.18018,  1.20153571
 7477.86523,  1.20396643
 7481.57031,  1.20657304
 7485.29443,  1.21002755
 7489.03857,  1.21277889
 7492.80176,  1.21517980
 7496.58496,  1.21689021
 7500.38770,  1.21818295
 7504.21045,  1.21888353
 7508.05225,  1.22016167
 7511.91406,  1.22150622
 7515.79541,  1.22371676
 7519.69629,  1.22633983
 7523.61670,  1.22775480
 7527.55713,  1.22921501
 7531.51660,  1.23162869
 7535.49609,  1.23447690
 7539.49512,  1.23711919
 7543.51367,  1.24027534
 7547.55176,  1.24307489
 7551.60986,  1.24518429
 7555.68750,  1.24778433
 7559.78467,  1.25008887
 7563.90137,  1.25213647
 7568.03760,  1.25445055
 7572.19385,  1.25734960
 7576.36914,  1.26000996
 7580.56445,  1.26256382
 7584.77930,  1.26515073
 7589.01367,  1.26701520
 7593.26807,  1.26881375
 7597.54199,  1.27035964
 7601.83496,  1.27221794
 7606.14795,  1.27444070
 7610.48047,  1.27689005
 7614.83301,  1.27939824
 7619.20459,  1.28205989
 7623.59619,  1.28391159
 7632.43799,  1.28781574
 7636.88818,  1.29197836
 7641.35840,  1.29480172
 7645.84814,  1.29735335
 7650.35742,  1.29982264
 7654.88623,  1.30304002
 7659.43457,  1.30611162
 7664.00244,  1.30928872
 7668.59033,  1.31260077
 7673.19775,  1.31565032
 7677.82471,  1.31859374
 7682.47119,  1.32132592
 7687.13721,  1.32425486
 7691.82324,  1.32693869
 7696.52832,  1.32943295
 7701.25342,  1.33206750
 7705.99805,  1.33448997
 7710.76270,  1.33694773
 7715.54639,  1.33969578
 7720.35010,  1.34287184
 7725.17334,  1.34567711
